::SedmidubskyBDZ08 ::22850545 
::Brakatsoulas ::SellentinM98 
::Operations ::ZhangPW08 
::Tanin ::Parties 
::Loading ::383 
::Sergej ::Versatile 
::Samet ::Sudipto 
::Gunopulos ::Yang 
::Berchtold ::Chaplin 
::MIC ::acm 
::Va ::4497564 
::Andrea ::426 
::Discriminant ::914865 
::Qixiang ::Peery 
::Fai ::KanagalD08 
::1998 ::Mohammad 
::631 ::Skeen02 
::Sliding ::join 
::Transparent ::processing 
::Ziarko91 ::Nakhe 
::Afanasiev ::Jaideep 
::Intensive ::LinD98 
::488 ::Processing 
::1396 ::WiwatwattanaJ08 
::cikm ::MalinS06 
::Efficiently ::ChenJOT08 
::Editor ::Constrained 
::YuC84 ::Lookups 
::Areal ::K 
::HershbergerSS06 ::Campi 
::P351 ::LiuSYR98 
::Sup ::Silberstein 
::Heinlein01 ::Luigi 
::WuWLM06 ::P514 
::Wee ::Aravindan 
::4497501 ::147 
::Bassam ::ONeil87 
::ConQueSt ::Kriegel 
::join ::744 
::Henrich96 ::Satkin 
::Nguyen ::Tata 
::Mishra ::BlottRS96 
::1485 ::1453 
::Format ::Dewri 
::Image ::48 
::Laurent ::Hellerstein 
::WilkinsonN90 ::Koloniari 
::Czajkowski ::10010131abs 
::Partial ::Baihua 
::4497398 ::LambLOW91 
::Equi ::22850991abs 
::914863 ::Yihong 
::Tari ::Shegalov 
::Zimmermann ::HoutsmaS95 
::Gertz ::Chong 
::Reformulating ::852 
::GohMS94 ::FernandezFLS97 
::Mann ::Gignere01 
::Dense ::Keidl 
::AbiteboulHB99 ::Larson 
::Madhyastha ::Aggarwal02a 
::Farfn ::Zuzarte 
::22850483 ::1396 
::HuWLZX05 ::Nodira 
::NehmeRB08 ::Yoji 
::Correlation ::Fishman01 
::Closed ::Tanveer 
::493 ::Consistent 
::Raghav ::Huan 
::AutoLag ::Ailamaki 
::Answer ::Ihab 
::IC ::Aboulnaga 
::Jeffrey ::Replica 
::Puzzle ::FudosPP02 
::282 ::Deletes 
::Xiang ::Implementing 
::Lucchese ::temporal 
::Applications ::Lomet 
::Weihl88 ::Wrapper 
::Third ::Realization 
::Ifrim ::673 
::22850446abs ::HwangCZ08 
::Private ::Record 
::Farhana ::Cache 
::Hisashi ::ZhouW08 
::Cooper ::269 
::jcss ::Tung 
::215 ::1296 
::Fromont ::Akrivi 
::SmithC96 ::Tissues 
::Sentiment ::Alps 
::4497636 ::l 
::1519 ::914877 
::Odysseus ::Chamberlain 
::321 ::Importance 
::Aggregate ::695 
::4497526 ::Xiaokui 
::StockmeyerM73 ::Korolova 
::Porkka ::Gene 
::WuCL08 ::1473 
::CLAN ::Private 
::Brown ::15310270 
::Projected ::StreamingWindow 
::Didi ::Correlated 
::628 ::1327 
::216 ::comp 
::Authorization ::4497482 
::Oxley ::Programming 
::AgrawalAKL06 ::HinterbergerMG94 
::144 ::22850415abs 
::OguchiK02 ::Harizopoulos 
::Karthikeyan ::isca 
::Rainer ::Matchings 
::872 ::PermJoin 
::426 ::the 
::Vebjorn ::Flip 
::Vibhuti ::22851001abs 
::WangCPFM02 ::Lisa 
::External ::PageRank 
::Chi ::524 
::ChenC08 ::1399 
::1084 ::396 
::Le ::ONeilWFCM98 
::71 ::Growth 
::Wing ::Boris 
::Rimma ::Bentley75 
::LiSDKG01 ::ShivakumarG97 
::WolfsonXYC06 ::Akiyoshi 
::Tucker ::22850324abs 
::Tan ::Jos 
::Didi ::Scale 
::Rabindra ::952 
::Assent ::Rinderle 
::Tao ::967 
::914809 ::Janne 
::1072 ::Tassa 
::Jos ::HadjieleftheriouCKS08 
::Compressing ::Stored 
::Hannu ::Sharma 
::Margaret ::YiJF98 
::SNAP ::Boolean 
::Integratio ::WolskiB98 
::Access ::Elena 
::189 ::Bianca 
::Schallehn ::294 
::Balazinska ::Emeki 
::LentSW97 ::Michael 
::Elegant ::1497 
::Expression ::Magdalena 
::Seidl ::4497548 
::Amlie ::AslandoganTYZR97 
::Miner ::4497580 
::Lyman ::Bar 
::Lian ::626 
::Sales ::XiaZT08 
::Level ::630 
::Federations ::Hai 
::Graphitti ::Fastest 
::Chang ::375 
::Zhanhuai ::JoshiJ06 
::FaloutsosB93 ::FernandezFKLS97 
::YuC84 ::Inputs 
::Harness ::Third 
::Imprecise ::an 
::313 ::DUP 
::PageRank ::Queuing 
::Watzke ::Process 
::ECA ::Assuring 
::KamelF94 ::331 
::22851144 ::Apers 
::1116 ::279 
::Denise ::Dogac 
::NN ::Type 
::What ::HuangD08 
::Shadmon ::Anton 
::306 ::Elmasri 
::MukherjeeRS05 ::within 
::548 ::Douglas 
::conf ::With 
::Chih ::Yalamanchi 
::22851048abs ::Akshat 
::Across ::AbiteboulMPPS08 
::660 ::Attributes 
::Explicit ::DengSXL06 
::AgrawalAKL06 ::OntoWebber 
::AbiteboulHV95 ::Shirani 
::Clean ::Phrase 
::Kurul ::LiBRHCN05 
::icml ::Hua 
::Asonov ::GrayCBLRVPP97 
::78 ::SPARK 
::AgrawalS94 ::Mikhail 
::15310103abs ::Jiaheng 
::1189 ::Traffic 
::Singer ::1376 
::Characterization ::Deshpande 
::1141 ::KashyapRRS08 
::Bedell ::SrikantA95 
::Hierarchies ::Nick 
::SarmaBHW06 ::SilbersteinBEMY06 
::Jianlin ::Synopsis 
::Onizuka ::AbiteboulHB99 
::579 ::Id 
::Masaru ::153 
::4497594 ::Cai 
::22850816abs ::Navathe 
::PoosalaIHS96 ::4497465 
::Sergej ::308 
::Wierman ::4497431 
::Dirk ::ChenSZ05 
::sosp ::BohannonFRS02 
::22850388abs ::97 
::441 ::Marios 
::Environmental ::Counts 
::KoutrikaI05 ::Lizhu 
::Deligiannakis ::606 
::Graphical ::Ryan 
::Guo ::Images 
::Mayur ::Satisfying 
::SMART ::574 
::198 ::1095 
::Anton ::domain 
::Jagannath ::Matthew 
::GounarisYSD08 ::Mishra 
::22850254 ::Methodical 
::22850791abs ::914829 
::4497503 ::Fastest 
::Annotations ::4497586 
::avi ::Xiong 
::88 ::MohanN91 
::AmzaCZ05 ::Routing 
::Diverse ::Wolfson 
::Shao ::Umeshwar 
::Agesen ::XinH08 
::Bossi ::through 
::Kramnik ::Tsotras 
::Zhou ::4497604 
::Frequent ::Elisa 
::AstrahanBCEGGKLMMPTWW76 ::166 
::FranklinCL92 ::Construction 
::Substructures ::Rabinovich 
::765 ::Architecture 
::Queries ::Obermair 
::Nanni ::Intra 
::Gjergji ::FernandezFKLS97 
::Tiancheng ::Preservation 
::Shahabi ::Skyt 
::BlaumBBM94 ::KonopnickiS95 
::Kedar ::JinA06 
::Manolis ::Long 
::YuHC05 ::LiBRHCN05 
::Visualizing ::22851013abs 
::528 ::1518 
::AslandoganTYZR97 ::SuWL06 
::Machanavajjhala ::500 
::Sidle ::Harumoto 
::22851141 ::Biological 
::1390 ::1370 
::Never ::914824 
::Thuraisingham ::Almeida 
::ds ::Proces 
::Matches ::HellersteinNP95 
::1358 ::1369 
::4497528 ::Sam 
::Streaming ::WeisN06 
::952 ::1123 
::GionisMT05 ::NaackeGT98 
::Margaret ::FudosPP02 
::Cha ::Schemes 
::15310383abs ::Khaled 
::416 ::Reduction 
::Heikki ::791 
::4497520 ::790 
::110 ::Aristides 
::Riemenschneider ::Hidden 
::Jagadish91 ::MehrLLS08 
::442 ::Advancement 
::HillyerS96 ::Dimension 
::Weddell92 ::Algorithms 
::P446 ::17 
::914879 ::Gridded 
::HeS06 ::Pierre 
::on ::Citizens 
::4497536 ::22850549 
::Decomposition ::Velegrakis 
::bit ::Beyond 
::433 ::Understanding 
::136 ::Dayns 
::Soloviev93 ::Mahadevan 
::Memory ::1345 
::GardarinST96 ::Partially 
::337 ::CandanHS98 
::Fusheng ::Intensive 
::4497506 ::Arora 
::ZhugeG98 ::Griffiths 
::Graphics ::Miled 
::Bosworth ::902 
::263 ::914808 
::trees ::Xiaohong 
::Vineel ::Rules 
::Dilys ::Committees 
::Juha ::Arthur 
::Fekete ::Dirty 
::Bo ::574 
::Utilization ::Cloud 
::Edison ::ChawatheGHPUW94 
::Coupling ::121 
::Levandoski ::AlonsoC05 
::Security ::Constantly 
::Kunath ::15310266 
::Simple ::VlachosGK02 
::PajarolaOSSW98 ::data 
::Jayant ::178 
::Patterns ::Kien 
::SPARK ::484 
::KorolovaMNX08 ::28 
::Level ::GalAX02 
::630 ::ChangM88 
::Liu98 ::Diversity 
::NieWWM06 ::SizovSTW02 
::Yanjiang ::ShiZ05 
::576 ::Sergey 
::WuK05 ::136 
::Mal ::Minh 
::SpaceTwist ::Nimrod 
::Rinku ::390 
::4497439 ::Jayant 
::949 ::JaberV06 
::10010661abs ::RDMS 
::299 ::Savasere 
::CasanovaFP84 ::Outlier 
::168 ::Incremental 
::Honishi ::Extraction 
::4497397 ::4497484 
::Record ::Yanlei 
::CormodeKT08 ::Mediator 
::AikenCSW96 ::10010121abs 
::Neighbor ::J 
::BeeriR87 ::The 
::Skeen02 ::957 
::Transform ::Zhen 
::Isoline ::Hajj 
::Chain ::Annotations 
::Haibing ::GuptaMS93 
::Ku ::Yuxin 
::Gustavo ::Porto 
::Verifiers ::963 
::Compact ::Fetching 
::40 ::Language 
::Shigeru ::333 
::Bassiouni85 ::Karlsson 
::WangR91 ::Engines 
::129 ::HP 
::NussbaumerPSS95 ::ShanADDK95 
::914849 ::914872 
::Confidence ::Luc 
::876 ::1534 
::Nambiar ::4497418 
::Simoudis ::WhiteDJ96 
::Anirban ::Simulation 
::BorzsonyiKS01 ::Yiming 
::Makoto ::bda 
::Krishnan ::datamine 
::Controlled ::Kantarcioglu 
::KumaranCH06 ::Jennifer 
::BrinkhoffKS96 ::301 
::Andrew ::HuangSW94 
::Verma ::Sachin 
::BohannonPRSSS96 ::LehnerCPZ01 
::4497437 ::P268 
::tiered ::LiSR92 
::GrayC89 ::BatiniL86 
::Uncertainty ::Babu 
::Jerry ::Anastasios 
::Lin ::Reinhard 
::Olston ::Stucki 
::Das ::Re 
::1385 ::4497412 
::OWL ::PhotoSpread 
::Subrahmanian ::Fernandez 
::15310276 ::JagadishOVZZ06 
::sebd ::Erich 
::PermJoin ::914856 
::Sam ::P316 
::22851144 ::KochSS08 
::Detect ::914845 
::Visual ::4497412 
::Hans ::Selections 
::Teamwork ::Nicklas 
::Standard ::Expiration 
::4497489 ::P094 
::Ahmet ::QiaoRNPCFRCYL08 
::Atallah ::Integrating 
::PeiroASW98 ::Industrial 
::191 ::Middleware 
::619 ::Mema 
::Asl ::Wlodek 
::SchallehnSS02 ::KiferKS92 
::Light ::Antonios 
::73 ::360 
::Quadtree ::siamcomp 
::Polynomial ::Kobayashi 
::Georgakopoulos ::ONeilOW93 
::Lun ::Cristian 
::1134 ::Giannotti 
::SherkatR06 ::HacigumusMI02 
::DeshpandeH02 ::ShaoNS05 
::Lin ::Leh 
::Abbadi ::AndresO98 
::StreamCorder ::F 
::454 ::Lingzhi 
::Marian ::Replica 
::GionisMT05 ::ChenR05 
::Measuring ::565 
::mg ::115 
::GibbsBT94 ::Iwen 
::Tirthapura ::Linga 
::KahveciS01 ::1504 
::X06c ::tc 
::spieSR ::GantiCM05 
::Luca ::aaai 
::within ::BeeriR87 
::916 ::4497478 
::Krompass ::Thaden 
::4497631 ::Huabei 
::10010131abs ::20 
::FaradjianGB02 ::1552 
::Korn ::Jrg 
::Decayed ::4497584 
::Mukesh ::Kaushik 
::Pilania ::Ivan 
::914864 ::Mengchi 
::Approximately ::DuKS92 
::4497517 ::Stefani 
::Daudjee ::22850298abs 
::1352 ::Gamper 
::Trade ::Sankaranarayanan 
::journals ::1101 
::543 ::BrakatsoulasPT05 
::Chiusano ::4497610 
::Lot ::927 
::Schek ::1390 
::GutingS95 ::4497399 
::Savage ::DrapeauK93 
::Braga ::Scale 
::1454 ::BeckmannHKN06 
::CareyFLS91 ::Multimodal 
::Vaithyanathan ::Optimizer 
::Herbert ::1391 
::22850258abs ::Muntz 
::MaierS86 ::Galpin 
::Pekka ::Martinenghi 
::Jignesh ::Developing 
::4497450 ::Vijay 
::Algorithm ::RDB 
::OGormanAA02 ::RastogiMBKS93 
::22850580abs ::Multilingual 
::Bursty ::Takeshi 
::1306 ::Maskey 
::Transform ::Runtime 
::TaoXLZ08 ::141 
::4497470 ::Combining 
::Mario ::Rank 
::833 ::ONeilG95 
::82 ::Comparative 
::RoitmanGR08 ::CareyD96 
::Mukhopadhyay ::Dewri 
::Freire ::Su 
::Visualizing ::118 
::Nakhe ::Masahiko 
::YangPPK08 ::PudiH02 
::524 ::15310212abs 
::Mohan ::AlonsoBPHK01 
::1104 ::Chaplin 
::Dinh ::Linear 
::Mano ::335 
::FelipeHR08 ::442 
::Il ::369 
::472 ::1583 
::Chowdary ::Melnik 
::cdrom ::McWherter 
::GaoZCLLC08 ::Summary 
::jiis ::Relative 
::Grid ::Ho 
::1351 ::Amit 
::Memory ::4497575 
::15310309abs ::Constructs 
::22851135 ::Nagendra 
::14 ::JiangLWY02 
::Providing ::914863 
::294 ::Feida 
::DasguptaGJSV05 ::cikm 
::Ehud ::Product 
::PopivanovM02 ::AikenCSW96 
::Cleaning ::Balanced 
::Rundensteiner ::Weihl87 
::Ryvkina ::TuckerM02 
::SPEX ::22850357 
::SG ::Squicciarini 
::Latanya ::Indexing 
::Jagannath ::David 
::LoR94 ::Boolean 
::OzdenRS98 ::Workflow 
::Feltes ::22850329abs 
::Olga ::AbiteboulMB08 
::KapitskaiaTV97 ::SUBSKY 
::Messaging ::22850490abs 
::15310017abs ::Shamkant 
::Guohong ::914819 
::icdt ::Soumen 
::Portal ::WilschutFA95 
::Yalamanchi ::Block 
::Snodgrass95 ::Vries 
::XPlainer ::53 
::Intuitive ::1120 
::Tracking ::FaloutsosK94 
::4497519 ::Framework 
::914831 ::P086 
::HuWLZX05 ::320 
::Kasthurirangan ::Mourad 
::Functions ::Assuring 
::Venn ::Vana 
::Varadarajan ::4497613 
::MyllymakiL95 ::AgrawalS96 
::NET96 ::1423 
::1104 ::Shukla 
::1412 ::Terzis 
::LoR96 ::69 
::EvangelidisLS95 ::4497416 
::4497469 ::Simultaneous 
::P174 ::Participants 
::PeiHPCDH01 ::BalkeNST05 
::Bernstein ::267 
::Sotiris ::22850816abs 
::AyadNWS06 ::WuAA02 
::20 ::HiWaRPP 
::HenrichHSW91 ::RDFS 
::Optimized ::Maryann 
::LometBMS06 ::Client 
::Yibei ::Sameer 
::Aleksandras ::1370 
::Yongluan ::Pirahesh 
::309 ::DiaoFFT02 
::4497455 ::Perrin90 
::WangXLW08 ::Wee 
::Brakatsoulas ::Liao 
::4497570 ::Packets 
::Designer ::Evangelos 
::1453 ::Seltzer 
::DaiKSTV08 ::876 
::914812 ::Industry 
::Milena ::Gionis 
::Halpern ::Cabibbo 
::Sessions ::AtallahCK08 
::Volker ::KanagalD08 
::227 ::Recognition 
::4497571 ::Yoshinari 
::Salt ::4497444 
::Takahide ::Darrell 
::Constant ::Silvia 
::Summary ::615 
::Array ::Kenny 
::Maurice ::754 
::GuptaCG08 ::Sikkupparbathyam 
::Ghaffar ::8 
::Image ::Chon 
::LiaoLL01 ::JakobGHN05 
::340 ::DeRose 
::P412 ::Mladenic 
::4497464 ::117 
::SegevP89 ::Coordinated 
::Dieter ::Autonomy 
::Girod ::ChangSZS97 
::Ranked ::4497609 
::528 ::Rau 
::Wynne ::ds 
::59 ::BeckleyER85 
::Tam ::FlicknerSAHDGHLPSY95 
::LjosaBS06 ::WuDY06 
::AslandoganTYLN95 ::the 
::Ramamohanarao ::Text 
::BittonMT89 ::Galindo 
::371 ::RoschGL08 
::SaltonG83 ::Construction 
::151 ::Weidong 
::AITVS ::HungDS05 
::Tsuyoshi ::Goel 
::22850285abs ::HellersteinKP97 
::BirdCDLZ06 ::Behzad 
::Whang ::15310369abs 
::Kihong ::Skew 
::1169 ::Sugata 
::ebXML ::Antoshenkov92 
::PuKH88 ::Relationally 
::Synchronization ::Molina08 
::YangL01 ::Carey 
::Alex ::115 
::142 ::1239 
::Willy ::22850841abs 
::872 ::Vikram 
::Pilania ::Simoudis98 
::Outliers ::Griffiths 
::AggarwalY08 ::Nicoleta 
::Virtualization ::15310485 
::French ::4497579 
::NakamuraE02 ::22850326abs 
::1144 ::Tsukamoto 
::Bhattacharjee ::Clusters 
::Jianjun ::author 
::Exploiting ::Extracted 
::SAP ::PolyzotisG06 
::22851129abs ::Megalooikonomou 
::icde ::Kim 
::X05o ::Deng 
::Subrahmanian ::22850564abs 
::1580 ::Lan 
::WilkinsonN90 ::Hwang 
::Caetano ::Extracting 
::Tania ::TheodoridisS96 
::Results ::Jennifer 
::temporal ::Vaisman 
::1412 ::97 
::Evripidou ::Triantafillou 
::Sndor ::Cattell94 
::Correctness ::Shape 
::Antonio ::Ganesan 
::Liu98 ::Orlando 
::Pennekanti01 ::Verykios 
::Ravi ::Suchanek 
::1534 ::Dou 
::D ::Clemens 
::968 ::P2P 
::1366 ::Kyu 
::Editor ::914853 
::43 ::Amrish 
::GeorgakopoulosHKM94 ::Stanley 
::PapadiasT97 ::Understanding 
::LeongS97 ::System 
::15310017abs ::DeRose 
::Dik ::Indicators 
::ACXESS ::Burke 
::27 ::Ikeda 
::Valduriez93 ::dx 
::Badillos ::Jinping 
::GawlickK85 ::Amlie 
::AndritsosFM06 ::Library 
::Jr ::HjaltasonS95 
::Stucki ::Piatetsky91 
::Sander ::1351 
::STAG ::General 
::GuptaMS93 ::4497441 
::Compressor ::Teaching 
::Rosaci ::Asuman 
::GartnerKKZ01 ::ai 
::driven ::BonczQK96 
::Livny ::914811 
::Vassalos ::AgrawalG89 
::521 ::1584 
::Vectorizing ::Ramamritham 
::GalpinBJFP08 ::CormodeIKM02 
::1393 ::BohlenSS96 
::sac ::Usama 
::Haojun ::HardwickSRM97 
::GrayBLP96 ::Pearson 
::P458 ::Interface 
::Wenning ::GangerK97 
::Specific ::Dimensions 
::jiis ::4497626 
::22851098 ::547 
::Kaushik ::22850162abs 
::Berchtold ::4497467 
::Lasse ::CoT 
::548 ::Leo 
::Marlow ::Getting 
::1531 ::112 
::What ::BernsteinGLL98 
::Eran ::ChenDZ06 
::4497453 ::Zhuge 
::4497605 ::Warping 
::Dakka ::Autonomic 
::Collaborative ::column 
::PuKH88 ::ks 
::Shuqing ::MehrotraG93 
::Exemplar ::93 
::Cochinwala ::WilkinsonN90 
::AHYDS ::Zoupanos 
::micro ::LynchS88 
::TianP08 ::Nejdl 
::Leskovec ::1494 
::Haritsa ::ph 
::Patrick ::Alberto 
::Ontology ::Vladimir 
::Cheung ::Third 
::Christine ::Yuqing 
::ChuK89 ::Bernstein 
::KorolovaMNX08 ::Architecture 
::jlp ::LjosaS08 
::LuVA08 ::Moving 
::793 ::Faloutsos 
::Sreeram ::Behr 
::Changes ::Gil 
::AgrawalG89 ::Veli 
::Malik ::tois 
::Stephen ::DescribeX 
::WuAA02 ::Gunter 
::Marzouk ::22850594abs 
::P362 ::PopivanovM02 
::192 ::639 
::Telle ::Neville 
::Gerhard ::Lychagin 
::Twig ::Hmmer 
::741 ::Ada 
::Substructures ::Harness 
::ZhugeG98 ::Vasileios 
::Regnier85 ::Evaluating 
::DayalHL90 ::KivinenM95 
::Csar ::Implicated 
::Direct ::Pseudo 
::Kramnik ::130 
::Johnson ::Characterizing 
::Jain98 ::Musicant 
::Murugesan ::Tat 
::Abul ::Saenz 
::Based ::PuKH88 
::Wayne ::4497508 
::Cruz92 ::PattersonBA08 
::Leymann ::321 
::Latha ::Filippo 
::Niels ::Jakob 
::1102 ::914840 
::4497500 ::Image 
::Koki ::962 
::1507 ::DesslochHWRZ08 
::Scrutinizing ::Shigeru 
::Srinivasan ::Protein 
::4497614 ::Olsen 
::914861 ::22850230abs 
::FaloutsosK94 ::280 
::SarmaBHW06 ::TaoPZL05 
::Imperatives ::HenrichSW89 
::Ho ::Evangelos 
::4497515 ::Extract 
::Milind ::Reachability 
::WeisN06 ::BehrG05 
::Its ::Basket 
::Tanin ::SubrahmanianJ96 
::4497534 ::business 
::55 ::523 
::SQL ::CARE 
::1348 ::P370 
::Sets ::Global 
::Vehicle ::RyvkinaMCZ06 
::22850355abs ::BurdickCG01 
::Document ::4497617 
::Relationally ::AssentWS06 
::Signature ::Erhard 
::MendelzonMM96 ::JainMTC95 
::525 ::Tanveer 
::Zeiss ::355 
::914809 ::LeymannR97 
::Engineering ::Kotidis 
::4497611 ::50 
::4497496 ::Hong 
::DimitrovaG94 ::OrensteinM84 
::741 ::Sky 
::Yoshinari ::Cardinality 
::Testing ::Cabibbo 
::267 ::1333 
::Ziarko91 ::ConQueSt 
::Maintaining ::198 
::sebd ::JayapandianJ06 
::Marts ::NAGA 
::GuptaMS93 ::1420 
::D ::Divyakant 
::Carey ::tcs 
::Idreos ::ZhangLW08 
::Pratik ::Junglee 
::143 ::Betty 
::119 ::Haritsa 
::RDBMSs ::Conceptual 
::Useful ::Cormode 
::Indriyati ::728 
::Linga ::HuhtalaKPT98 
::Khalifa ::Blockeel 
::DeWittNS91 ::Markos 
::Gryz98 ::Shao 
::1567 ::Hwanjo 
::328 ::441 
::LiuHXS06 ::Kyu 
::Koloniari ::Index 
::LuoNE02 ::AgrawalS89 
::Load ::Duality 
::4497514 ::15310327 
::Kimutai ::Wenjie 
::Automating ::Luis 
::1950 ::890 
::Burst ::Chakrabarti 
::Wombacher ::P602 
::Accelerating ::Kotagiri 
::Relationships ::AdaliCCES96 
::BittonMT89 ::Voronkov 
::22850533abs ::C 
::LiZBSZN06 ::ShivakumarG97 
::AgrawalIS93 ::Bamieh 
::acr ::BunemanDS95 
::Pathak01 ::1539 
::15310278 ::EderL95 
::Mark ::Mohamed 
::Timothy ::Hsu95 
::Livny ::Injector 
::357 ::AlexeCMT08 
::Dmitry ::ZakiP05 
::databases ::Vaisman 
::ht ::Factorization 
::AkindeCJK01 ::High 
::Maintenance ::Weiping 
::Swanwa ::Qixiang 
::914850 ::SPEX 
::58 ::636 
::Mapping ::Arai 
::619 ::Databases 
::107 ::Logan 
::Simulation ::Replacement 
::Baxter ::DeFazio01 
::141 ::Safeguarding 
::LiZBSZN06 ::Labels 
::ArefCEFGHIMPRTTTVZ02 ::566 
::10010661abs ::P254 
::Dik ::Leymann 
::Duality ::Sotiris 
::Hypermedia ::Redo 
::Mullin90 ::Toolsuite 
::Operators ::Ashraf 
::HowardKMNSSW88 ::914823 
::263 ::4497487 
::mit ::MishraE92 
::Focused ::Bringing 
::Bursty ::1470 
::75 ::4497432 
::dblp ::Jagrati 
::Join ::544 
::KimGBW90 ::Jure 
::Bloom70 ::spieSR 
::Georgiana ::Device 
::Jean ::Lieberman 
::78 ::YinC05 
::4497466 ::RosenblumO92 
::1042 ::Gertz 
::22850384abs ::Weis 
::JigyasuBBCDMT06 ::Buffering 
::Ledlie ::Jason 
::Sean ::Dasgupta 
::Boualem ::Ertl 
::With ::334 
::LuccheseVRY08 ::4497628 
::Adam ::Alps 
::etintemel ::k 
::Antonios ::P578 
::843 ::DeshpandeH08 
::109 ::676 
::PatelD96 ::Balakrishnan 
::4497601 ::Fukuda 
::SPEX ::Palopoli 
::Tanveer ::Migrating 
::IshikawaIKH92 ::Schlatter 
::Motion ::once 
::Cochinwala ::The 
::Stored ::Ferlez 
::Clip ::284 
::Vinayak ::ShenSYZC06 
::914811 ::Schroeder 
::Resources ::4497582 
::Grandison ::Xiaodan 
::38 ::Mingzhe 
::Holistic ::314 
::Lp ::15310327 
::Infrastructure ::Interpreted 
::Compiler ::15310270 
::Vaisman ::DuKS92 
::595 ::Definition 
::MogiK96 ::Stahl 
::QShuffler ::Supratim 
::Lessons ::LeFevre 
::Zhen ::coopis 
::22850514 ::XiaZT08 
::333 ::1071 
::Harumoto ::Mann 
::ChenH01 ::Sponsored 
::NussbaumerPSS95 ::1460 
::1101 ::comp 
::ChangYDA88 ::Authorization 
::Bayardo ::Lup 
::22850668abs ::Multidimensional 
::ZhangS06 ::Toivonen 
::into ::Conserving 
::337 ::Tao 
::Oguchi ::Horng 
::Ooi ::ChenOO08 
::Nakamizo ::1583 
::onWeb ::Region 
::Sakurai ::Yuxin 
::Constantly ::QuLM06 
::Ngai ::Murugesan 
::MachanavajjhalaGKV06 ::Andrey 
::Schiefer ::76 
::Rudra ::About 
::4497412 ::Bedell 
::Volatile ::AdibaL80 
::Yannis ::415 
::Schemes ::Xiaohong 
::New ::15310485 
::Balachander ::Basket 
::MukherjeeRS05 ::Obermair 
::P402 ::Land 
