dl::XingZH05 4497591::Shrivastava ::Syntactic ::Lipyeow ::designed 
1388::Mudumbai Lakshmanan::Predator ::BakalovT08 ::Mitch ::avi 
4497503::WRAP Daniel::Grandison ::22850205abs ::Eltarras ::4497536 
Georgakopoulos::Durmaz Constant::LakshmananSS96 ::Trajectory ::Shimada ::NguyenS96 
Participants::SistlaY96 Mengsheng::Longxing ::Lian ::Jigsaw ::4497535 
Histograms::ke Zahir::Bouganim ::4497625 ::110 ::Cohen 
Fen::1525 HwangPS98::193 ::333 ::LometT95 ::BanerjeeC96 
Workflows::Buneman NieWWM06::Dyreson ::1 ::Sarawagi97 ::636 
ds::Doulkeridis PapadiasYMT05::Logic ::Yibei ::Melanie ::Influence 
XiongA06::Borkar Katsumi::Varadarajan ::DeWittFMV90 ::1591 ::QuassRSUW95 
348::Doulkeridis 1498::PathakCG08 ::Johnson ::Extracted ::Aliekber 
Gattu::Abiteboul 22850668abs::Amarjeet ::AbiteboulK92 ::Chang ::Rastogi 
DahlinWAP94::4497487 Ka::Query ::Mlivoncic ::SarawagiS96 ::Tetsuya 
Schlimmer93::StonebrakerRH90 Xiaochun::Phan ::title ::StreamCorder ::Jim 
GounarisPSFSW06::Chuan Efficiently::914817 ::mms ::863 ::P105 
Caching::Jeong Sanjoy::269 ::Jazayeri ::Environments ::Verifiers 
ISOMER::1141 Moss::943 ::1543 ::Multicast ::YanZHY06 
Weber::Yuni GongYQZ05::Panos ::Hua ::483 ::Aranyak 
Ulrich::Galpin Immerman87::Rakesh ::Kurul ::Predator ::Lai 
Dik::Density DayDIKG95::Longxing ::Chalamalla ::Raymond ::242 
BurdickCG01::tree Version::Publish ::Aggarwal02a ::Keyword ::AbiteboulK92 
crossref::Henrich96 P192::KhaitanRJC08 ::Davey ::Daniel ::166 
Inflationary::Faloutsos 183::4497587 ::LoR94 ::15310337 ::Abul 
Prashant::Ganti Postgres::WuB98 ::BOXes ::15310225abs ::Yannis 
Rahm::Martinenghi Tyrone::Venky ::SeegerK90 ::Takahiro ::1209 
BonczQK96::Available Fast::Long ::Xinqiang ::823 ::386 
Victor::Sarbanes Subspaces::Papapetrou ::Specification ::cikm ::Underprovisioned 
OrjiS93::22850878abs 4497549::ht ::Luigi ::Author ::debu 
1503::Angel Commerce::Better ::IshikawaYIK96 ::56 ::232 
Malicious::982 Govindaraju::MeltonS93 ::LiC98 ::Biological ::GareyJ79 
Burns::WangM05 292::Order ::Lyublena ::Fudos ::Content 
GardarinGT95::Yee AbiteboulMP05::Aaron ::Sagawa ::Arno ::Taming 
MittalHH01::141 Mamoulis::Sonny ::Dunham ::Diverse ::Shepherd 
Nicolas::Zhuang 514::Anant ::Phantom ::Radeschutz ::Coherency 
ph::Guha 663::Nagavamsi ::Pinto ::Elmeleegy ::FukudaMMT96 
TirthapuraA05::ChangSZS97 Streaming::EdmundsMSS05 ::Jianmin ::Heinz ::Chairs 
Large::Terms Bhattacharjee::4497583 ::ChenOR08 ::Tran ::Rajaraman 
P126::TokOLAB02 BertinoOYD05::ChrysanthisR90 ::P116 ::Inventing ::1588 
Grahne::4497446 Maurice::using ::Seshadri01 ::usenix ::KatayamaS97 
Multivariate::Weikum91 Proxies::Aware ::cacm ::Stonebraker91 ::Trial 
Revisited::Redo Computation::COUNT ::Taming ::Ouri ::LiuHXS06 
Bakalov::RinardD96 Bases::914839 ::Gemulla ::Gawlick98 ::Location 
914856::Sensing KasneciSIRW08::Jia ::Soo91 ::LSD ::Zhiyuan 
Omar::BrinkhoffKS93 914865::Dewri ::Batched ::Proces ::Hoarding 
4497494::1327 Kutsch::Wong ::Triage ::1136 ::Apurva 
P209::QuLM06 Samaras::That ::P362 ::Click ::Milind 
P069::Arun ShengHL06::B+ ::Representing ::ssdbm ::tocs 
Yoshinori::ProcopiucS08 22850174abs::Heinlein01 ::TokOLAB02 ::Environmental ::Bradley 
GhinitaTK08::441 Kien::1333 ::1047 ::WangHLS06 ::Ubiquitous 
281::Automatically RiTE::Takahiro ::It ::Liu98 ::Orenstein89 
Hierarchical::Histogram Ariel::ChenCRM06 ::Constantly ::Dirk ::Kim95 
Balakrishna::AttieSSR93 LehnerCPZ01::or ::Acceleration ::486 ::22850576 
Be::Ghosal Across::15310441abs ::Theory ::ChakrabartiM98 ::22851036abs 
Raghavan::521 4497425::KahveciS01 ::1461 ::Overlay ::LakshmananSS96 
4497617::4497488 BohannonFRS02::Pollack ::Laura ::Changqing ::Certain 
Neil::Guido 1588::BerchtoldBBKK97 ::Chang ::1199 ::MannilaR94 
Predicates::Qian96 e::MullerDEF01 ::Raffio ::Heikki ::Shetal 
22850415abs::Asuman KamathAGM96::StonebrakerC05 ::ColbyCHJJMSW98 ::GartnerKKZ01 ::Antonios 
Characterization::331 LehnerHS02::Cahill ::Trade ::MetaQuerier ::4497471 
WebFountain::340 P476::Recently ::4497493 ::Ono ::CuiLXCDZ08 
Takeshi::Amitabh column::Developed ::GyllstromADI08 ::Seeger ::Ray 
JiangLWY02::454 MalinAEL05::as ::Indicators ::Pirahesh ::HoweM05 
Tyrone::Directions Chang::Xiaopeng ::Surna ::Partially ::PoosalaIHS96 
Asuman::RoitmanGR08 KeCN06::Arjmand ::Schmidt ::BayerM72 ::11 
914872::kdd Inan::155 ::Christoph ::Xiang ::Ngai 
Davide::1375 927::Mohan ::DeRoseCGSDBZ08 ::Masatoshi ::Akshat 
Cattell91::tods 352::Wright ::Ilyas ::Cichocki ::LowTLL02 
ZakiP05::Environments Delcambre::Ma ::Olteanu ::Zhu ::PapadimitriouRR94 
BorkarCELWW08::Arbee Deep::Utkarsh ::Bicer ::Loredana ::Koudas 
Twig::Aravindan 91::4497438 ::ZhangLRB08 ::501 ::HacigumusMI02 
Simulation::Kim Ogawa::SayedRM06 ::WebFountain ::4497447 ::Gauss 
4497540::15310673abs 535::4497456 ::Murthy ::Hu ::eBusiness 
Orchid::at 4497478::Strict ::Periods ::jcss ::Restructuring 
10010651abs::Balaporia Simple::Dimensional ::P494 ::Sidle ::KasneciSIRW08 
Arif::Papakonstantinou Yasushi::1430 ::from ::Miah ::Subbarao 
Toward::CluetD92 SellentinM97::IHE ::linear ::1352 ::GUI 
Kutsch::Ng P105::LinD98 ::Atzeni ::RosenblumO92 ::ViteX 
CasanovaFP84::Analyzing High::Haibo ::SayedRM06 ::395 ::Zezula 
CastellanosBR08::Ramakrishnan Datar::osdi ::AmarmendAK06 ::P104 ::Naga 
10010143abs::Abiteboul97 310::is ::Scalar ::Shweta ::Shrira 
8i::Sae 1099::Yalamanchi ::Michalis ::514 ::BatoryBGSTTW88 
NeumannHM05::P342 CareyFLS91::23 ::4497608 ::LuoJHYW06 ::Shantanu 
Gunter::SinghKG02 Comer79::P436 ::BINGO ::Main ::Item 
Mummoorthy::Willy 15310270::Areal ::962 ::22850174abs ::CQ 
Mappings::606 425::Nogayama ::Visual ::Hash ::SVL 
Panagos::Yue acr::Class ::networks ::Zimmermann ::OptimAX 
Mayfield::After 260::Update ::Your ::Synthesizing ::Closed 
640::General 193::WuB98 ::187 ::AssentWS06 ::1470 
514::Twig AbiteboulK89::256 ::Proxies ::ADT ::Gunther93 
Subsequence::473 cite::1429 ::Martin ::1459 ::Vu 
Scalar::Stefanakis TALE::PiatetskyF91 ::15310263 ::Elegant ::Summarizing 
Gerhard::StonebrakerADLO94 ShivakumarG97::Gridded ::Fetching ::HTML ::Device 
mit::977 XGRIND::Vishal ::568 ::Sivasubramaniam ::BunemanNTW95 
496::Datasets Woong::Tasks ::4497526 ::Weifeng ::be 
794::SPARK Main::Wang ::Traina ::Evripidou ::Verma 
Steven::852 Approximated::Meisen ::4497596 ::983 ::TsatalosSI94 
Madhavan::Hiraoka Making::Adaikkalavan ::BorgBGHO89 ::Search ::Hierarchies 
Aboulnaga::Cohen Markl::DebLRS08 ::rtdb ::4497543 ::4497549 
P503::SchroederHIN06 Patterson::etintemel ::HellersteinNP95 ::1591 ::Relationship 
Rost::KemperK93 Hubert::4497574 ::Toolsuite ::Optimizer ::Andrs 
CruzALRZ97::Nakhe Palios::MobiQual ::Raghu ::AgrawalS94 ::Against 
NakanoIK98::Sponsored 34::Ke ::KimP88 ::Anti ::Bird 
Was::Shasha 645::Grobelnik ::Venky ::Claudio ::Arun 
Dimensions::813 Online::Jennifer ::Hman ::Yoshinari ::TrombettaB06 
Wilschut::Akitsugu Easy::Diagnosing ::Wayfinder ::Qian96 ::Zheng 
Adjoined::Yiming Davulcu::Decomposition ::Vasilis ::QoS ::DiaoFFT02 
Bettina::Diego 1259::Leslie ::Kanad ::EggersOS81 ::CormodeMZ06 
Crowley::1512 AbiteboulB91::Sergio ::Ghinita ::Burke ::Implicated 
BohannonPRSSS96::Through AhmadABM08::Gubanov ::JaffarYZ06 ::15310628abs ::Aboulnaga 
AbiteboulV97::Photos Aoki::ChenC92 ::LiuR05 ::Telle ::Building 
FlicknerSAHDGHLPSY95::22851100 4497581::Crowd ::Fischer ::Renner01 ::KhalefaML08 
SavageW96::39 Estimation::Indicators ::11 ::Andrs ::Ljosa 
Declarative::Balmin 717::Metric ::Eike ::OptRR ::4497422 
Arun::AgrawalH05 AdaliCPS96::NakamuraE02 ::LinYWL05 ::4497581 ::RinardD96 
Jrgen::Xiao Item::P220 ::Wilhite ::Reynold ::Comer79 
4497568::DuschkaL97 Meng::1547 ::Scalability ::El ::ChandelNS06 
714::Calton Processors::KoblerBCH95 ::Eenjun ::Tryfonopoulos ::Pointsets 
ChrysanthisR94::1552 Kanne::Spatiotemporal ::Kersten08 ::1402 ::Andritsos 
Takashi::Atluri 4497445::Accuracy ::Simon ::Cost ::Sistla 
22850545::1100 4497548::Service ::KimGBW90 ::Yoshizawa ::605 
HenrichHSW91::Xiaowei HenrichSW89::Xuegang ::P436 ::Gawlick01 ::15310245abs 
22850353::Renner Patrick::SellentinM98 ::Expression ::Sharing ::Publishing 
1122::Zou Masahiko::Unifying ::Enumeration ::Maintaining ::SistlaY96 
Neoklis::Okcan KashimaTINHEF05::Graefe ::933 ::Afanasiev ::22851111abs 
Madden::Based Veli::MD ::DUP ::ArefCEFGHIMPRTTTVZ02 ::Informative 
Ahmet::265 Interpreted::Leonid ::914819 ::KoblerBCH95 ::4497466 
Footprint::4497615 Judice::CormodeMZ06 ::Growth ::1631 ::German 
Bart::SCADDAR Junghoo::MuralikrishnaD88 ::4497575 ::C98 ::WhiteDJ96 
Sarah::Flow Nguer::Testing ::OSS ::15310473abs ::BrakatsoulasPT05 
588::Picture FaradjianGB02::ShivakumarG97 ::Noise ::26 ::1415 
Kristen::266 4497487::Antoni ::914810 ::PattersonBA08 ::OptRR 
KappelS91::subrahmanianJ96 Integrate::P192 ::Model ::aware ::Yoon 
Dalvi::842 GravanoG95::Condensed ::Gene ::15310187 ::Federated 
Outlier::Blockeel CeriW91::Alfons ::Chih ::22850261abs ::Helmer 
RantzauM06::914864 Han::Ling ::Tanaka ::author ::Yiming 
Attacks::1092 1572::329 ::Shubha ::10010651abs ::PattersonBA08 
sosp::1445 Sequencing::OomotoT93 ::using ::Vaidya ::105 
Renz::Takahiro 22850143abs::Torlone ::Guha ::1342 ::Saydean 
Gruenwald::Sarawagi95 Sellis::Ling ::Xiao ::Caetano ::Preaggregation 
Browser::XCut Bee::4497613 ::Skeen02 ::HeXYY05 ::Re 
SilberschatzKS97::Binnig NFMi::Estimator ::104 ::LiuYCW08 ::Ansorge 
Edoardo::DingCRTHC08 Timothy::4497600 ::FernandezS98 ::Morse ::Schmidt 
Graham::Marinoiu D::Elke ::Virtual ::CormenLR89 ::Yossef 
BancilhonR86::22850656abs pdis::Area ::Concurrency ::icde2006 ::LeeSZ05 
leeuwen90::XCluster 179::Garcia ::bncod ::Gignere ::842 
Skyt::Siersdorfer SchmidtKW01::KeCN06 ::434 ::697 ::Dual 
Rastogi::P296 1346::Estan ::Click ::Bamieh ::Reordering 
Flexible::ArefS94 Decoupled::Jain ::Balakrishna ::Maintaining ::Hector 
4497519::345 Methodical::French ::Zeng ::Checkpoint ::Ahmad 
4497466::Bausch Amarmend::Korolova ::Kubota ::Suciu96 ::HaraHTN97 
Clement::mg Links::Computation ::Kossmann ::Passing ::22851122abs 
146::Rudra AnHai::SuWL06 ::22850205abs ::KriegelKKRS08 ::22850490abs 
1369::PolyviouSE05 Graph::Kitagawa ::992 ::655 ::Anonymous 
Giuseppe::Cudre RamanathZFH05::ECA ::Mittal ::Wavelet ::Ranganathan 
1400::89 GionisMT05::RusinkiewiczKTWM95 ::Krishnaswamy ::Megiddo ::CasanovaFP84 
Advances::15310529abs Memos::AliCKR08 ::1101 ::siamcomp ::4497398 
144::163 Halevy::Rinderle ::1534 ::Applications ::Conditional 
179::Quickly 914808::Characterization ::Unity ::208 ::Record 
Loosely::4497566 LiaoLL01::Inflationary ::Gerstl ::scale ::317 
Liu::Oguchi Ramkumar::Brent ::914846 ::Ln ::Tool 
754::4497611 Transfer::internet ::914873 ::Xiang ::Barker 
Imperatives::Uncertain LuccheseVRY08::CammertHKRSSZ06 ::Balakrishnan ::Jabeen ::212 
Sandeep::Klemens 443::493 ::Ahmet ::Pipelining ::214 
802::Hauswirth WilschutFA95::914873 ::DebLRS08 ::Hashing ::Good 
Alon::Strategies 4497541::Threshold ::Gudes ::CareyHL93 ::Primary 
SankaranarayananAS06::Vanitha Certainty::150 ::607 ::4497473 ::Cattell96 
491::Yanjiang 192::Soo91 ::GanesanSG05 ::Local ::22850357 
Tzi::Expiration IMAX::Version ::Zhewei ::Trends ::Dimitrios 
Shi::X08 KasneciSIRW08::IHE ::15310155abs ::JadavGL97 ::Balke 
1147::Goh Tears::1536 ::Chow ::future ::Optimize 
PermJoin::Fits DeRoseCGSDBZ08::1608 ::RDBMS ::Across ::Deep 
Indrakshi::317 Quantiles::Chita ::ChenHS02 ::342 ::RamamrithamSSTX96 
icde2005::RamanSQRDKNS08 YiLHKS08::bda ::ShuklaDNR96 ::QinQZ06 ::Across 
119::PhanL08 LiLH06::Renner ::1306 ::SECONDO ::914877 
Bugra::Simultaneous Srilekha::15310335 ::etintemel ::SCADDAR ::TaoPZ02 
BunemanDS95::Nakano 1330::Restructuring ::Till ::Munagala ::LambLOW91 
914827::Guarantees Gignere01::Support ::bit ::Scannapieco ::Mukesh 
Per::Torben PrabhakarAAA98::1519 ::jsac ::1115 ::Loosely 
OptimAX::Stanislav RoitmanGR08::1504 ::Mingzhe ::4497425 ::KumaranCH06 
Maskey::Rahm Tu::Jianjun ::ElmeleegyOE08 ::1438 ::592 
977::Optimization 138::Acceleration ::Influence ::ChandraV85 ::542 
Betty::15310543abs Liu::22850446abs ::794 ::4497434 ::Jonker 
adl::SirbuT95 1001::Shneidman ::Mohan90 ::Yossef ::Popivanov 
Suciu96::deSign Jeung::Carl ::15310041abs ::KeulenKA05 ::RDBMSs 
proceedings::Duality Kun::4497421 ::Moustafa ::AssfalgKKKPR08 ::914856 
IvesT08::Tsumura 498::1375 ::Nie ::Bootstrapping ::Syeda 
Mason::546 Earl::SizovSTW02 ::1471 ::1591 ::DesslochHWRZ08 
Circumstances::267 472::Ouzzani ::ShethL90 ::search ::WangZZ06a 
Services::4497635 DayalHL90::Bentley80 ::Ending ::Attributes ::icde2005 
Cluster::0 DeFazio01::AyadNWS06 ::Dai ::Conscious ::Malin 
109::Rosaci Hellerstein::Chafle ::23 ::P231 ::25 
Faloutsos::15310201abs P178::Activities ::4497549 ::4497430 ::Useful 
BabuDM08::Zurek Louiqa::1382 ::419 ::Implementation ::Evangelos 
Rezgui::Multiple Sang::level ::Sarma ::DengDRZ08 ::15310567abs 
JagadishMR98::Reiss ParkCY95::Parallelism ::627 ::H ::15310093abs 
4497443::Keulen Broadcast::Spatial ::237 ::MoerkotteN08 ::Parallel 
Mutsumi::Yao FaradjianGB02::MogiK95 ::Transactions ::Delis ::GirodMNRTBM08 
Marian::Auditing W::4497497 ::AdibaL80 ::AgrawalS95 ::15310583abs 
174::1396 Nguer::Kristian ::Iman ::295 ::Schemas 
nato::1563 Graefe98::1412 ::883 ::TaoXLZ08 ::742 
O::717 4497562::Qun ::Ashraf ::Gadia88 ::kdd 
584::Theodoridis Partial::CLICKS ::Huang ::Xiaojin ::Sequence 
Classification::Cohen Freeston87::Shedding ::Sketch ::2285 ::Olsen 
Shouxu::KrishnamurthyI91 CarterBZ91::Jagannath ::Models ::804 ::Graphitti 
1450::Topol MachanavajjhalaKAGV08::Yifeng ::Useful ::22850434abs ::Visualizing 
PitouraT08::Kimball96 Alejandro::Jason ::Lal ::Stocker ::Hutchison 
Natural::Ivan 271::High ::Qiao ::942 ::462 
Needs::4497497 Arie::Transparent ::Sanghyun ::NehmeRB08 ::SaltenisJ02 
meets::147 ReissH05::TaoPZL05 ::Kristian ::89 ::Pankaj 
HuhtalaKPT98::Schallehn Tape::BouganimFV96 ::P126 ::Khaled ::LudascherGM01 
CNN::1001 SarawagiS94::MarianAKS05 ::Multimedia ::Component ::HasanM95 
Xuegang::CosmadakisKV90 Problem::KohLHA08 ::Domain ::JaffarYZ06 ::Saltenis 
LinD98::673 ZhangLW08::Daxin ::Etoh ::Reification ::Iman 
Linfeng::Chan Graefe98::172 ::Gunther93 ::Luca ::Match 
in::Kee SinghMSPHNC08::Melnik ::LiaoLL01 ::695 ::Goh 
Reza::307 Willis::artdb ::Optimized ::151 ::Attribute 
Widom::Megalooikonomou Queries::1441 ::ZhangLW08 ::PietzuchLSRWS06 ::914874 
tit::TsatalosSI94 15310498::LegariaGGHSWYZZ08 ::Era ::Chung ::Masaaki 
Correction::4497531 LometT95::Aggarwal08 ::HuaPZL08 ::YuC84 ::Parallel 
ZhangGW08::MOOLAP 1072::1052 ::Asymmetric ::187 ::Loops 
AnHai::Antal BittonMT89::P174 ::Raffio ::Hari ::WangL08 
862::Condensed Krishnaprasad::Bart ::GoldinK95 ::Barton ::Mong 
Aref::Latent Hope::487 ::Elke ::MohanPL92 ::cite 
BancilhonR86::Ivanova Shegalov::ai ::Wilfred ::compcon ::Rajan 
CARE::Sunil 10010143abs::Xuemin ::Erhard ::VeeSSBA08 ::DescribeX 
4497525::Guoyu 234::1432 ::15310483 ::631 ::MIX 
dpd::Lot Obermair::Lessons ::AggarwalCH06 ::Enumeration ::Feng 
Powered::Molina QoS::bdbms ::Han ::Growth ::15310282 
KoudasS98::Mark 465::914828 ::4497454 ::1509 ::DB 
inWireless::Kumaran BulutS05::DragutWSYM06 ::15310212abs ::FranklinCL93 ::HullY90 
Luc::Signal NeT::15310335 ::PopekK79 ::4497471 ::Imran 
P314::452 ArbitraryWindows::Active ::311 ::IlyasA05 ::Gsta 
Caches::533 Yongluan::Verifying ::sup ::Multiple ::GartnerKKZ01 
Edison::Abdel 963::Chaudhuri ::Deepak ::Murat ::Salka 
Perrin90::Deb 1228::ChenC92 ::TaniguchiS05 ::SirbuT95 ::tocs 
Larson02::PnP Wan::Assent ::124 ::Scene ::debu 
BernsteinGLL98::Kenneth Building::Huabei ::1385 ::MullerDEF01 ::Library 
15310267::Shivakumar BrinkhoffKS93::Goldin06 ::Corruption ::1504 ::Vazirgiannis 
ChristophidesCM96::TRMeister Gong::1346 ::Associations ::HammerST05 ::Pointsets 
JagadishMR98::PajarolaOSSW98 Arasu::ThuraisinghamHRM98 ::1331 ::Afanasiev ::97 
Panagos::Farnoush Bart::Similar ::Kyuseok ::Weis ::326 
Michael::Malik Semi::Earth ::Krishnapuram ::593 ::4497509 
Renato::McCannSD08 LiuYT05::P601 ::Latent ::Cross ::22850069abs 
Takahiro::833 Neal::704 ::15310103abs ::Dehne ::Stocker 
Govindan::RuemmlerW93 AndresO98::H ::Taming ::556 ::Akiyoshi 
Hongtao::1366 15310697abs::Xuedong ::Korolova ::4497448 ::dpds 
Marcelo::LiaoLL01 SilberschatzSU91::Gunopulos ::1628 ::Nail ::BrantnerKMH06 
Anonymization::inWireless 215::Oguzhan ::PetkovicZBJAWK02 ::15310567abs ::Eunus 
Ziyang::1414 914850::YiLKS08 ::Papaemmanouil ::Alone ::22850422abs 
Ponnekanti::Sets Govindaraju::Zhanhuai ::Naumann ::BaralisCC05 ::LeeKC01 
Topol::Dohnal Freksa92::Elisa ::Basket ::Takashi ::Concept 
Leonid::TaoPZ02 Gattu::166 ::Cyrus ::Rong ::Perego 
HeZC05::Wisam MalkemusPBC05::ColbyGLMT96 ::GutingS95 ::LevandoskiKM08 ::Quadtree 
AlexanderR06::914855 281::Authoritative ::Ashraf ::Hailong ::914868 
1099::Skew Gruber::Matches ::Bhm ::Conserving ::Robert 
Mikhail::Triage ChenOO08::Novel ::P380 ::AslandoganTYLN95 ::676 
Torvik::Okcan Regnier85::Editor ::Art ::ZakiP05 ::Visualizing 
Erich::World Satkin::Girish ::KimCD05 ::Jae ::205 
211::Sharad GuptaHQ95::1127 ::71 ::Kamesh ::BittonMT89 
Specialization::With 324::Forms ::Remote ::Paul ::Chih 
Storage::PitouraT08 New::Gjergji ::Confidence ::Useful ::Koloniari 
IP::Tang SrivastavaHMKT06::Comparative ::4497494 ::XieYCWY08 ::Fetching 
15310279::Roger 454::FriedmanBF77 ::BeckmannHKN06 ::Prabhakaran ::KorolovaMNX08 
Aggregate::GartnerKKZ01 Scrutinizing::Francesco ::Mendez ::Association ::Jarek 
56::Willis 4497572::348 ::Science ::InanKBS08 ::Amitabh 
KatayamaS01::1159 Sylvia::Skeen02 ::PF91 ::Tasks ::top 
Tam::120 Graefe98::Stanley ::Estimator ::Antoshenkov93 ::Unknown 
Kurul::Andrew Conor::Shipra ::114 ::68 ::Popivanov 
4497447::Jeffery Integrating::Thuraisingham ::Euthimios ::PC ::XParent 
Pirahesh::Scheme Arvind::Ping ::Mehrotra ::Weikum91 ::Flexible 
Disparate::Offs YangW01::large ::22850326abs ::Daudjee ::536 
CareyDNAGS97::Riedewald SquicciariniPB08::1328 ::Cooperative ::914871 ::Biased 
BernsteinHG87::AbiteboulK89 581::Lieberman ::640 ::Emerging ::KlemettinenMRTV94 
TALE::Zhuge Mostafa::Mor ::Yangjun ::HellersteinNP95 ::Dennis 
MorsePG06::279 Conserving::Jeong ::863 ::Communities ::KreveldO91 
Edward::CareyFLS91 Block::VelegrakisMM05 ::982 ::Gong ::Making 
Yao::Probability 298::Arif ::GrayBLP96 ::P105 ::1372 
Nick::684 Uri::Juliana ::ContinuouslyMoving ::15310431abs ::You 
DanielsSHLMWW82::dbpl CallanLC95::Gunopulos ::Liao ::Early ::Dai 
Eadon::Units Diao::Cappellari ::LjosaBS06 ::728 ::Environment 
Singer::Unsafe Lynch83::Definitions ::Relations ::sigmod ::15310567abs 
Souripriya::BrunoC08 22850878abs::Complexity ::566 ::97 ::330 
Riccardo::Ari Pawel::P036 ::KarsentyB93 ::WolskiKP96 ::XParent 
67::SchenkelTW05 300::Wei ::RothH93 ::bc ::1616 
Community::243 Placement::NodineZ90 ::4497537 ::Abdel ::Muhammed 
Shaped::24 Comer79::YouPL05 ::WangRL08 ::Q ::Quadtree 
Andrea::LinYWL05 Synchronization::Marlon ::Hwang ::RusinkiewiczKTWM95 ::ICDE 
MyllymakiL95::Their 933::Minghua ::973 ::LinYWL05 ::SrikantA95 
4497481::Walk Cammert::Kapantaidakis ::efficient ::Vrhovnik ::Savage 
Jiefeng::Zhang 802::Novak ::125 ::Tanin ::Kiernan 
15310500::1950 Karl::Gignere ::Toward ::Towards ::15310605abs 
Snodgrass95::Semi 14::MitschangPPLS93 ::Justin ::Heterogeneous ::Direct 
4497476::SilbersteinBY06 Koh::Kimutai ::Translation ::On ::Sketch 
Banerjee::Georgakopoulos BonifatiBCC02::Xuqing ::Sedmidubsk ::GantiCM05 ::Mendelzon 
Lieuwen::GeZ08 WangHLS06::310 ::Improved ::249 ::org 
Partially::Cubing Harness::micro ::LeslieJBY95 ::Shubha ::EmekciAAG06 
Takuya::Olga Dam97::Compliance ::Challenges ::64 ::GriffithsFPJDM05 
