::Kitagawa ::Taube 
::Janus ::Environmental 
::Strategies ::initPage 
::CLASSIC ::Keulen 
::Lomet ::X 
::Omiecinski ::Justin 
::508 ::X 
::Cache ::Schuble 
::Deferred ::78 
::Zirm ::Highly 
::29 ::480 
::Sushil ::Hartmut 
::Fritz ::Context 
::Harinarayan ::Overview 
::Alejandro ::45 
::Peng ::Terry 
::21st ::Later 
::Foreword ::CICS 
::Aided ::Distributing 
::McClatchey ::154 
::Donald ::Grossman 
::64 ::Join 
::Mary ::Shan 
::540 ::Arturo 
::Yerneni ::Repositories 
::Tufte ::95 
::Loss ::Birgitta 
::Zaane ::575 
::Energy ::Proposal 
::Zarka ::Jun 
::Saying ::462 
::Logic ::452 
::Has ::Panel 
::Anastassia ::Load 
::Conjuction ::Rashid 
::Notions ::339 
::Mason ::Jim 
::Pattern ::Ksiezyk 
::ADS ::Zhou 
::Cammarata ::Srivastava 
::175 ::are 
::Commercial ::Tschernko 
::Ten ::Stefan 
::Joakim ::102 
::Denotational ::Analysis 
::Lefler ::Quiescing 
::Christoph ::Kulkarni 
::Inegration ::Eisenberg 
::Qualitative ::121 
::Caching ::Labio 
::B+trees ::Spaces 
::McKay ::Carey 
::Scacchi ::Commit 
::Utilizing ::Generalizing 
::Algebras ::Retrospective 
::Avoid ::Baldeo 
::300 ::Tai 
::Realtime ::Summary 
::Jukic ::368 
::Printezis ::Interfacing 
::Traversal ::516 
::Keitel ::Meral 
::Write ::Role 
::204 ::Linkage 
::Subramanian ::Stoltzfus 
::522 ::Eich 
::Reedy ::Generating 
::Expressions ::Tomasz 
::Roland ::Soo 
::Scalable ::Simple 
::ONTOS ::Biliris 
::Concurrency ::Vijay 
::Webb ::Confluence 
::Jos ::Fraternali 
::1999 ::Preliminary 
::Tova ::Stuckey 
::Action ::Tam 
::Work ::289 
::Heterogeneous ::553 
::Omran ::Gelernter 
::Gilles ::Aggregate 
::Zhou ::Inegration 
::Academic ::Dhaval 
::Mamou ::Rahm 
::Tolerance ::Souder 
::109 ::Low 
::Wilburt ::Quiescing 
::Beverly ::263 
::VLDB ::160 
::Souder ::Composite 
::Symmetric ::Budet 
::Galindo ::271 
::Luef ::311 
::Maintenance ::Deduction 
::Kao ::Very 
::Rozenshtein ::Quickly 
::Editors ::Dimitrios 
::127 ::Zoerntlein 
::Bryan ::COntext 
::Amit ::Gupta 
::118 ::264 
::Plans ::Written 
::Jagadish ::FZI 
::23 ::Mehdi 
::Xiong ::Random 
::Justin ::Quantitative 
::Lorie ::Bhargava 
::Lougenia ::285 
::Teorey ::Pull 
::Tolerance ::Hot 
::576 ::Implementation 
::Bill ::308 
::Metrics ::Kyoji 
::Gist ::Rates 
::170 ::369 
::Benson ::Chih 
::Jonsson ::Collection 
::Building ::Tiziana 
::Fll ::Yixiu 
::250 ::Singh 
::Gravano ::SQL3 
::Tsatalos ::Term 
::90 ::Sean 
::Segment ::Write 
::von ::WHIPS 
::247 ::Flexible 
::Hwang ::64 
::Warehousing ::Nascimento 
::Hierarchies ::Donald 
::Bonnet ::Viewpoint 
::Function ::Alberto 
::Lorie ::Comparison 
::Tannen ::OOPSLA 
::C ::Rundensteiner 
::Wilms ::Utilization 
::Arne ::B 
::Kenn ::Benchmarks 
::Chaudhuri ::Torlone 
::Alessandro ::Alberto 
::Daniela ::Musukula 
::Merge ::29 
::Panagos ::Raghu 
::Sou ::Mauricio 
::Gives ::Component 
::Sleepers ::BIRCH 
::Englert ::Kshitij 
::Unifying ::Michele 
::Reply ::Beyond 
::Hoel ::Garofalakis 
::528 ::on 
::McLoughlin ::Complete 
::Laver ::Ilker 
::Renner ::217 
::30 ::Spyratos 
::Praveen ::Unifying 
::Stanford ::Kwei 
::Davidson ::545 
::Stephanie ::Dangers 
::579 ::Kolodner 
::Mok ::Presence 
::Rowland ::Sidell 
::Size ::Hung 
::attribute ::Semantics 
::Chirn ::Edward 
::ISS ::Compression 
::Waqar ::McCure 
::Lo ::EFDBS 
::Duval ::Subramanian 
::J ::Ni 
::Constraints ::Silvano 
::197 ::Lawrence 
::Better ::Partial 
::Client ::TSQL2 
::Knowledge ::Mendelzon 
::Randy ::Editorial 
::Sonia ::With 
::Redundancy ::Sarda 
::Service ::307 
::O2 ::Ozcan 
::194 ::over 
::Anastasia ::Ins 
::Transfers ::Intensive 
::Message ::462 
::Cai ::Koch 
::Reasoning ::Sibel 
::Merrett ::R 
::Knowledgeable ::Creation 
::Timothy ::329 
::Borras ::264 
::Cetin ::Keng 
::Rao ::GEM 
::Jae ::Kotidis 
::Umeshwar ::Service 
::Useful ::Manfred 
::La ::Stochastic 
::Dittrich ::oriented 
::Relational ::Masatoshi 
::Creating ::Ariav 
::Schuh ::Mapped 
::Lifestreams ::Trobe 
::176 ::330 
::Designers ::Production 
::Yannis ::88 
::245 ::Tomasz 
::Centre ::Database 
::Warren ::Warehousing 
::Toiati ::Atomic 
::order ::Joosten 
::Views ::Klug 
::Nyberg ::OR 
::341 ::Luc 
::Waqar ::Policies 
::Bernard ::216 
::Stefano ::517 
::Walch ::Structure 
::216 ::Sema 
::Crestana ::Mumick 
::Volker ::Wrapper 
::Command ::Ailamaki 
::Shing ::88 
::Stavros ::On 
::Efficiently ::Proposed 
::Yuksel ::Paepcke 
::Wendy ::Weinberger 
::Zou ::Braham 
::Paepcke ::520 
::Manifesto ::DBSim 
::Decision ::Iterative 
::Ricardo ::Presence 
::Gadia ::Ee 
::Bezenchek ::World 
::Top ::58 
::Barinderpal ::Process 
::161 ::ODBMS 
::are ::Duschka 
::Zarka ::Quiescing 
::Middle ::Shectman 
::ARTDB ::UniSQL 
::Network ::Secure 
::Carter ::SIM 
::MEDUSA ::Machiavelli 
::Brigitte ::Mancuhan 
::Growing ::Goldberg 
::580 ::Pirahesh 
::389 ::Separately 
::Curt ::Imielinski 
::Ahead ::Young 
::Bjrn ::Laks 
::Kasi ::386 
::Christoph ::504 
::Simulation ::from 
::Wm ::Nesting 
::150 ::Gallagher 
::Won ::Distance 
::Arne ::Honeyman 
::Erratum ::Partial 
::Krzysztof ::Naacke 
::58 ::Specification 
::Inge ::Pang 
::Candan ::287 
::Schnhoff ::Ramesh 
::Self ::Tom 
::Alessandro ::256 
::Relly ::Polymorphic 
::Paraboschi ::Orientation 
::Oliver ::Seshadri 
::SONAR ::182 
::Internet ::AI 
::Lefler ::Enterprise 
::Dayns ::Stuckey 
::Pernul ::Lewis 
::Victor ::Jeffrey 
::148 ::Hayes 
::369 ::MOSAICO 
::Activities ::Hian 
::Adding ::Saying 
::Condition ::239 
::Commitment ::Stefan 
::Going ::Roman 
::Gibbons ::Lieuwen 
::Norman ::Annotating 
::2001 ::Goldman 
::Hugh ::Badia 
::Seeger ::Federation 
::353 ::205 
::et ::the 
::Gerlhof ::Optimistic 
::Gilles ::OODBMS 
::Shea ::Andrew 
::language ::Where 
::Comparison ::Muth 
::Kohler ::Meeting 
::Ramirez ::Harris 
::Leung ::Piyush 
::Simple ::Eliminating 
::Reconstructed ::Rene 
::Critical ::Stable 
::Partial ::Crossroads 
::Sequences ::Smith 
::206 ::183 
::time ::Broadcast 
::Klemens ::Schang 
::Nag ::Candan 
::Survey ::Jochen 
::Fynn ::BCNF 
::307 ::Independence 
::automatic ::Semantic 
::Kossmann ::Relations 
::232 ::Machlin 
::Hypertext ::Narang 
::39 ::217 
::325 ::Sundaresan 
::Decompositions ::zhan 
::Dusseau ::Catriel 
::Thyssens ::Outerjoins 
::Meckler ::Structured 
::DARPA ::Sun 
::WORM ::Architectures 
::Transition ::Reclustering 
::Lotus ::Multidatabases 
::Rashid ::Views 
::Mogi ::Swarup 
::OnLine ::Investigation 
::17 ::Answers 
::237 ::Tetelbaum 
::Alphanumeric ::Samet 
::Skew ::Haim 
::Life ::313 
::Queens ::215 
::Kulkarni ::378 
::Loss ::Milo 
::Don ::World 
::Renner ::Inderpal 
::Cube ::Brigitte 
::Administration ::Bernhard 
::468 ::Benson 
::Algorithms ::Roy 
::zsoyoglu ::POSTGRES 
::Adya ::Rajiv 
::Baeza ::Mariposa 
::Searching ::Role 
::Indexes ::102 
::Garnett ::Bancilhon 
::to ::Nag 
::397 ::Group 
::Efficient ::Continuous 
::Stephan ::AlphaSort 
::Gordon ::Amherst 
::Bestavros ::Block 
::Scaleable ::58 
::Karlapalem ::Position 
::Vassilis ::level 
::313 ::Roger 
::Braunmller ::Tree 
::Logging ::Mitch 
::Castano ::Au 
::Musukula ::Timothy 
::Girish ::Relationships 
::Bamford ::Groupware 
::Low ::S3 
::548 ::Syntax 
::Larson ::Lukas 
::Donald ::260 
::Zaane ::Fabio 
::Flaws ::352 
::Supporting ::STEP 
::Codd ::Thatte 
::Mick ::Process 
::Kosch ::Matias 
::Johannes ::AlphaSort 
::Inheritance ::Flokstra 
::Compensation ::Stefan 
::DBLearn ::Koschel 
::Chakravarthy ::401 
::Message ::NASA 
::Range ::Proposal 
::Meeting ::Hyuk 
::NonStop ::Walker 
::Initial ::Melvin 
::Wrappers ::Transaction 
::Metadata ::Into 
::Sycara ::Witold 
::Jukic ::Nikhil 
::Gerard ::Deleting 
::Doan ::Match 
::Extendeing ::Pratt 
::Marina ::Jeffrey 
::Cheap ::Rosneblatt 
::Hendrikx ::Peithner 
::Breaking ::DIRECT 
::Cvetanovic ::HPCC 
::EXODUS ::Ten 
::Barry ::technology 
::Benchmark ::102 
::Manipulating ::Pedro 
::Maurice ::Toolkit 
::Panagos ::Mikael 
::Englert ::528 
::Nikhil ::UniSQL 
::48 ::52 
::Alperin ::538 
::307 ::Stefanovic 
::Chim ::Complex 
::Acitivities ::Algebras 
::Expensive ::Kocharekar 
::Descollonges ::Quantifier 
::Troyer ::419 
::82 ::Sybase 
::database ::Loops 
::207 ::Jignesh 
::478 ::Workflow 
::68 ::187 
::53 ::Guidance 
::Jie ::Value 
::Karlapalem ::WWW 
::Sarda ::Mapped 
::Donovan ::Facility 
::Srinivasan ::Vance 
::Life ::Kuan 
::Nearest ::Dimitra 
::Per ::Picture 
::Lore ::Shivakumar 
::Woodruff ::137 
::Hugh ::Tomasz 
::Hanan ::Kim 
::Breaking ::Documents 
::Lotus ::Pletch 
::Distributor ::STanford 
::Observations ::Cooperation 
::542 ::Locking 
::428 ::SBBD 
::Ganguly ::Aloysius 
::Year ::Accociation 
::Michle ::Remote 
::Loeffen ::479 
::194 ::Java 
::Ra ::Anastasia 
::External ::Warehouses 
::Visualisation ::Path 
::Model ::Apparatus 
::Ahlberg ::Action 
::289 ::71 
::Knowles ::Hong 
::Schek ::Marvin 
::134 ::Jayant 
::474 ::Scientist 
::417 ::541 
::Metrics ::Piero 
::Alessandro ::de 
::379 ::Sequence 
::Designing ::Finally 
::520 ::Self 
::Years ::Petterson 
::Clements ::Down 
::Bruno ::Brinkhoff 
::Delaunay ::wish 
::Box ::435 
::Wisconsin ::492 
::Goodman ::GeoMiner 
::Gnther ::Gelernter 
::Brodie ::Morishita 
::Keim ::Mosh 
::Ada ::Miron 
::Nichols ::Packer 
::Kucera ::Sacks 
::Julian ::Technology 
::111 ::Papoulis 
::102 ::Conceptual 
::Naveen ::Helal 
::Blanken ::Asserting 
::Richard ::Shahram 
::281 ::Four 
::416 ::Enhanced 
::MINOS ::Shapiro 
::Subsequence ::419 
::Cart ::Detection 
::Centre ::Brigitte 
::37 ::Ieong 
::Hou ::Optimization 
::Kuan ::DARPA 
::143 ::Participants 
::Schmidt ::Shu 
::Wide ::Allen 
::Maintaining ::Arie 
::108 ::ASSET 
::358 ::Tsong 
::Review ::Relational 
::Development ::Rafanelli 
::576 ::166 
::311 ::METU 
::Shrira ::Queens 
::Skeen ::Taube 
::Contextualizing ::Willard 
::Beigel ::41 
::Range ::Nguyen 
::Index ::Environments 
::Academic ::Later 
::Jussi ::153 
::Ouksel ::Bill 
::Right ::Agents 
::Chirn ::428 
::Recursion ::467 
::EOS ::Symposium 
::Zoerntlein ::Harris 
::Grasnickel ::Riccardo 
::Harald ::Cyclic 
::Aloysius ::306 
::Lohman ::Nural 
::Naughton ::Files 
::Stochastic ::Mediratta 
::Hoch ::Vingralek 
::Berndtsson ::Ugur 
::H ::Workflow 
::Response ::Klusch 
::549 ::226 
::Ley ::Proposed 
::Narain ::Eben 
::Support ::Rewiew 
::Updates ::Hans 
::Centre ::Larson 
::522 ::Uz 
::Milo ::Alessandro 
::Shared ::Tjoa 
::Site ::Relly 
::Interaction ::Nag 
::Linda ::Egemen 
::Cory ::Saying 
::Guarantee ::OLAP 
::Inverted ::Eisenberg 
::Terry ::Correlations 
::518 ::Wiest 
::555 ::Gadia 
::Shea ::219 
::Wen ::Ganapathi 
::Magic ::242 
::Kotidis ::Jagadish 
::Benchmarks ::Kuan 
::Libraries ::Statement 
::Software ::Imielinski 
::Omiecinski ::Pratap 
::Shoens ::Buffering 
::Markus ::Dale 
::358 ::During 
::Ingres ::Aidong 
::Gerlinde ::Baskets 
::Ebru ::Berchtold 
::Priti ::Moffat 
::Hellerstein ::20 
::No ::Omran 
::Institute ::Yasushi 
::542 ::Worst 
::Michel ::Hong 
::Separately ::BeSS 
::ITRI ::479 
::Achyutuni ::Kosch 
::516 ::ichi 
::Beeri ::Techniques 
::242 ::Resolution 
::Achyutuni ::Andrianopoulos 
::Pipelined ::Through 
::Selectivity ::sets 
::Easy ::231 
::Tokens ::Braham 
::Hierarchical ::Alberto 
::Environment ::Interface 
::Two ::Kilic 
::Lomet ::Generation 
::Hypertext ::Moira 
::B+trees ::Myers 
::Thierry ::Betty 
::Ko ::Sudhir 
::Prospector ::und 
::Rowe ::Tokuyama 
::Jacek ::Materialization 
::522 ::Current 
::Concepts ::Abdel 
::Kwei ::Can 
::Garcia ::Grammar 
::Eaglestone ::Mogi 
::Block ::Schiefer 
::Daniels ::NP 
::Tsong ::Been 
::Elke ::Proposed 
::557 ::Explanation 
::Asgarian ::Realtime 
::262 ::Mrcio 
::Ford ::528 
::al ::Primitive 
::Samet ::Bhateja 
::Fry ::Tallot 
::Letter ::Transitive 
::NF2 ::Fernandez 
::Shenoy ::Crestana 
::Rdb ::Amr 
::Raju ::Tang 
::Yongdong ::Static 
::Fixing ::Errors 
::Reorganization ::Erbe 
::Catriel ::Kaizhong 
::556 ::Passing 
::Sycara ::During 
::Building ::Memory 
::Yuri ::Jian 
::Manolis ::Wilner 
::Previews ::Jenkins 
::Multidatabases ::Gal 
::GIUKU ::101 
::Quantitative ::Taosong 
::439 ::Schneider 
::Jennifer ::253 
::Abbadi ::Zurek 
::82 ::Minyoung 
::Bushy ::Rajendran 
::434 ::224 
::Hide ::Approach 
::Schema ::E 
::RDBMS ::Kilic 
::Randy ::Abstract 
::Juergen ::Hierarchically 
::Referential ::Aberer 
::Dense ::Deppe 
::238 ::Distance 
::Identity ::Costa 
::Neighbor ::317 
::Rolker ::Unnikrishnan 
::relations ::Teorey 
::Fatima ::OR 
::Tsotras ::Medeiros 
::Agents ::Orenstein 
::Recurrent ::Warren 
::Svetlozar ::Attributes 
::Has ::Taosong 
::Hillyer ::Vardi 
::Definition ::Behavior 
::They ::365 
::Kfer ::Nearest 
::Ecklund ::Johannes 
::215 ::386 
::R ::Safe 
::107 ::Errors 
::Jacek ::Content 
::Zhao ::Daniel 
::Luther ::Commercial 
::Gary ::Piatko 
::Kam ::321 
::Franklin ::Selinger 
::Yang ::32 
::Abraham ::Academic 
::Graham ::Suryanarayana 
::Stoltzfus ::123 
::Denotational ::Distribution 
::Capabilities ::238 
::Retention ::Inc 
::Between ::Finite 
::Golshani ::Shekar 
::Beeri ::Unix 
::Miller ::Retrieval 
::University ::endPage 
::Manipulating ::Budget 
::Key ::MINOS 
::446 ::Yue 
::Klonk ::Allen 
::Helland ::Relational 
::Visualization ::Thuraisingham 
::Gaffney ::Griffin 
::264 ::511 
::195 ::Indices 
::Another ::Sources 
::Warkentyne ::Taneja 
::Zurich ::Balancing 
::Kamalakar ::Effect 
::Wen ::Leonid 
::attribute ::articles 
::Hung ::title 
::Soumitra ::Karim 
::tolerant ::Karthikeyan 
::Ghassan ::Queensland 
::Vingralek ::Compatible 
::Flip ::Joosten 
::484 ::Relaxed 
::Glavitsch ::Roberto 
::I ::Inverted 
::Birgitta ::Resource 
::Warehouse ::EDUCE 
::Sylvia ::70 
::Carrie ::Optimality 
::Widom ::125 
::Arturo ::Warkentyne 
::Technology ::Raju 
::Haran ::Maxine 
::Nancy ::Disambiguation 
::Chiang ::Molina 
::Segev ::Special 
::Administration ::Klusch 
::Range ::Reuter 
::519 ::Richard 
::Augusto ::ichi 
::383 ::Jones 
::105 ::Comparison 
::Mediator ::33 
::V ::Minos 
::273 ::Flix 
::Ken ::ObjectStore 
::Sorting ::Yezdi 
::Kyoji ::Strategy 
::Ilker ::4 
::Scans ::Strengthen 
::Jensen ::Mariano 
::Arjan ::R 
::Steven ::Architectures 
::Inapplicable ::Stuckey 
::Baader ::Christmas 
::Been ::Extension 
::ANSI ::Frasson 
::Configuration ::Chairman 
::zden ::Bhashyam 
::Christian ::124 
::MultiView ::Wasserman 
::SBBD ::Melvin 
::SigmodRecord ::Project 
::Achyutuni ::Xiaolei 
::Wide ::Durusoy 
::Methods ::Ra 
::Navin ::Lineare 
::Goal ::Normal 
::563 ::Knoblock 
::Trueblood ::Sonia 
::Lineare ::513 
::Daniels ::ADS 
::order ::Power 
::276 ::Lueder 
::Flynn ::12 
::Nichols ::Gerlhof 
::Anastasia ::Laursen 
::Dittrich ::Vista 
::Kincade ::Constraint 
::Ramanathan ::Write 
::DBMSs ::Hussein 
::Shasha ::165 
::507 ::Ada 
::Written ::Stefano 
::Dynamically ::Jie 
::Grossman ::Dependencies 
::System ::Combining 
::Bressan ::Translation 
::Tsotras ::Gogolla 
::Narain ::18 
::Experiences ::Moshe 
::Osmar ::Berndtsson 
::Grosky ::Grained 
::Quass ::X3 
::Lists ::Viewpoint 
::NonStop ::Shashi 
::378 ::Kirby 
::Matching ::SEMCOG 
::Sheldon ::238 
::Conrad ::Transfers 
::Wodtke ::Algorithm 
::Industrial ::Barinderpal 
::0 ::Features 
::Closing ::ORES 
::Amouroux ::DAFTG 
::282 ::550 
::Alessandro ::OLE 
::Inc ::Exploiting 
::Papers ::Kline 
::Standard ::Complexity 
::Brodsky ::536 
::Blott ::Tannen 
::zhan ::Madnick 
::J ::Wilhelm 
::Walch ::BCNF 
::Marvin ::Alex 
::Center ::Shan 
::Personal ::Reformulated 
::Use ::Yihong 
::104 ::70 
::Toolkit ::Visualizations 
::Banu ::Klug 
::Capability ::Philip 
::Kulkarni ::Function 
::Best ::Jacek 
::Passing ::Catriel 
::Synthetic ::Flexible 
::CODASYL ::Balancing 
::Bussche ::40 
::Vasilis ::Operation 
::Gives ::Objectives 
::Hypothetical ::Bertram 
::Janet ::Davison 
::Expensive ::250 
::Yongjian ::Durusoy 
::EOS ::Catarci 
::Alfons ::Gaffney 
::Diagram ::Called 
::152 ::Madhu 
::B ::Jiawei 
::Lindsay ::Osmar 
::General ::East 
::New ::Model 
::Murphy ::REpository 
::Val ::Retrieval 
::Asserting ::Gibbs 
::Applying ::Hillyer 
::556 ::Fll 
::Karlapalem ::Prospector 
::Towsley ::192 
::Levine ::Outer 
::Mukul ::Editorial 
::Consistency ::Unruh 
::Baeza ::398 
::Freytag ::Asgarian 
::Ju ::Zhang 
::Cyclic ::Kanellakis 
::Reconciliation ::Kiyoki 
::Resnick ::Loading 
::148 ::474 
::Su ::G 
::Roussopoulos ::Heytens 
::Predicates ::Distributed 
::Connell ::Has 
::Clustering ::123 
::Gives ::Benjamin 
::Shiri ::Transfers 
::to ::Trigger 
::L ::OLE 
::Kumar ::281 
::207 ::Presence 
::MQSeries ::Konstantinos 
::ObjectStore ::Breitbart 
::Wolfson ::Valduriez 
::532 ::Heuristic 
::164 ::Coherency 
::Federation ::Much 
::Lukas ::289 
::in ::MultiView 
::Inserting ::James 
::Tufte ::Wilms 
::Hans ::Chomicki 
::Audit ::Nabil 
::Ahead ::any 
::Kon ::560 
::Hoch ::Christian 
::issue ::Use 
::Predictive ::Franoise 
::282 ::Reformulated 
::Walt ::Counting 
::Symposium ::Observing 
::Entity ::Claims 
::158 ::Kim 
::Tony ::Naacke 
::Querying ::440 
::Lothar ::Morimoto 
::Array ::ODE 
::Mario ::285 
::Shian ::386 
::Jrgen ::Limsoon 
::Ghemawat ::Providing 
::Johnson ::Hasselbring 
::Uz ::Strssler 
::Fox ::Jones 
::339 ::Tang 
::66 ::446 
::Top ::Ghassan 
::Lipski ::Applications 
::Peithner ::Adaptive 
::Grasnickel ::Trees 
::Masum ::Hall 
::Eben ::Memory 
::Shu ::Leonid 
::Trigger ::Candan 
::Copeland ::365 
::Carey ::Analyti 
::Atomicity ::Korth 
::Steven ::RDBMS 
::Continuous ::Accessing 
::Rules ::East 
::DeMichiel ::Datalog 
::Buneman ::Neptune 
::Agrawal ::Servers 
::154 ::Doan 
::relations ::Katz 
::Vipin ::Segev 
::Tsichritzis ::230 
::557 ::21 
::Maier ::Lewis 
::Milt ::Artur 
::relations ::Detection 
::283 ::Myers 
::Network ::Perspective 
::266 ::Kolodner 
::Gadia ::Henry 
::204 ::Already 
::Mapping ::Hearst 
::FaceKit ::Gelernter 
::Mariagrazia ::Malcolm 
::Annotating ::Dina 
::Nicolas ::48 
::Popova ::Left 
::Stavros ::Garofalakis 
::Lipeck ::46 
::Winfried ::Indian 
::Already ::Sharing 
::Cache ::Tjoa 
::Hampapur ::Bruce 
::Effect ::Ilker 
::406 ::Funding 
::Wilhelm ::Desktop 
::Stored ::Warren 
::Julian ::447 
::Alfons ::Hillebrand 
::Lifestreams ::Acitivities 
::Janet ::Finally 
::Site ::Gruber 
::Designing ::Zobel 
::Baldeo ::165 
::Tjoa ::Ulusoy 
::they ::Ahlberg 
::Jordan ::Arguable 
::Sema ::Scale 
::Mlle ::147 
::236 ::Alon 
::Java ::Arturo 
::Complex ::Pipelined 
::Kamalakar ::Jagadish 
::Eich ::Nothing 
::Nick ::MLR 
::128 ::Record 
::Farshad ::Distribution 
::OLAP ::Actual 
::128 ::Paolo 
::an ::Sripada 
::Environmental ::Power 
::formerly ::Mechanism 
::line ::lun 
::Scientist ::Seeded 
::Kabra ::VMS 
::Stored ::Priti 
::Power ::Yuksel 
::Renner ::Box 
::403 ::SEQUOIA 
::Cvetanovic ::Clement 
::339 ::Kincade 
::Editors ::End 
::SE ::Ebru 
::Eric ::Dittrich 
::Semistructured ::459 
::Lineare ::Rivero 
::Multiprocessor ::Machines 
::Gerd ::Five 
::Manifesto ::405 
::Sena ::Visual 
::AI ::21 
::77 ::Skeen 
::Pedersen ::Kspert 
::Activity ::514 
::Tamer ::Mick 
::University ::Extensible 
::Statistical ::Konrad 
::Windows ::474 
::Pozzi ::Closure 
::Shamkant ::Crisis 
::Hsiao ::154 
::Tony ::Cvetanovic 
::Roussopoulos ::Karen 
::Franoise ::Merging 
::Maryland ::Said 
::Adya ::174 
::zden ::EFDBS 
::Christophe ::structured 
::Wiederhold ::Speech 
::483 ::Atkinson 
::LORE ::26 
::Louis ::De 
::361 ::Cherniack 
::Rudolf ::Sun 
::Kspert ::Summary 
::ASSET ::Quantifier 
::Implementation ::Shamkant 
::User ::Koperski 
::Dina ::483 
::Yixiu ::509 
::Warehouse ::148 
::database ::355 
::Andree ::Luo 
::90 ::Franklin 
::Inegration ::Policy 
::Syan ::Lodge 
::Mattos ::504 
::16 ::Industry 
::Append ::Cowley 
::Abel ::Naveen 
::Tsur ::Ramanathan 
::Class ::Bolour 
::Writes ::McHugh 
::non ::Mike 
::Colin ::Infinite 
::Kambayashi ::Jordan 
::Interfaces ::Properties 
::Cichocki ::300 
::379 ::Images 
::Kazuhiko ::Colette 
::Davison ::DDTS 
::Mark ::Robert 
::Gio ::in 
::Sleepers ::Multiversioning 
::Donjerkovic ::232 
::Architectures ::Gale 
::Rosenthal ::Requirements 
::Structured ::Bauyer 
::127 ::Wrappers 
::Susan ::Guido 
::Vipin ::Sleepers 
::Scalability ::Rule 
::Solving ::Giansalvatore 
::Kennedy ::oriented 
::Kang ::Identity 
::McLoughlin ::276 
