::Neel ::412 
::Keyword ::Graphical 
::Queues ::Angel 
::Windhouwer ::P178 
::LoR96 ::FaloutsosB93 
::2 ::InanKBS08 
::280 ::GartnerKKZ01 
::Reality ::8 
::198 ::KivinenM95 
::Early ::acr 
::Bausch ::XSEED 
::HwangC05 ::Guy 
::Murali ::Changqing 
::Kian ::914854 
::Twig ::Papadimitriou 
::Warping ::8i 
::Bhattacharya ::Gabriel 
::Amol ::25 
::412 ::828 
::Hongjun ::22851131abs 
::Susan ::Srinivas 
::138 ::15310494 
::15310282 ::Wombacher 
::Changqing ::Nobutoshi 
::BhowmickP06 ::Menzo 
::667 ::Govindarajan 
::Overcoming ::410 
::Frdric ::Kha 
::Torben ::vldb 
::Cochinwala01 ::Valduriez93 
::ShivakumarG95 ::1426 
::237 ::4497406 
::Raman ::Processors 
::Lookups ::Isolation 
::Seltzsam ::Consens 
::Platform ::Sougata 
::Linear ::Buneman 
::LaiTB05 ::261 
::Rishi ::That 
::Rosa ::Leveraging 
::booktitle ::streams 
::Long ::22850326abs 
::Pawel ::Aberer 
::Hae ::Tracking 
::4497512 ::In 
::Hongtao ::PrabhakarAAA98 
::1083 ::Outsourced 
::Saydean ::Deligiannakis 
::443 ::Willy 
::Development ::Filippo 
::AHYDS ::1515 
::Riqiang ::H 
::22850978abs ::Umeshwar 
::Mller ::JeungLSZ08 
::Back ::Terzis 
::Chu ::Utilization 
::Mahadevan ::Prasanna 
::Acquisitional ::BryCDFOS05 
::Batched ::4497637 
::P076 ::Networks 
::Linfeng ::All 
::TelegraphCQ ::Jenkin 
::Bruno ::RuemmlerW93 
::Galindo ::Surface 
::BrantnerHKM05 ::Prototype 
::Nora ::Hanson87 
::Getting ::Poulsen 
::Inderpal ::COSTA 
::LentSW97 ::Uncertain 
::Suleiman ::DeshpandeH02 
::DeRose ::Darrell 
::Stonebraker ::495 
::224 ::22850705abs 
::367 ::15310333 
::Sae ::Indriyati 
::Locking ::Lomet92 
::Pollack ::Tsaparas 
::KramerP96 ::Warren 
::Teoh ::Katsumi 
::Maintaining ::ONeilOW93 
::Quality ::Spiekermann 
::Sergei ::LindsayMP87 
::Inter ::bancilhonDK92 
::VlachouDNV08 ::Wan 
::Haejoong ::Sedmidubsk 
::Felber ::Bhalotia 
::Avigdor ::Vlachos 
::Joins ::4497621 
::Protein ::Loosely 
::Containing ::JagadishMR97 
::546 ::Seidel90 
::avi ::Makoto 
::SEMCOG ::80 
::Spiros ::Optimal 
::1604 ::355 
::Sing ::Bypass 
::Traina ::Gudes 
::540 ::Outstanding 
::GuptaMS93 ::92 
::ChaudhuriGKLLM98 ::Smoothing 
::Relationally ::1160 
::Model ::Relation 
::Expressive ::Arumugam 
::Ferrari ::Wombacher 
::Gunopulos ::Karras 
::doi ::Exploring 
::15310369abs ::22850927abs 
::Konrad ::Arun 
::Discriminant ::ddb 
::LudascherGM01 ::333 
::ChuK89 ::Networks 
::914878 ::Mukherjea 
::spieSR ::Giorgio 
::Variable ::Santos 
::Graefe98 ::Batch 
::22850804abs ::FarfanHRB08 
::adl ::Sets 
::22850828abs ::Engovatov 
::Benjamin ::Rosy 
::Naidu ::Hallett 
::Pipelined ::4497425 
::Hse ::255 
::22850680abs ::252 
::Pointsets ::Date90 
::ChoR02 ::Orchid 
::192 ::Shedding 
::Ziarko91 ::Praveen 
::914840 ::compgeom 
::Pekka ::Efficient 
::Bernhardt ::Huahai 
::Taming ::Ramy 
::Diagnosis ::470 
::Samaras ::963 
::22851145abs ::Saake 
::Repairable ::GoelSYZ02 
::Shafiq ::MaddenG08 
::Enumeration ::Aoying 
::Kha ::Pablo 
::LehnerHS02 ::4497443 
::1112 ::LiuLG08 
::P036 ::Gravano 
::LiH89 ::AgesenBPT01 
::Bhattacharya ::Nithya 
::Equation ::Aranyak 
::Tetsuya ::icdt 
::LevyRO96 ::X06 
::Anonymous ::ChungGS02 
::Sunbir ::Nicolas 
::GuoSBS05 ::Twig 
::Maskey ::LimN01 
::PGM ::pdf 
::Detect ::IlyasA05 
::Ahn08 ::Knig 
::Batched ::Hiroshi 
::Shukla ::BunemanCFHMV05 
::Earl ::MobiQual 
::LeungNM02 ::914846 
::Ding ::Big 
::Papapetrou ::1424 
::496 ::Luc 
::1460 ::P164 
::Tape ::Bryan 
::1615 ::Exemplar 
::GeorgakopoulosHM96 ::195 
::Alfons ::Kedar 
::Subarna ::fledged 
::Yuen ::4497613 
::492 ::1381 
::GuhaK02 ::PuL91 
::AutoGlobe ::346 
::Tzi ::Factorization 
::BergD95 ::Implementing 
::1107 ::ZhangPW08 
::Limited ::Locality 
::csur ::Michal 
::914859 ::Generalizing 
::Q ::Format 
::EderL95 ::1567 
::Calimlim ::4497579 
::Kifer ::4497627 
::Descriptions ::Etzard 
::Gmach ::15310697abs 
::Shenoy ::Main 
::BlockeelCFGP08 ::Intra 
::Selectivity ::KetchpelGP97 
::GoldingBSSW95 ::ups 
::H ::Satkin 
::Jayant ::Morzy93 
::Vlastislav ::Ihab 
::JeungSZ08 ::Ippokratis 
::Did ::internet 
::75 ::Narayanan 
::Vaidya ::Kshitij 
::Dependable ::DrivenWeb 
::LeFevreDR06 ::Damianos 
::15310274 ::Chai 
::Graphitti ::Alternative 
::914846 ::Martin 
::22850791abs ::Evolution 
::Nanni ::532 
::1137 ::Manipulation 
::1563 ::XuLXM06 
::Haifeng ::326 
::GalpinBJFP08 ::15310273 
::Antony ::Isolation 
::MetaQuerier ::Non 
::With ::Amitabh 
::WangHLS06 ::Monica 
::Bressan ::Takahiro 
::Vakali ::AggarwalY08a 
::Sweeney ::MachanavajjhalaGKV06 
::4497456 ::ZhangAO05 
::241 ::841 
::ife ::Advancement 
::Annotation ::15310155abs 
::Green ::YangW01 
::ShenSYZC06 ::Enterprise 
::Y ::Routing 
::csdl ::Renz 
::1102 ::Working 
::Ge ::963 
::Ketchpel ::Process 
::MachanavajjhalaKAGV08 ::Spannagel 
::76 ::4497598 
::Marian ::Barzan 
::ChenRDEGS06 ::BerchtoldBK98 
::tods ::22850298abs 
::Hallett ::tcs 
::22851013abs ::YuHC05 
::Telematics ::Correlated 
::Akihiro ::Kreutz 
::600 ::Hiroomi 
::Maier ::ife 
::Santos ::Chandel 
::Qiming ::Balanced 
::Verifiers ::Advanced 
::Thalhammer ::Subrahmanian 
::Ordering ::Tape 
::ChenJKKMNS01 ::466 
::314 ::Weaver 
::Getting ::Answer 
::EROCS ::Borr81 
::P402 ::Rank 
::Knowledge ::Kolovski 
::BronczWK98 ::ShivakumarG96 
::Todd ::Hsiung 
::Interfaces ::Shantanu 
::619 ::472 
::Subrahmanian ::2285 
::Clement ::from 
::Stonebraker96 ::1340 
::Ravada ::Koch 
::ParkCY95 ::SpaceTwist 
::130 ::487 
::1513 ::Chuck 
::323 ::DrapeauPK94 
::4497595 ::15310453 
::Theory ::Mostafa 
::Gryz ::349 
::Paths ::Chawathe 
::15310280 ::P241 
::Presence ::Pradeep 
::Sotiris ::Miller 
::Naughton ::Sotiris 
::Ownership ::22850242abs 
::1474 ::Ayad 
::Kramnik ::ADEPT2 
::Janne ::332 
::Sequenced ::Aritsugi 
::LiuYGS98 ::357 
::Z ::DarFJST96 
::Mass ::15310297abs 
::Saltenis ::511 
::PermJoin ::1101 
::Terms ::4497619 
::106 ::cosit 
::BerchtoldKK96 ::Biological 
::Deshpande ::15310166abs 
::Shiroh ::DayalHL91 
::ChanFLNR82 ::Loh 
::4497623 ::Dominance 
::228 ::Hull 
::inproceedings ::within 
::TAR ::Traina 
::598 ::Vasilis 
::11 ::1334 
::PHASME ::Keidl 
::el ::15310017abs 
::Sylvia ::Twig 
::22851024abs ::744 
::Fu ::22850791abs 
::driven ::256 
::JagadishMS95 ::Chairs 
::Dao ::Young 
::Quan ::HacigumusMI02 
::Gisela ::Ogawa 
::Miled ::22851013abs 
::h ::Porto 
::Sylvia ::4497565 
::Stavros ::Heinz 
::WolskiKP96 ::CluetD92 
::top ::Skippy 
::Chiew ::Bhattacharya 
::Laboratories ::Citizens 
::with ::Ahmad 
::Ramamurthy ::DB 
::Ashok ::General 
::Orenstein91 ::SampleCFHSC02 
::Atomic ::Resources 
::BoberC92 ::198 
::565 ::Johannes 
::Hongtao ::Discriminative 
::Queues ::AgrawalAS93 
::GhinitaTK08 ::Tryfona 
::Cattell96 ::15310403abs 
::DeFazio ::MadhavanBDH05 
::1620 ::P154 
::Function ::FernandezS98 
::LianC08 ::MohanPL92 
::LehnerCPZ01 ::Xueyan 
::t ::Edward 
::Teamwork ::1399 
::Zezula ::Hammer 
::PapadiasYMT05 ::Sources 
::SismanisR05 ::22851147 
::1470 ::Correlated 
::under ::Gunter 
::Satoh ::RoschGL08 
::HaskinMSC88 ::Publication 
::Ordered ::Item 
::GubanovBM08 ::P074 
::1296 ::Mao 
::title ::Maier 
::HouleS05 ::KoudasS97 
::212 ::Zimmermann 
::Tanin ::Corruption 
::Reference ::4497506 
::465 ::Mikhail 
::Has ::WebIQ 
::22850081abs ::Boulakia 
::P494 ::jacm 
::253 ::Mining 
::XiaZT08 ::725 
::Xingquan ::Conceptual 
::IWill ::Amr 
::Result ::Optimize 
::PiatetskyF91 ::Nilesh 
::Fai ::Wide 
::Glimcher ::Large 
::914810 ::Intensive 
::Yan ::GutingS95 
::GutingZC89 ::Cloaked 
::Punctuation ::Degradation 
::4497429 ::ChapinHRG95 
::ShriraX05 ::Gio 
::Markl ::Gedik 
::on ::PathakCG08 
::Sankaranarayanan ::Pablo 
::Aleksandras ::AmzaCDKLRYZ96 
::EltabakhOAELASB08 ::604 
::22850217abs ::551 
::Proces ::144 
::Approximating ::Selectivity 
::MOLAP ::PeiHL01 
::Searching ::1482 
::ZakiP05 ::Cross 
::111 ::JigyasuBBCDMT06 
::Benjamin ::Jiaheng 
::15310261 ::booktitle 
::Unity ::Samuel 
::387 ::Tuncel 
::Mixing ::Kriegel 
::170 ::Vijayshankar 
::Devarakonda ::626 
::355 ::914853 
::Szabo ::22850391abs 
::KuskinOHHSGCNBHGRH94 ::PiatetskyF91 
::927 ::1100 
::Powerful ::Jeung 
::Shaft ::Davide 
::15310492 ::Road 
::Edmunds ::XinSHL06 
::Expressions ::Biton 
::Diagnosis ::Tok 
::ChangMZS98 ::OntoWebber 
::GryzSZZ01 ::259 
::Bentley75 ::1491 
::Approaches ::1430 
::Baihua ::LakshmananRS08 
::Fang ::Ixent 
::Effective ::339 
::PathakCG08 ::PapadiasTKZ02 
::680 ::Latency 
::ShivakumarG96 ::Migrating 
::Vlastislav ::Deligiannakis 
::86 ::Fuh 
::BohlenBJ98 ::FischerK05 
::Leo ::Rishi 
::22850329abs ::Nori 
::Gadia88 ::914836 
::Zhiyuan ::DayDIKG95 
::YiuM06 ::WangLPAM06 
::Accelerating ::Evolving 
::Rizos ::Janine 
::367 ::Nabar 
::205 ::SilbersteinBY06 
::Market ::Lomet 
::76 ::Passing 
::Ahmed ::Access 
::XCluster ::Eun 
::Latency ::Govi 
::Results ::4497535 
::67 ::ChaudhuriDK06 
::HollandG92 ::Amir 
::4497500 ::in 
::Pratik ::Gawlick98 
::KamathR98 ::Parties 
::Hsiung ::BonczKK96 
::WilschutFA95 ::1433 
::Matching ::914814 
::Kuwabara ::Chiueh 
::Gemulla ::22850631abs 
::Sayed ::Panagiotis 
::Samuel ::LehnerCPZ01 
::KochSS08 ::Piotr 
::4497450 ::Sven 
::Bakalov ::1530 
::Restructuring ::KamathR98 
::Furche ::Yifeng 
::MudumbaiSSPB98 ::Suel 
::clustering ::Chang82 
::Results ::Ariel 
::Lieberman ::15310041abs 
::Jin ::4497468 
::Ramamirtham ::Tingjian 
::Capturing ::22850188 
::Darrell ::ZhangS06 
::LiSDKG01 ::85 
::Descour ::Fernando 
::YangSRG06 ::5 
::Background ::22851001abs 
::BrantnerKMH06 ::KorolovaMNX08 
::297 ::Mehmet 
::Agarwal ::4497590 
::15310155abs ::592 
::Adaptation ::GraefeL01 
::Kai ::Scott 
::CasanovaFP84 ::ZEBRA 
::Attribute ::550 
::Ansorge ::constrained 
::15310141abs ::HeLC05 
::Tien ::Derivation 
::GriffinL95 ::Pearson 
::ShafiqSBG06 ::internet 
::DaWaII ::Technique 
::Bitmap ::491 
::4497587 ::Giuseppe 
::Constraint ::DBXplorer 
::Kang ::IndexFabric 
::Harinarayan ::1100 
::Ashutosh ::Guided 
::Webs ::Rizos 
::Antoni ::Ryvkina 
::RAIDs ::Hannu 
::410 ::481 
::Declustering ::HellersteinNP95 
::285 ::Threshold 
::Menzo ::Scripting 
::LiOW08 ::Beckmann 
::Arumugam ::Jianlong 
::22851106 ::Shalem 
::4497404 ::558 
::Eltabakh ::Congjun 
::Progress ::Web 
::Sharad ::Papakonstantinou 
::Kasneci ::I 
::1340 ::1277 
::153 ::Ash 
::Idreos ::Munir 
::JaberV06 ::Five 
::102 ::4497474 
::4497605 ::Pathak01 
::Hongyan ::Cochinwala01 
::Kristal ::Migrating 
::Availability ::Gupta98 
::Michle ::Koki 
::Vibhuti ::4497497 
::Tatemura ::1426 
::827 ::Overcoming 
::KoloniariP08 ::KetchpelGP97 
::Warner ::How 
::LjosaS08 ::TAILOR 
::Sagawa ::Sanjeet 
::Algebra ::Ranking 
::What ::65 
::ATM ::914847 
::Zhou ::Mummoorthy 
::Set ::Filters 
::Caching ::Kementsietsidis 
::Yifeng ::GukalOR96 
::MalkemusPBC05 ::Latency 
::KeidlKKK02 ::Sharing 
::4497419 ::Afalg 
::Recommendation ::Stefanie 
::Constant ::Fen 
::Leveraging ::Migration 
::Rafiei ::CormodeKMW08 
::22850502abs ::4497500 
::1012 ::Online 
::Toivonen96 ::Remote 
::4497603 ::Virtual 
::458 ::714 
::Goyal ::Java 
::914847 ::SilberschatzSU91 
::178 ::BouganimDV96 
::Authorization ::Danzhou 
::AggarwalCH06 ::22850490abs 
::1600 ::Constructs 
::ph ::Liu 
::Loops ::FerhatosmanogluTAA01 
::22850434abs ::MOLAP 
::1444 ::273 
::Chris ::MONDRIAN 
::ZhangG08 ::418 
::pdf ::Everyplace 
::Balancing ::Brent 
::1491 ::1521 
::AssfalgKKKPR06 ::Group87 
::AlonsoBPHK01 ::Web 
::Nicoleta ::Singh 
::an ::Relationship 
::Arocena ::HaraHTN98 
::Sunita ::Tu 
::Tanizaki ::Searching 
::Garcia ::15310093abs 
::KanoulasDXZ06 ::1509 
::Eran ::543 
::Srilekha ::4497617 
::based ::346 
::Zabback ::Siva 
::Automata ::CareyFLS91 
::Stephanie ::Stahl98 
::Cliff ::Mukherjea 
::Processor ::Boris 
::15310507abs ::KhalifaJPWKS02 
::1095 ::ChangM88 
::Kahveci ::Cardinality 
::SMART ::Relationship 
::Chang ::Multilingual 
::Ferrari ::Aoying 
::Kien ::LangOS97 
::NtarmosTW06 ::Shouke 
::Ghaffar ::JiangLWY02 
::tkde ::Popa 
::853 ::256 
::Indexed ::Skippy 
::SilberschatzKS97 ::Influence 
::4497635 ::Surface 
::Ramy ::Bates 
::22850521abs ::NgH94 
::506 ::BilkeN05 
::sp ::Wenliang 
::Fastest ::22851149 
::Cost ::BANKS 
::22851140 ::Leakage 
::8i ::619 
::Andras ::Cooper 
::ChaudhuriGK06 ::Stolte 
::Padmanabhan ::696 
::Clusters ::DaudjeeS06 
::Available ::Nagendra 
::Cost ::Margo 
::BunemanDHS96 ::KimPC01 
::15310593abs ::MyllymakiL96 
::Ravada ::1209 
::243 ::Hyong 
::Hetal ::PrabhakarAAA98 
::1596 ::Kimeli 
::Minos ::or 
::Lindsay ::Gauss 
::SQLServer ::Tabular 
::Infrastructure ::1342 
::biased ::4497502 
::Ellis ::Tradeoffs 
::4497537 ::Gyu 
::605 ::Murat 
::Rajaraman ::Kuwabara 
::Commerce ::DelisR94 
::Koudas ::22850564abs 
::195 ::LometS89 
::Characterization ::ContinuouslyMoving 
::15310341 ::Ramy 
::AtzeniMM97 ::cgmOLAP 
::Policies ::UNIDOOR 
::Morishima ::61 
::AmzaCDKLRYZ96 ::elmagarmid92 
::Garcia ::Accuracy 
::Dynamic ::Stockinger 
::Bajpai ::1200 
::Tomasic ::SametA95 
::Melliyal ::Hsiao 
::Intersection ::691 
::134 ::ShafiqSBG06 
::mms ::ChiS05 
::ZhangGW08 ::LiLHC06 
::without ::Shunsuke 
::22851098 ::Rjaibi 
::RiTE ::Olu 
::1519 ::1491 
::Manolis ::LevyRO96 
::MukherjeeRS05 ::Verifying 
::1500 ::15310268 
::Facet ::Silberstein 
::Calimlim ::Rabsch 
::JaberV06 ::914851 
::ShrivastavaMR08 ::HuangG01 
::484 ::Prefix 
::4497426 ::Xie 
::cs ::Partition 
::4497449 ::Ali 
::99 ::Efficient 
::WangHLS06 ::524 
::Nasi ::Derivation 
::Concurrent ::KlemettinenMRTV94 
::Inflationary ::2006 
::Cattell96 ::143 
::LuBZ06 ::15310081abs 
::Crawler ::ORDBMS 
::MarianAKS05 ::Renner01 
::4497462 ::WhiteDJ96 
::Summarizing ::BancilhonDK92 
::Bonifati ::606 
::Mann ::155 
::Mei ::Vilhuber 
::Weiping ::Zdonik 
::NguGBCDB02 ::Tabular 
::Twee ::Forecast 
::Feltes ::1200 
::Volker ::Koki 
::LegariaGGHSWYZZ08 ::4497523 
::MalkemusPBC05 ::PeiroASW98 
::40 ::4497433 
::Concurrency ::Tuzhilin 
::Record ::Never 
::10010651abs ::22851149 
::SistlaYH94 ::Sugimoto 
::Yannis ::Recognition 
::982 ::Gustavo 
::Asynchronous ::Authorization 
::EppingerMS91 ::215 
::212 ::HwangCZ08 
::314 ::G 
::Renz ::MiniCount 
::35 ::588 
::Yuxin ::22851115 
::496 ::Brown 
::Vista ::Reality 
::4497529 ::914854 
::4497576 ::Melnik 
::Ahmad ::Split 
::60 ::GhinitaTK08 
::WangR91 ::DeWittG92 
::JainDG08 ::Mining 
::LoR96 ::EggersOS81 
::Qin ::1579 
::1127 ::324 
::Alper ::BirdCDLZ06 
::Rabsch ::Wierman 
::973 ::FAST 
::Leskovec ::Antonios 
::YiLKS08 ::X06a 
::Primary ::BanerjeeC96 
::22850564abs ::GabberK98 
::Profiles ::Wei 
::Terzi ::Set 
::RemiasSZS97 ::JefferyAFHW06 
::Wenjie ::Snake 
::185 ::Loh 
::Array ::914817 
::Hibino ::4497524 
::Cichocki ::YuHC05 
::Bernstein ::932 
::Antoni ::Deep 
::AbiteboulMP05 ::Csar 
::Ahmed ::HanF95 
::Kashima ::4497554 
::Hashing ::1239 
::Krishnan ::Tam 
::Xin ::JiangMCS08 
::Security ::Working 
::1444 ::22850816abs 
::Chamberlain ::DayalHL91 
::Encoded ::bit 
::4497625 ::15310345abs 
::VelegrakisMM05 ::P134 
::AbiteboulHB99 ::914819 
::Acyclic ::sosp 
::Wayne ::KoutrikaI05 
::Opportunities ::Yu 
::KanagalD08 ::Ramkumar 
::Kornel ::Papadias 
::VlachosGK02 ::Cho 
::ai ::Methods 
::Reducing ::M 
::Qingchun ::Enumeration 
::1145 ::Optimization 
::Hull ::KahveciS01 
::Jinchuan ::Supratim 
::Mansuri ::82 
::1022 ::4497449 
::Kumaran ::Extensible 
::4497517 ::KamelF93 
::55 ::Yuqing 
::Richard ::P134 
::813 ::341 
::Kantarcioglu ::1180 
::Usage ::Mehr 
::Differential ::Gene 
::22851122abs ::Butterfly 
::Ghaffar ::952 
::Fernandes ::Wenfei 
::Pinto ::Vectors 
::StreamCorder ::Shirley 
::Panayiotis ::Multivariate 
::Harness ::Blakeley96 
::Bounded ::WuB97 
::Mohan96 ::Grosky 
::22850767abs ::4497598 
::454 ::Sylvia 
::Maskey ::Takahide 
::Abul ::Kashani 
::BeckerHF93 ::914834 
::Lutz ::Bicer 
::Nagendra ::JiangAC05 
::Zhu ::RoitmanGR08 
::Olsen ::Gravano 
::Crowley ::LiebermanSS08 
::algorithmica ::Molina08 
::1534 ::330 
::RDBMS ::search 
::Nehme ::ShashaLSV95 
::1628 ::GongYQZ05 
::Storing ::Calders 
::YinC05 ::Mohan96 
::LometBMS06 ::Felipe 
::Hanyu ::Azer 
::4497455 ::PrabhakarAAA98 
::Model ::457 
::832 ::Smoothing 
::Shukla ::domain 
::Xiaohui ::OMNI 
::Modeling ::Wisnesky 
::German ::Optimal 
::De ::MannilaT97 
::ShalemB08 ::Victor 
::Sengupta ::IMAX 
::bncod ::clustering 
::Cheong ::Christos 
::LeeLL06 ::15310517abs 
::1366 ::4497415 
::Guy ::Gong 
::4497530 ::Takahide 
::BaralisCMPRR97 ::4497500 
::Twee ::Yafei 
::4497530 ::Bookmarks 
::Brenninkmeijer ::Andrea 
::Houman ::Zhu 
::4497490 ::Wisam 
::GrayR93 ::813 
::Trajectory ::centric 
::Sensitive ::10010071abs 
::Houman ::BodenCFKSSS95 
::BunemanDS95 ::ChaudhuriGKLLM98 
::Lookups ::Swanwa 
::Yao ::249 
::254 ::Eltabakh 
::ShenOT06 ::15310309abs 
::Shaull ::Osmar 
::565 ::ks 
::56 ::StromY85 
::Hong ::Lewis 
::Masaaki ::Customer 
::Matches ::Cattell96 
::4497565 ::15310697abs 
::t ::JagadishMR98 
::Khoussainova ::Columns 
::SrikantA95 ::LB 
::HOLAP ::Ad 
::642 ::Spatiotemporal 
::Dunham ::Rizzolo 
::Snodgrass ::Adriana 
::Tasks ::Dmitri 
::Egemen ::Overcoming 
::Ifrim ::H 
::LuccheseVRY08 ::Pointsets 
::1035 ::626 
::Advancement ::BayerM72 
::566 ::Georgiana 
::Tarik ::Redo 
::262 ::Class 
::Certain ::debu 
::281 ::AxPRE 
::Ansorge ::Customer 
::CLAN ::Minh 
::BonczKK96 ::KetchpelGP97 
::XiaZ06 ::914843 
::Jinze ::4497468 
::619 ::ADEPT2 
::FayyadPSU96 ::Natix 
::Commit ::4497579 
::Sample ::Hash 
::CarminatiFB05 ::22851073abs 
::RabinovichBGLMM98 ::354 
::902 ::1525 
::Schning ::4497559 
::SPP ::NgR95 
::943 ::322 
::Exemplar ::Mishra 
::Seidl ::Leveraging 
::HernandezPVMNH02 ::Panagos 
::KilgerM94 ::Faloutsos 
::1575 ::Nectaria 
::1352 ::tree 
::KrishnamurthyKN05 ::Serializability 
::Yueguo ::JagadishMS95 
::Mix ::Ngai 
::Xueyan ::Economically 
::234 ::Soo91 
::113 ::4497457 
::Knig ::SnodgrassA86 
::oodbs ::bc 
::Memoriam ::MED 
::DeWittKOSSW84 ::Superimposed 
::Stonebraker96 ::Hajj 
::TataP08 ::Baile 
::258 ::4497534 
::MogiK96 ::554 
::Wiwatwattana ::AntovaJKO08 
::Furfaro ::Hongyan 
::546 ::HadjieleftheriouCKS08 
::elmagarmid92 ::Tamer 
::Tomasic ::Mangold 
::ZaianeELL05 ::Mao 
::Random ::GoldingBSSW95 
::Joachim ::AnYS01 
::Object ::502 
::SmythG91 ::jsac 
::Autonomic ::Soumen 
::BernsteinHM90 ::FischerK05 
::Atzeni06 ::Enderle 
::future ::Limitations 
::P392 ::Marko 
::Fung ::15310117abs 
::557 ::15310529abs 
::BANKS ::914878 
::Foundations ::Configurable 
::aw ::BeeriR87 
::Minh ::Anciaux 
::VaradarajanHR08 ::Bausch 
::Manolescu ::GanesanSG05 
::GhinitaTK08 ::Fudos 
::Power ::Malaika 
::ichi ::DanielsSHLMWW82 
::1390 ::WuK05 
::Gardarin ::Comparative 
::Krkkinen ::Barton 
::Frdric ::Chon 
::LiuYGS98 ::Bonchi 
::based ::Jermaine 
::1611 ::536 
::LentSW97 ::Tolerant 
::Atmosukarto ::150 
::Ambuj ::779 
::Lamport78 ::1048 
::Bilke ::code 
::Salt ::DewriRRW08 
::Cheung ::545 
::Zhuang ::Cubing 
::22850131abs ::Vectors 
::Just ::Kun 
::Analyzing ::BeeriR87 
::Brown ::Verifying 
::15310517abs ::GardarinST96 
::Experiences ::CuiLXCDZ08 
::Etoh ::Architecture 
::4497581 ::Bhat 
::4497498 ::Profiles 
::Young ::Parties 
::SteenhagenABB94 ::Bosworth 
::Publish ::Over 
::widomC96 ::1592 
::P069 ::XiaZT08 
::1393 ::PuHK06 
::Sarma ::Anton 
::Junyi ::Changing 
::Yanlei ::dpds 
::Aggarwal08 ::22850419abs 
::22850094abs ::cacm 
::4497453 ::Databases 
::AbiteboulQMWW97 ::Eike 
::P024 ::KeCN06 
::22851143abs ::686 
::aaai ::Heinz 
::4497427 ::Sergio 
::Qingchun ::STAG 
::Managed ::Editor 
::Zwaenepoel ::Frequency 
::MudumbaiSSPB98 ::Trajectories 
::1324 ::Wook 
::KornSFSP96 ::22850693abs 
::352 ::be 
::Stonebraker91 ::ChenRDEGS06 
::XML ::Uwe 
::355 ::77 
::EdmundsMSS05 ::Suciu96 
::Videos ::ChanFGR02 
::Family ::Borr81 
::1400 ::LiLHC06 
::34 ::Zina 
::Triage ::85 
::All ::Assuring 
::Schwarzkopf ::AdaliCCES96 
::22850162abs ::Exploration 
::Media ::135 
::4497514 ::Pull 
::SchmidtKW01 ::Sanghyun 
::similarity ::Zheng 
::15310245abs ::Auditing 
::GrabsBS01 ::Haggai 
::ChakrabartiM98 ::Kjetil 
::Cudr ::Flooding 
::Authoritative ::Leakage 
::Halpern ::WuDY06 
::1495 ::BaralisCMPRR97 
::Kinji ::Graphs 
::GravanoGT94 ::MolinaKS98 
