Tyrone::LiuC08 HanYY06::Collections Wayne::256 ::4497503 ::Simon 
fayyadPSU96::Gignere Piotr::Data Suciu::SrikantA95 ::584 ::Exploratory 
SVL::Amarnath Syntactic::Essence Dayns::Morse ::Cammert ::Grabs 
wi::AbiteboulK89 LiuLG08::RohmBS01 Pessimist::Welsh ::KhalifaJPWKS02 ::KoloniariP08 
78::Lijiang 1135::GanesanSG05 Fabio::Citizens ::Tanin ::Knig 
420::Douglas Wright::MunakataJ94 Tran::Items ::Achieving ::Ahn 
Stockinger::ChenC92 is::sub Broadcast::Ge ::Stephanie ::Indexed 
SteenhagenBB96::Developing Upendra::914842 Hadjieleftheriou::852 ::Munir ::Explicit 
Babu::Prioritization Olston::LiH89 Better::22850583abs ::Zhiping ::Sheu 
Millions::Click Operator::Bukhres Useful::Jiaheng ::BrakatsoulasPT05 ::LiL08 
Parallel::Omiecinski Relation::Load 1394::434 ::Ubiquitous ::1110 
Declarative::LupuY06 1474::Ertl Characterization::22850341abs ::Milena ::Communities 
Govindan::Simoudis98 Citizens::Rizzolo Conserving::Jialie ::Tag ::325 
Maintaining::AdaliCPS96 Sanjay::Mengzhi Govi::Lomet92 ::ShenSCT06 ::Advanced 
ShiZ05::Jain GrustKGHS97::393 231::160 ::4497408 ::Krishnaprasad 
SIREN::Supervised 646::Ellmann Pennekanti01::Boolean ::Joan ::BryCDFOS05 
BohmK01::815 Masaaki::863 187::Diagnosis ::Program ::22850322 
Ke::P532 Bosworth::4497491 Intermittently::LinYWL05 ::445 ::Mahesh 
BalkeNST05::Ioannis Yunyue::Moustafa Runtime::Human ::ShalemB08 ::Jasmine 
Hui::865 Dessloch::Clifton Puzzle::With ::Highly ::Alborzi 
Method::DeWittKLPY94 Hanan::22850322 HoweM05::bit ::Qiao ::Bhm 
1510::Morishima Lin::EmekciAAG06 Fosca::254 ::296 ::ShkapenyukS02 
Alejandro::Synchronization P014::1521 Jun::Nicoleta ::Aameek ::IBM 
22850516abs::Xiaoyong HoweM05::HoweM05 Industry::Piatetsky91 ::Dale ::Internet 
28::Gryz Xuegang::Madlmayr Imperatives::487 ::15310393abs ::Henrich 
AmmannJR97::Yu MyllymakiL96::Goyal Notification::Tung ::Datar ::Prado 
Balaji::Liedes 414::22850754abs 4497478::Assertional ::Yibin ::1495 
Ertl::Intensive 1468::top MIC::McKenna ::914832 ::Jagadish 
AggarwalY08a::Kotagiri ichi::AslandoganTYZR97 1005::Kreutz ::914817 ::AgrawalS94 
Joon::Tradeoffs 261::95 Toivonen96::Manjhi ::Untrusted ::NguGBCDB02 
Kotidis::Ganesh Schlimmer93::Schubert Cesare::Peter ::Ashok ::Ohler 
Klemens::Kossmann 1503::Shyam Graciela::4497606 ::FranklinCL93 ::Object 
1588::Lossy NeT::Draper 815::Based ::Castellanos ::Mikkel 
Constraints::Zimmermann ZhouW08::AgrawalAKL06 Lisa::Burst ::415 ::Lag 
Arumugam::4497618 IlyasA05::Yokota Byron::1576 ::Chowdary ::Overview 
Braynard::ShanADDK95 AhmadN08::Monica TanizakiMS05::Recognition ::Bartlett81 ::639 
Ada::Extending Yao::Ming Ho::4497427 ::GabowT89 ::Toivonen96 
Maskey::Dense Gautam::LivnyRBCDLMW97 Tolani::KamelF93 ::RyvkinaMCZ06 ::Tears 
Common::4497413 15310269::Nina ZEBRA::Denny ::1348 ::Behr 
15310583abs::1238 AikenCSW96::Loh Ziarko91::1515 ::Welcome ::LSD 
Sonny::619 1378::Rinku Bhavani::ZhangYST06 ::Haejoong ::914841 
Heerde::Robinson81 22850242abs::Yanif Knuth73::LiuM96 ::Yin ::Imai 
Kashima::ArbitraryWindows Burst::Jinping 15310263::Blocking ::HeXYY05 ::Hector 
Symbolic::914808 Siberski::Tryfonopoulos Mittal::Yibei ::Pessimist ::545 
Alink::AgrawalBGKLR05 15310605abs::Spannagel ShethR93::Spatial ::Supply ::P054 
4497625::ife Paul::Blocking ZhangYST06::Laboratories ::58 ::Kobayashi 
784::ShkapenyukS02 15310275::22850384abs Jacobsen::Power ::LiOW08 ::WongA85 
471::245 FungYLY05::2000 Hammer::QiaoIAA05 ::15310309abs ::Autonomic 
Dohnal::Generic Self::Your RelaxImage::4497562 ::Sinha ::MaierS86 
Tassa::Olsen Gil::Wide Vehicle::Sinha ::TaoXLZ08 ::Ting 
Yongqiang::P446 WangXHZWZS08::Crowley Quadtree::Obstacles ::GyllstromADI08 ::Ashraf 
OwickiG76::OWL Malaika::IkedaMITHHO05 389::Govi ::Xinqiang ::BoberC92 
Simmen::Training BanerjeeC98::Schlesinger Yiping::Kwok ::Leskovec ::Fu 
4497469::349 Carlos::Inference Eberhardt::4497616 ::Ashish ::Klaus 
Kha::4497438 22850730abs::Raghu BrinkhoffKSS94::1402 ::286 ::Working 
FernandezFKLS97::Kolovski 1345::Nigel SaltenisJ02::jlp ::1367 ::Srinivasan 
Hetal::Active Anil::zsu Hyon::4497538 ::GeertsKM06 ::Cudre 
Klabjan::PuKH88 Beyond::973 Rishe::Batra ::Chasing ::Hyong 
Hiroko::DanDY91 Synthesizing::SpinCircuit Kambhampati::Balakrishna ::301 ::470 
Daudjee::Rhm MorsePG06::1179 HanF95::LeuteneggerEL97 ::ChawatheRGW96 ::Hilda 
AnYS01::BronczWK98 BertinoOYD05::1441 1619::77 ::Media ::Mukesh 
Column::AggarwalY08a Jerry::Tassa t::Vries ::Makoto ::ROLAP 
P588::Decoupled 386::Diagnosis Parking::Radwan ::jsac ::WilkesGSS96 
933::Needs 914845::Feature 159::Machine ::Assuring ::22851135 
Every::Peery mit::GruenwaldBP06 1483::FranklinC92 ::914873 ::22850916abs 
22850258abs::pdis 88::Kalnis 914836::scale ::Chairs ::Tanu 
OSSM::Earth Koki::KivinenM95 MalkemusPBC05::WangZZ06 ::Wierman ::Shivakumar 
SmithS96::SunAA02 Rajamani::Acyclic NagarajNRS08::22850490abs ::Pfoser ::Carl 
Yfoulis::Ziv LiuP98::JeungSZ08 Vibhuti::Moving ::IP ::Notification 
ChuK89::Myoung 4497531::Gravano Kam::4497483 ::Tightly ::Segmentation 
Wan::22850446abs Skew::Aliekber 4497398::Experiences ::15310327 ::ShafiqSBG06 
Lim::Expressive Mass::4497505 CORBA::DCbot ::MANETs ::Prasan 
Fischmann::Ailamaki ShahR08::15310005abs PudiH02::Orlando ::684 ::Amarmend 
Stonebraker91::716 SteenhagenBB96::Through Hendrik::Smith ::104 ::ArocenaM98 
494::Torben Developing::Ordering GPIVOT::Energy ::1611 ::4497474 
Bhat::68 Pathak::CherniackZ96 Markl::Feher ::Bhalotia ::Charuta 
Error::Mobile CruzALRZ97::Jianjun Pandey::TaoPZ02 ::AgrawalFS93 ::ONeil87 
BanerjeeC98::Mediation Gabriel::GounarisPSFSW06 KatayamaS01::Shamkant ::4497466 ::40 
ZouSL98::1485 Colors::Mortazavi Levy::Bird ::KetchpelGP97 ::Jrg 
Galpin::subrahmanianJ96 JoshiJ06::Donahoo Coskun::565 ::Wireless ::Gsta 
CormodeKMS05::BerchtoldEKKS98 XuLXM06::L Freksa92::Intelligence ::CabibboPT06 ::DiaoFFT02 
Rigsby::by Recently::JeungSZ08 Ifrim::518 ::Lindsay ::Muntz 
Narayanan::Tara Offline::Top BlumrichLADFS94::Optimizer ::Ray ::Xie 
914877::bdbms P046::Mendez Palakal::comp ::Mary ::Shigeo 
Wolfgang::LaiTB05 4497619::208 For::ChenR94a ::Aggarwal08 ::4497449 
Dasgupta::Calton 4497509::P588 KoutrikaI05::Peers ::Gagan ::Eadon 
Heinlein01::Vijayalakshmi 4497491::Lomet Lyman::Sarawagi97 ::Nicholas ::Atsuyuki 
Welcome::Prototype Buneman::1327 Halevy::Kashyap ::568 ::edbt 
AnHai::BehrG05 Han::Berchtold 914840::SrivastavaL88 ::WidomC96 ::Schwarz 
Estimation::Kiernan B::Lot Grandison::ChenLL08 ::402 ::Fjording 
KorolovaMNX08::Gignere BonczQK96::Aritsugi 244::RamanathZFH05 ::Desmarais ::Nasi 
Sachindra::Butterfly HoweM05::Discovering Sen::HwangBRCSZ05 ::22850717abs ::Piatetsky91 
Valduriez93::585 File::GuptaHR98 Traceability::KimPC01 ::Wlodek ::Block 
15310271::Gabber 4497514::XiaZT08 Madden::WangPY05 ::Nisheeth ::SAN 
Willem::sac Takuya::IMAX Xueyan::Pei ::Akshat ::Zadrozny 
dl::1399 Kristin::Nes Comparative::Histories ::Autonomy ::4497628 
Yuan::Junghoo Marc::22850242abs Banaei::Probabilistic ::Jiying ::673 
Extended::Ubiquitous Decoupled::4497525 4497455::Jeung ::4497429 ::Punctuation 
Versatile::Krithi 1352::Eng within::Oracle ::Brakatsoulas ::Dunn 
1559::Browsing Gokey::Miss Powerful::Stream ::1325 ::Pratik 
P268::Are Choreographies::Condensed 4497519::138 ::693 ::327 
Sardar::Carminati 123::Gukal Scale::Closest ::HasanM95 ::Masahiko 
Silva::Maher MyllymakiL95::Loh 1339::Elizabeth ::NaumannHTHM02 ::Pattern 
Amer::Abdel MohanKSW06::PDM Sriram::Melliyal ::Mediator ::Marko 
LudascherGM01::Yossef JoshiJ06::Leymann98 Denzel::Deletes ::Baile ::Jasmine 
Durmaz::JainMTC95 454::Bolin icmcs::Categorical ::GrayC89 ::Atsuyuki 
AutoLag::BilkeN05 Davulcu::JadavGL97 Liao::Ioannidis ::2 ::Electronic 
1522::313 Theobald::Schwarz Curves::ChenDZ05 ::Toon ::15310297abs 
4497516::Mahmood Quadtree::Approximated Freeston87::Reorganize ::ChaudhuriKPS95 ::914819 
141::10010121abs Sheu::Fu Zhen::Hwanjo ::Browsing ::4497580 
Outerjoin::Woong Kim::Khatchadourian 3::BeckmannKSS90 ::X05t ::Giorgio 
Haslam::415 Easy::Qiong PeeryWMN08::World ::Krishnan ::Amol 
Filter::Store Weidong::442 Atluri::End ::P550 ::Shixi 
268::Beng Jiawei::Mingzhe Nahum::Beckmann ::BunemanNTW95 ::KatayamaS01 
Eltarras::Network 992::1522 914847::1349 ::Ladin ::Hendrik 
LiLH06::WachterR92 Govindan::Freiwald 932::David ::UNIDOOR ::YangLYX05 
Balter::OCallaghanMMMG02 Inverted::Eltarras 141::Arif ::Curves ::Market 
22850890abs::AmmannJR97 22850631abs::Kien 1121::914837 ::166 ::Andrea 
purpose::Sumit Resilient::Meichun 2000::Supply ::Leonid ::dl 
P268::Deletes Helmer::Mitchell 4497508::Novel ::Tuncel ::ECA 
309::4497403 Nambiar::Telematics KonopnickiS95::Sakurai ::Synchronization ::Dunn 
342::639 cdrom::Aoki LiuYGS98::Mehrotra ::Yuxin ::LaiTB05 
Silberstein::Computations Hierarchical::QiaoIAA06 XPath::725 ::Hmmer ::Streaming 
Weaver::310 Mayur::Shneidman Jianyong::LiuR05 ::ChanG85 ::Rule 
File::15310639abs Dasgupta::IoannidisP95 Algebraic::Document ::145 ::Frequent 
176::Tabular BrinDG95::Tingjian Thatte::Fuxman ::vldb ::Gunther93 
Jure::Schwarzkopf Ji::525 tm::336 ::Al ::FelipeHR08 
Rundensteiner::ChakravarthyL98 Jun::Arjmand P316::Jhingran ::LynchS88 ::Jiying 
162::Ponnekanti Lopez::741 Leonidas::X06c ::Brakatsoulas ::Pipelined 
AslandoganTYLN95::Eberhardt LakshmananSS96::Gummadi JinZLWS06::WuK05 ::Habich ::GawlickK85 
Towards::Minji Operators::717 4497472::TheodoridisP95 ::Siva ::P476 
Hyon::Sikkupparbathyam Vikas::Shamkant 83::942 ::4497524 ::Bugra 
Ioana::Saenz Ihab::4497625 Strength::P164 ::22850205abs ::1180 
SCADDAR::BeeriR87 Schoning01::Labeling Operation::Masaaki ::Mahajan ::Lavelle 
ShuklaDNR96::P144 Kemper::Karthikeyan Unified::Gehrke ::streams ::Davood 
Sizes::AfanasievGMRT08 Tsumura::Exponentially Sensor::Frdric ::422 ::914856 
MohanLO86::Lars 1454::Graph ArasuCK08::1525 ::X05s ::15310496 
Features::Loreto 1607::CormenLR89 QinQZ06::1448 ::Ravishankar ::Elegant 
Zina::1612 Alexandros::Nanni 22850816abs::KreveldO91 ::Lawrence ::Imprecision 
FerlezFLMG08::Kun 15310496::Aoki98 Discovery::FaloutsosRM94 ::SIPPER ::Paton 
639::Victor Datasets::XPlainer Hari::Jimeng ::914875 ::Erich 
BaralisCMPRR97::Context 22851036abs::22850968abs 270::Roberta ::865 ::WangHYYY06 
Parallelism::Lyublena 576::22850656abs Richard::365 ::Lup ::Lohman 
0::NgR95 Co::Chasing Sing::22851036abs ::Pointsets ::Yuni 
551::324 22851115::Vladimir XSEED::Margaret ::4497555 ::22851148abs 
NievergeltHS84::SCADDAR Christopher::Approximately DeFazio::Personalized ::Sarawagi97 ::Chowdary 
dl::SenR05 1468::889 4497399::914812 ::4497417 ::JagadishMR98 
Jing::Mikhail Pedro::SAP Density::pdf ::Sreeram ::1525 
CormodeKMS05::4497477 Dirk::Sndor Spiros::Michalis ::Rys01 ::Ramamritham 
Hieu::Hutchison Garofalakis::Milena partite::Spatscheck ::4497457 ::KotidisSV06 
Atomic::Microsoft Cammert::104 125::MadhavanBDH05 ::Naomi ::Weining 
Indexes::BachFGHHHJS96 Z::22850384abs GanesanSG05::Graphics ::Ioannis ::656 
ZhouZVQ08::Marios 15310341::Jeff Structure::from ::BoberC92 ::Generalization 
1328::JainDG08 Queuing::Stratified BOXes::Fishman ::Summarizing ::Zhiming 
Jiangchuan::databases Adjourn::20 Brzsnyi::Zhang ::Arno ::gis 
Authentication::Nath ChungGS02::32 Panayiotis::Murugesan ::WangY02 ::Sample 
FranklinCL93::Wei 22851148abs::Draper Vladimir::259 ::345 ::914875 
1266::111 Kai::22850256abs Ding::Loading ::15310555abs ::PuKH88 
Conscious::Orphan RDFS::Shuigeng 566::Workloads ::Replication ::String 
Kiernan::Enhanced Puniyani::Cobena Collaboration::179 ::Warren ::22850355abs 
Geoinformation::Gruenwald P268::P178 1539::Rajasekar ::914827 ::BrinkhoffKS93 
Cudr::Rahm92 Mediation::fAST KoudasS05::Roger ::Monica ::Jianliang 
fodo::X05p usenix::XQSE its::Chiew ::Row ::YinC05 
122::Their 1123::Gunopulos Damdinsuren::Oriented ::1032 ::Vassalos 
Interesting::730 Environments::1113 AkindJLS02::Martin ::Shin ::Linkage 
22850190::Dam97 XieYCWY08::471 Smodels::4497534 ::Torlone ::Interactive 
1396::Asymmetric 22850521abs::22850261abs PopekK79::Cleaning ::Diagnosis ::Pankaj 
Mannila::Designer 15310337::Ranking Gencai::4497612 ::Yidong ::SchekPSW90 
654::Automata Saydean::WangHLS06 FerhatosmanogluTAA01::HutfleszSW88 ::Prabhakar ::Protection 
4497636::ssdbm Yoji::Rene AbiteboulB91::Marcel ::Bry ::306 
Publication::Ippokratis 4497533::Alps AgrawalJKL06::Seung ::511 ::4497564 
863::Mansuri Bee::Constraint Bingsheng::Sheng ::Has ::Standard 
Consens::926 JefferyAFHW06::SilbersteinHYY05 485::Cui ::BorgBGHO89 ::AgarwalADGNRS96 
Cyrus::Narasayya Triantafillou::15310329 KoutrikaSI06::Human ::GravanoG95 ::Geerts 
15310329::Elegant Blocking::BernsteinL96 716::HanYY06 ::Fixed ::Yuan 
CareyDNAGS97::4497582 Row::1116 IoannidisP95::Balaporia ::Cattell94 ::CarminatiFB05 
Quantitative::s XPlainer::Access Anonymization::Kementsietsidis ::Employing ::KimP88 
839::Vasilis Spyros::Brenninkmeijer P302::Their ::Previously ::MolinaS87 
Gionis::Kaushik Outlier::Partitioning Arthur::New ::JainMTC95 ::Goldstein 
FegarasM95::Sequence Answers::Against FegarasM95::Levy ::4497588 ::1109 
Active::Evangelos Kevin::Kalnis 22850157abs::362 ::Lola ::914808 
Tomkins::Vana 105::Yaping 235::ArefCEFGHIMPRTTTVZ02 ::Kreutz ::Angel 
PaduaW86::YanOZ08 BaralisCC05::Georges of::Demo ::522 ::HermanGLW87 
Cheong::WiwatwattanaJ08 52::SchmidtJS06 Maintaining::22851145abs ::22850258abs ::Eavis 
1427::P201 Carl::2008 370::Filippo ::734 ::Nori 
4497559::Committee Gupta::WhangLLKH05 Sayal::Marcel ::15310529abs ::Uncovering 
Gabber::PatelD96 Accessible::Their GraefeM93::enough ::Gabriel ::Zeng 
15310490::mss 714::00 icdt::Bitemporal ::LiC08 ::Jinchuan 
15310473abs::793 Smoothing::HjelsvoldM94 Check::Fischmann ::Meets ::Environmental 
PGM::CaoCFT08 StonebrakerADNR93::LakshmananSS97 SchekPSW90::1530 ::linear ::DeWittKLPY94 
Asynchronous::17 Capturing::Build Al::AggarwalY08 ::Qiao ::P066 
Rosy::Topsakal 98::Ranganathan Edoho::Trade ::Tan ::Cooperative 
4497565::Elena Hoffmann::58 Clusters::Constructing ::Xuemin ::Chi 
Ramamirtham::Whitley Workflows::Gignere SegevP89::Structured ::LeeLL06 ::949 
AdaliCPS96::1600 Environments::JohnsonK84 Producing::Calton ::Matching ::Influence 
Wright::Stabbing Neighbors::JoshiJ08 Cattell96::MohanKSW06 ::523 ::Sebastian 
Wloka::Annotator Coupled::LeeHL08 Vee::ShafiqSBG06 ::ConsensRV08 ::KashaniS06 
1003::Pudi Jignesh::Native Powerful::Pushing ::Jiang ::4497493 
Naidu::Cappellari Conscious::BunemanDFS97 Barker::Salvatore ::Pandey ::Gawlick 
Schubert::Biton Rabindra::comp Qiong::MaddenG08 ::Zhang ::Rich 
Fernandez::Shiroh 743::AutoLag AdaliCPS96::15310212abs ::Uemura ::Kanaya 
Match::914865 ParkCY95::Demonstration Angela::Kinji ::Pfeifle ::Sithirasenan 
149::PattersonBA08 Liu::Conditional Controlled::Martinenghi ::Willis ::Twig 
AndresO98::You Mingzhe::SPP AbiteboulMB08::Models ::418 ::Thuraisingham 
Sources::Georgiana COLR::LiBRHCN05 Features::Pawel ::1584 ::Zahir 
AndresO98::Yidong 643::BrantnerHKM05 XPlainer::Markl ::NAGA ::Reza 
Amza::Trajectories Stefanakis::Molina Unified::Index ::IP ::Minos 
Uwe::fAST Torlone::JoshiJ08 Skew::Benjelloun ::Antoshenkov93 ::753 
Chengyu::DescribeX Kapantaidakis::Houtan Offline::Fingertips ::TangYOW08 ::Yfoulis 
Conserving::Sup 22850594abs::1321 Flip::WangM05 ::Split ::Assessment 
4497455::Samaras Rys01::Manolis ContinuouslyMoving::Millions ::WangM05 ::Judice 
for::23 22850355abs::Ting 352::Miron ::sac ::1127 
Manocha::P334 1559::Star Suri::Relations ::MegalooikonomouWLF05 ::Hsiao92 
Diversity::1551 Serap::Geometric Display::mm ::HutfleszSW88 ::Sliding 
fm::Lucchese 1427::1457 Kanagal::Limited ::Filters ::Sueda 
Donald::Scenarios Pin::Verification icdt::585 ::AgrawalS95 ::Column 
Tiancheng::914827 Time::4497552 Estimating::HoutsmaS95 ::Bestavros ::Certain 
Operations::Desmarais Carsten::DeaconSW94 ShethL90::Cherniack ::ph ::Graph 
Edward::Inverted Ravi::lisa I::Partitions ::Bolin ::GeertsKM06 
BernsteinL96::4497629 Referential::Moss Jonathan::Perfect ::914847 ::Tzi 
GeZ08::1402 Choreographies::Flow 1084::593 ::Janine ::Pointsets 
4497485::Precision Aleksandra::GuPYC08 Christina::Goh ::Unifying ::Vetle 
140::Dong Shyam::Hong Enderle::Devarakonda ::AbiteboulCCMMS97 ::Industry 
Nguer::One 22850391abs::Probability 357::Qiang ::BuccafurriRPS02 ::Volker 
Perego::Phan support::Summaries Korn::Traceability ::Arno ::WangXHZWZS08 
GyllstromADI08::Narang Connected::Manuel Heiler::TaoPZ02 ::Biological ::RafieiM97 
1107::VLEI YinC05::4497430 218::Lisa ::Extraction ::Mishra 
Runtime::views Geoinformation::KornackerMH97 TaoPZL05::Braynard ::Processors ::WangXLW08 
Coverage::Sacc 1286::Guo MeoPC98::MalinS06 ::22851113 ::Chin 
BentleyM80::MannilaTV94 MyllymakiL95::Flip Jianyong::ZhangLKW06 ::cacm ::Selectivity 
Guttman84::KuZWW06 Distribution::914849 Lucian::Elmagarmid ::Small ::Features 
Kurt::Wen Dragut::Yuguo Xianghong::Qing ::675 ::Guarantees 
GutingAABDHHST05::Arbee Documents::Xing GutingS95::1306 ::Client ::Porkka 
Bryan::170 Ramakrishnan08::4497596 ShashaLSV95::Wang ::AbiteboulQMWW97 ::Alon 
Boncz::Stonebraker ParkKL01::Approximation Xiaokui::1101 ::22851140 ::Snodgrass95 
Donald::4 7::Daniel 663::P154 ::Preservation ::LuoJHYW06 
Vijay::914858 15310041abs::Unlinkable Bitemporal::Ewen ::BancilhonR86 ::Cohen 
Milena::Zahir Traceability::1307 DesslochHWRZ08::Kanthi ::Mohan94 ::Stocker 
523::HuhtalaKPT98 4497424::1136 Index::JadavGL97 ::Example ::KaF02 
Shweta::CLAN 22850485::EdmundsMSS05 Albrecht::Jiangchuan ::927 ::sigmetrics 
DCbot::Maintaining ssd::Ernst centric::4497454 ::UNIT ::WuEDCKAS08 
Fabian::1125 Menzo::Xiaoming Sichun::302 ::Korn ::Mengchi 
107::EggersOS81 22851137abs::HellersteinNP95 Athena::Sreenivas ::AntovaJKO08 ::VBI 
486::Stolte LakshmananSGK98::SistlaYH94 1436::426 ::JakobGHN05 ::Amarnath 
Duplicate::22850415abs Subhash::Cochrane X05q::OguchiK02 ::Yuelong ::Johnson 
Authority::Ellis Bounded::Nath Roussopoulos::Business ::Combining ::Development 
92::P180 76::Under 1544::LambLOW91 ::Schemes ::390 
Datasets::Amir LupuY06::P108 15310473abs::Ramy ::Zhang ::ZhaoRTN98 
15310463abs::Functions Logic::Inputs rules::Warner ::cover ::Latha 
Chris::P024 P503::Decoupled Nabeel::DunnDDS02 ::BohmPS06 ::Ravishankar 
Kishiko::Akinde Length::Binnig 22850471abs::Shigeo ::Hee ::Lieberman 
ZhangCMS97::4497573 dbpl::Feng 1489::Version ::AgrawalH05 ::1381 
1330::4497487 531::Gao Autonomic::Results ::HermanGLW87 ::Optimizing 
Hammad::Bookmarks MolinaKS98::Dikaiakos Sreeram::Pirahesh ::Fatma ::NussbaumerPSS95 
22850631abs::Thuraisingham Expressivity::4497410 Nrvg::Prefix ::1219 ::4497630 
Tradeoffs::579 89::PETRANET Simoudis98::129 ::Prabhakaran ::OWL 
ChanFGR02::MudumbaiSSPB98 U::764 Michal::Murthy ::Bry ::22850631abs 
1457::GyllstromADI08 Salka::Liang JakobGHN05::BinnigKLS08 ::Akiko ::Wai 
Qiming::HuangJLO06 KorolovaMNX08::Conscious Locking::Fishman ::Davood ::Paraskevas 
HenrichSW89::22850779abs Virtualization::Girod SilbersteinBEMY06::1104 ::Ixent ::645 
YuPK05::Shanmugasundaram Transform::X05p Simitsis::P494 ::Atzeni06 ::Hidden 
Xu::Ian 619::Jakob Ramanath::15310485 ::431 ::MetaQuerier 
Kien::41 Evolving::914844 Optimizer::Eberhardt ::Venn ::4497399 
SardarK06::Veli Seung::Emeki 1333::Zeeshan ::22850159 ::Alomari 
Bartlett81::ChenSZ05 P231::dblp 22850693abs::LuccheseVRY08 ::Manish ::Atzeni 
Paradigms::Activities 306::SG 4497598::Surface ::Rosenthal ::Ahmad 
sigmod::Working Ganesh::Disparate ArefS94::Generalized ::Pawel ::1429 
Kazumi::Cole LeeLL06::Ordered Digital::Divesh ::1148 ::158 
Rinku::GuptaJM96 Feher::171 1112::Bamieh ::1423 ::1104 
Dalvi::de Ziyang::281 Pfoser::Konrad ::Wilfred ::BernsteinN96 
Top::914835 Constructing::Hoare69 Ooi::Market ::JoshiJ06 ::csur 
Andritsos::Mamoulis DengDRZ08::22851073abs Bassam::431 ::914823 ::Environmental 
Kriegel::AslandoganTYLN95 Ansorge::Reiss HeS06::siamcomp ::Ursino ::DesphandeGMH05 
BarbaraI94::GriffinL95 22850174abs::ShethR93 Kinji::Carminati ::ONeilOW93 ::ZhangRL96 
Yip::SchekPSW90 Weikum91::anonymizing PajarolaOSSW98::ChapinHRG95 ::82 ::sebd 
1321::Marc 1135::Pan 4497398::Newton ::Korn ::Douglas 
Salka::15310335 Marcel::533 Moshchuk::Testing ::Mario ::4497480 
1267::4497607 Expression::Domains WilkinsonN90::Kwong ::Expressive ::Temporal 
Sujata::684 Charu::Manfred Never::BerchtoldBKK97 ::Krmer ::15310706abs 
Developed::Nori Hardware::ShalemB08 LiSDKG01::WangZZ06 ::Ku ::Zipf49 
Anil::2 4497624::Limited LindsayHM86::1125 ::Active ::Hmmer 
Logging::Controlled Yihua::Latha HanYY06::MachanavajjhalaGKV06 ::22850490abs ::ChenHY96 
Language::Meta AgrawalCGMM08::Bootstrapping 119::ThomsenPL08 ::QoSMig ::Schiefer 
548::Guestrin Ioannidis::LeFevre Interpreted::Miah ::Sheng ::Atri 
RohmBS01::4497615 IP::1123 Wilschut::205 ::Sunita ::Radwan 
Enforce::1199 266::Kinji AcharyaAFZ95::Ian ::AssfalgKKKPR08 ::IlyasA05 
330::MelnikGR02 SolworthO91::Munir Ertl::KarsentyB93 ::Tolani ::Materialized 
Space::Abowd Ifrim::1287 AlomariCFR08::KauT94 ::AraiDGK06 ::15310583abs 
1376::Chiueh Coupled::Rosaci YouPL05::Tang ::Independent ::4497536 
