::Bentley80 ::81 
::Shouke ::AikenCSW96 
::NAGA ::NievergeltHS84 
::Kossmann ::Georgia 
::Rundensteiner92 ::SuleimanCF98 
::922 ::BhideCGGMPRRS08 
::283 ::SistlaYLL95 
::Satisfying ::Mangold 
::531 ::Arun 
::4497481 ::22851036abs 
::KilgerM94 ::247 
::AliZTK08 ::Vazirgiannis 
::Provide ::LiebermanSS08 
::Presentations ::15310117abs 
::Ray ::Made 
::Zina ::Hett 
::Kristin ::ZhangLXKW06 
::Gunopulos ::883 
::Adjoined ::Update 
::Mapping ::Galpin 
::Kriegel ::AttieSSR93 
::Zahir ::Khoussainova 
::Michle ::Temporal 
::Space ::Technology 
::22851102abs ::LaiTB05 
::SchmidtJS06 ::1531 
::SVL ::Human 
::Aggregationin ::KimGBW90 
::4497600 ::Kamath 
::Gardarin ::4497592 
::Gabriel ::N 
::Aranyak ::Materialization 
::Neighborhood ::4497603 
::Challenges ::IHE 
::322 ::VenkataramanLN95 
::views ::TsatalosSI94 
::AggarwalY98 ::von 
::Zadeh89 ::4497569 
::Ozcan ::15310041abs 
::Deepak ::MuralikrishnaD88 
::mss ::Banu 
::Fung ::Bloom 
::Varied ::GriffinL95 
::Identification ::Nisheeth 
::Dimitris ::294 
::Kenneth ::Officers 
::Gerhard ::Determine 
::LiebermanSS08 ::AggarwalY98 
::Shivakumar ::22850668abs 
::Xiaofang ::Singer 
::Fred ::4497613 
::Kato ::Cherniack 
::914852 ::From 
::Jayant ::Mokbel 
::Toon ::1391 
::Chengyu ::Bausch 
::Timely ::Bootstrapping 
::Heikki ::606 
::Gio ::JayapandianJ06 
::designed ::Yoshinari 
::516 ::Zhu 
::DuKS92 ::Petkovic 
::94 ::Franois 
::112 ::Mani 
::Checkpoint ::Diversity 
::Parallelism ::ChapinHRG95 
::Mix ::22851137abs 
::Walid ::KlemettinenMRTV94 
::And ::Lucchese 
::1258 ::665 
::Tamino ::1591 
::Invariant ::Sang 
::Tier ::Cost 
::1396 ::79 
::4497602 ::Metadata 
::952 ::WangBTD08 
::567 ::Wouter 
::AggarwalY08b ::VeeSSBA08 
::Scheuer ::KriegelKPR06 
::Soo ::Farfn 
::Rafiei ::15310225abs 
::RemiasSZS97 ::Indexed 
::Pirahesh ::clustering 
::Etoh ::WangZZ06 
::MalinS06 ::914840 
::Engineering ::Qun 
::4497583 ::Rabinovich 
::micro ::212 
::489 ::Jim 
::Soloviev93 ::2001 
::Five ::813 
::Partial ::Function 
::Rizzolo ::513 
::Pfoser ::MogiK95 
::Chiew ::4497436 
::Ewen ::Georgakopoulos 
::Millions ::Stonebraker91 
::Correlation ::Made 
::Fen ::403 
::327 ::1123 
::BeeriR87 ::KashaniS08 
::Wayfinder ::LakshmananSS96 
::Samaras ::Make 
::Fischmann ::Knowledge 
::Databases ::Schiefer 
::Hsiao92 ::22850353 
::Provenance ::BabuMWM05 
::4497544 ::512 
::22850890abs ::Aritsugi 
::Jost ::Skyline 
::P074 ::Queuing 
::Tamino ::Xiaodan 
::Human ::Native 
::Characterizing ::QuassRSUW95 
::Rajkumar ::PapadiasT97 
::396 ::PfahringerK95 
::Order ::csur 
::914825 ::Vladislav 
::Pietzuch ::342 
::Computing ::Keyword 
::22850693abs ::DeaconSW94 
::ManolescuP05 ::Deshpande 
::DeligiannakisSKVD08 ::Aboulnaga 
::ZhangGW08 ::LimB08 
::Hambrusch ::Hyon 
::Chi ::ChawatheRGW96 
::Watzke ::csur 
::Cardinality ::KonopnickiS95 
::SchallehnSS02 ::OSSM 
::Yangjun ::Record 
::csdl ::WiwatwattanaJLS06 
::KimPC01 ::33 
::AfanasievGMRT08 ::1115 
::Smalheiser ::4497463 
::Xueyan ::1501 
::Context ::AbiteboulK92 
::GantiCM05 ::4497454 
::ipsj ::Bei 
::Ben ::Ji 
::499 ::Propagation 
::Tsaparas ::Join 
::ieeecomputersociety ::198 
::Attacks ::centric 
::BargaP95 ::Ali 
::LometBMS06 ::Antoni 
::19 ::TheodoridisSS98 
::Kong ::Giuseppe 
::Arshad ::Gunopulos 
::HasanM94 ::Non 
::337 ::LuBZ06 
::ipsj ::Row 
::Research ::Recovery 
::Fully ::Approximately 
::Ogawa ::1412 
::Fatih ::646 
::ShengHL06 ::Sakurai 
::Visibility ::Haruo 
::Essence ::Limitations 
::22850927abs ::ChenOO08 
::684 ::cker 
::Interfaces ::50 
::Clio ::Yk 
::ISOMER ::AhmadPCR08 
::bc ::Histories 
::MullerDEF01 ::Negative 
::BadrinathR92 ::914866 
::HwangPS98 ::Xiaoyong 
::4497523 ::Jure 
::Han ::355 
::Sideways ::NAGA 
::Ewen ::22850487 
::QPipe ::CuiLXCDZ08 
::OguchiK02 ::Curt 
::BanerjeeC98 ::Lamport78 
::Harald ::Shukla 
::Feher ::Algorithm 
::Dimitris ::HwangC05 
::Warner ::btw 
::VrhovnikSES08 ::Dieter 
::4497424 ::Song 
::22851143abs ::LiCKB06 
::1451 ::Qiming 
::1471 ::Oguchi 
::Ian ::419 
::19 ::Fabret 
::Small ::Bernedo 
::Unknown ::LeungWL89 
::Tamir ::BestPeer 
::GraefeM93 ::1441 
::Rizzolo ::134 
::Carey ::Stephen 
::PoosalaIHS96 ::22850485 
::VLEI ::bancilhonDK92 
::Xiangdong ::4497574 
::Sengupta ::Zhu 
::Anton ::4497467 
::Alex ::Sayal 
::ShethL90 ::Cherniack 
::NaumannHTHM02 ::KellerB96 
::P342 ::Renner 
::Donahoo ::Warehouses 
::FernandezFLS97 ::Approach 
::ShenSCT06 ::Chrysanthis 
::Sarawagi ::Semi 
::Delcambre ::Minh 
::Neumann ::Jennifer 
::Ramakrishnan08 ::Thakkar 
::Qu ::Perfect 
::CastroN08 ::170 
::Hon ::Kornel 
::Mladenic ::431 
::JagadishOVZZ06 ::LangOS96 
::HuhtalaKPT98 ::Paraskevas 
::RaoLLPS01 ::1143 
::Xiangdong ::Dikaiakos 
::Rank ::org 
::KarsentyB93 ::NabeelB08 
::228 ::Dai 
::Miller ::Dictionary 
::1107 ::22850256abs 
::189 ::4497501 
::370 ::ChengYDYW08 
::Mason ::Deductive 
::Tool ::Jeung 
::Sean ::135 
::Sales ::CareyL91 
::Carmem ::Fatih 
::1619 ::Burke 
::Knowledge ::Ammar 
::Hett ::Xiaodan 
::Cubes ::Rich 
::4497438 ::255 
::Airoldi ::Pasi 
::Bhattacharya ::Visualization 
::1412 ::through 
::WangJT06 ::LiuM96 
::Scripting ::220 
::1615 ::X06c 
::Peery ::AikenCSW96 
::William ::OrensteinM84 
::Jens ::YangLYX05 
::Scalability ::BonczKK96 
::ds ::246 
::Sizov ::Goldin 
::1125 ::1522 
::P108 ::Lin 
::784 ::NieWWM06 
::Practical ::4497435 
::876 ::Jean 
::Joan ::MAFIA 
::4497502 ::Knuth73 
::Simonas ::Antijoin 
::Machine ::1134 
::P036 ::Radwan 
::4497489 ::McCannKSVSD05 
::booktitle ::Tat 
::Descriptions ::22851061abs 
::ChenWWM06 ::Hakan 
::Janine ::Webs 
::Hammer ::Patterson 
::ChengDNPKWAAFSSS97 ::good 
::Lineage ::Gerald 
::Pilania ::AbiteboulHB99 
::Bringing ::WolfsonCDJM98 
::Transaction ::Rule 
::Xiaofei ::GalAX02 
::C98 ::Nikolaus 
::YaminiG05 ::Alessandro 
::46 ::Govindarajan 
::year ::Gerald 
::Peer ::Donahoo 
::1572 ::264 
::Chan ::Suri 
::AndresO98 ::Sheng 
::DewriRRW08 ::NN 
::22850081abs ::Attribute 
::MaierS86 ::Jan 
::BohannonFRS02 ::Ramy 
::PuHK06 ::GhaffarA97 
::Atzeni06 ::22850606abs 
::Akihiro ::Legaria 
::Ramamirtham ::Extension 
::4497635 ::Highly 
::WuB97 ::ChandelNS06 
::Jagan ::ZhangPW08 
::Margaret ::Hiroomi 
::BeckleyER85 ::JermaineOY02 
::GraefeM93 ::159 
::Scene ::Huan 
::Bernhardt ::PitouraT08 
::Chambliss ::Histories 
::Faradjian ::Akiko 
::Cubes ::Gill 
::HasanM94 ::Anonymous 
::File ::cite 
::ZhangDH08 ::4497596 
::WuEDCKAS08 ::KauT94 
::IWill ::Alkis 
::htm ::10010071abs 
::126 ::Korth 
::Analytical ::Schubert 
::Nakano ::4497594 
::1342 ::Sunbir 
::HolsheimerKMT95 ::Lieuwen98 
::Producing ::517 
::Bonifati ::Using 
::Liedes ::Abul 
::Packets ::15310268 
::AbiteboulK89 ::Jonathan 
::Human ::Rate 
::145 ::Draper 
::263 ::Amol 
::Papaemmanouil ::elmagarmid92 
::a ::ICDE98 
::306 ::isca 
::Negative ::Castellanos 
::Hristidis ::ATLaS 
::1596 ::BargaLW02 
::BrinDG95 ::349 
::CareyHMW96 ::Barzan 
::Harchol ::4497398 
::LuBZ06 ::174 
::Dimensions ::Regnier85 
::TALE ::183 
::Relaxation ::Cooper 
::1476 ::Alon 
::Improve ::Olston 
::4497515 ::1592 
::22850324abs ::4497575 
::Werner ::Kamesh 
::Definitions ::Subsequence 
::Ayad ::AgrawalFS93 
::Linfeng ::Gravano 
::Gmach ::AyadNWS06 
::Yannis ::LakshmananSS96 
::Constraint ::Vebjorn 
::22850186abs ::Thiagarajan 
::Pinar ::Brzsnyi 
::Bajpai ::GeZ08 
::Migration ::22850552abs 
::Andras ::1587 
::Elhadji ::YangL87 
::2000 ::1418 
::Elghandour ::Hoare69 
::Saikat ::Vassilis 
::4497570 ::Workloads 
::493 ::Mason 
::Savage ::Zhuang 
::Anonymous ::Imai 
::Reporting ::PietzuchLSRWS06 
::Product ::Ownership 
::22850285abs ::1002 
::501 ::Nguyen 
::Bases ::Debate 
::P144 ::Abiteboul97 
::WangRL08 ::Subsequence 
::Hans ::Explicit 
::Cattell96 ::00 
::Out ::aw 
::CarterBZ91 ::Hardware 
::1467 ::Mong 
::Phrase ::625 
::Discriminative ::Algorithms 
::Expressive ::4497626 
::Regular ::Esther 
::Yfoulis ::Cheung 
::ShimSA97 ::iandc 
::3D ::Yuen 
::Speed ::Y 
::Anil ::Connectivity 
::Yibin ::Anne 
::Chu ::GriffithsFPJDM05 
::Roberta ::Jindan 
::Tok ::Chrysanthis 
::k ::Bolin 
::Cristian ::201 
::P532 ::Qing 
::BorzsonyiKS01 ::Dmitri 
::Protein ::157 
::Scannapieco ::Rost 
::comp ::Memoriam 
::Whang ::Amer 
::Mladenic ::4497617 
::1604 ::MalinS06 
::Mano ::Henk 
::Kedar ::Wavelets 
::Don ::CammertKSV06 
::Mason ::SchmidtKW01 
::Meo ::22850355abs 
::Ip ::GutingS95 
::YiuM06 ::Zaane 
::Psaila ::Yufei 
::Hadjieleftheriou ::Chawathe 
::KamelF94 ::Hierarchies 
::754 ::Bedell98 
::ChandraV85 ::Kazumi 
::Ge ::567 
::15310275 ::532 
::Kazumi ::Summarizing 
::15310041abs ::NeT 
::SarmaTW08 ::CQ 
::405 ::15310287abs 
::Hypermedia ::341 
::bit ::246 
::dpd ::Tobias 
::Georges ::Farnoush 
::ORDBMS ::22850717abs 
::1464 ::IlyasA05 
::networks ::Haixun 
::Sample ::1580 
::Evaluating ::Ander 
::Rajasekar ::Sequential 
::4497534 ::Francesco 
::Comer79 ::1370 
::Sentiment ::Kedar 
::310 ::Construction 
::Manikutty ::1082 
::Hmmer ::KarrasM08 
::Wing ::cdrom 
::icde2002 ::Challenges 
::ChrysanthisR94 ::HillyerS96 
::1143 ::15310283 
::Intersection ::Symbolic 
::1146 ::22850656abs 
::Kalnis ::298 
::4497437 ::Kanaya 
::4497573 ::Shalem 
::Mishra ::25 
::Feida ::1495 
::Maintaining ::Coarse 
::Mummoorthy ::Phantom 
::World ::KuZWW06 
::Xinqiang ::Moustafa 
::Fred ::dx 
::349 ::Musicant 
::387 ::Minos 
::Relative ::22850357 
::PF91 ::Xiaokui 
::Cohe ::Condit 
::MartinGH08 ::via 
::AlexanderR06 ::1160 
::Zahir ::Scott 
::41 ::Upendra 
::ViteX ::Suri 
::823 ::PageRank 
::Coskun ::Message 
::AnciauxBHPA08 ::Xie 
::QShuffler ::Hon 
::Barbara ::HOPI 
::Bill ::Library 
::ChaudhuriDMN01 ::ChenLL08 
::Haixun ::Ramakrishnan08 
::Gauss ::Zilio 
::Zwol ::353 
::Pirahesh ::Georges 
::Redbrick ::PagelSTW93 
::Zaniolo ::as 
::kim95 ::Gabriel 
::ChenC92 ::1130 
::Andrs ::Yoshinori 
::66 ::WuXTL06 
::Soo ::Measuring 
::15310716abs ::MAN 
::Communication ::Gawlick01 
::ZouSL98 ::Kenneth 
::Praveen ::914876 
::Hsu93 ::icde 
::22850631abs ::Tasks 
::Phan ::Provable 
::Planning ::Microsoft 
::Newton ::Shim 
::RiTE ::Archival 
::intensive ::Indrajit 
::22850298abs ::MaH01 
::914833 ::DohertyHR96 
::Muhammed ::Santos 
::4497605 ::Statistical 
::Tripod ::547 
::Coordinated ::htm 
::Hakan ::22851144 
::TomasicRV96 ::RastogiS98 
::Systems ::AgrawalCGMM08 
::Jr ::LometBMS06 
::1336 ::Martin05 
::116 ::FungYLY05 
::Volker ::Weidong 
::KrishnamurthyI91 ::ShivakumarG96 
::15310201abs ::1495 
::MeoPC98 ::Bin 
::Cattell96 ::463 
::Scheuer ::VaidyaC05 
::MendelzonW95 ::229 
::190 ::4497587 
::Descour ::kdd 
::Early ::ChenDKLRS95 
::463 ::Bertk 
::JiangVBCB05 ::Terzis 
::CuiLXCDZ08 ::Periodic 
::Heterogeneous ::Georgakopoulos 
::kl ::AilamakiGM06 
::AslandoganTYZR97 ::22851100 
::842 ::COLR 
::Grel ::Hannu 
::JagadishMR98 ::Dam97 
::Tsotras ::4497520 
::title ::Tape 
::John ::EdmundsMSS05 
::Barzan ::Rui 
::Elfeky ::4497560 
::icde2006 ::Das 
::914825 ::Erhard 
::577 ::Yihua 
::Adriana ::Cao 
::1092 ::Carl 
::Brenninkmeijer ::Batra 
::Real ::Sikka 
::Ray ::Stockinger 
::Tomasic ::Mobile 
::1567 ::Query 
::mit ::4497590 
::260 ::toms 
::MyllymakiL96 ::Scrutinizing 
::CampenXRGFSPL08 ::NN 
::BachFGHHHJS96 ::Ramakrishna 
::Platform ::Class 
::Kornel ::WuDY06 
::Olga ::ShivakumarG97 
::GeorgakopoulosHKM94 ::Histories 
::PapakonstantinouGW95 ::Junglee 
::492 ::GangerK97 
::Mehrotra ::ArumugamJ06 
::1342 ::337 
::NFMi ::TataFS06 
::Ng ::SchallehnSS02 
::Generalization ::Cheng 
::BronczWK98 ::Wavelet 
::Kuwabara ::Rakesh 
::2006 ::Gerstl 
::Chafle ::ZukowskiHNB06 
::Benchmarking ::Market 
::Ha ::Obermeier 
::Eltabakh ::914878 
::Warner ::Balazinska 
::Kalogeraki ::Antoni 
::Ubiquitous ::GutingS95 
::4497631 ::ChapinHRG95 
::Gsta ::217 
::549 ::Bei 
::TangYOCW08 ::Fault 
::4497513 ::645 
::LorentzosM97 ::Riemenschneider 
::deSign ::ShashaLSV95 
::Dina ::1396 
::KeCN06 ::Fatma 
::Chiu ::Quan 
::185 ::Videos 
::Varadarajan ::Lasse 
::Light ::DingCRTHC08 
::513 ::Services 
::503 ::Extending 
::Graphs ::Background 
::Imperatives ::YounSun 
::1033 ::Mokbel 
::4497512 ::BernsteinL96 
::Jennie ::Mylopoulos 
::4497627 ::Services 
::1441 ::Leung 
::4497563 ::Tsumura 
::1340 ::Mediation 
::Elisa ::Gawlick 
::358 ::Ferri 
::DimitrovaG94 ::AcharyaAFZ95 
::Lieberman ::Inverted 
::4497488 ::Luca 
::RohmBS01 ::QuLM06 
::Candan ::Olga 
::Knowledge ::10010661abs 
::1119 ::15310141abs 
::Zilio ::Sarawagi 
::RoitmanGR08a ::Freeston95 
::Transfer ::Cube 
::418 ::22850242abs 
::Harizopoulos ::1608 
::CormodeKMS05 ::Saenz 
::Yue ::Loading 
::1258 ::130 
::Functional ::PhotoSpread 
::SarawagiS96 ::dke 
::15310187 ::LiZBSZN06 
::Indriyati ::1146 
::KemperM90 ::1488 
::Supratim ::BonifatiBCC02 
::642 ::Shamkant 
::Stream ::Baxter 
::Transactional ::icde2008 
::Warner ::Ip 
::Raghu ::Co 
::1104 ::Directly 
::529 ::KaushikSBG02 
::Piatetsky91 ::Dhruv 
::George ::654 
::Rathakrishnan ::PetitTBK96 
::4497501 ::The 
::22850754abs ::108 
::AssfalgKKKPR06 ::Mummoorthy 
::Knig ::Matrix 
::Gawlick ::Soccer 
::Chiusano ::Oriented 
::22851084abs ::ShatdalN93 
::Farnoush ::MachanavajjhalaKAGV08 
::4497497 ::15310245abs 
::402 ::Suel 
::Kwietniewski ::Warehouse 
::HartDV88 ::WangXLW08 
::Simplicity ::Chasing 
::SmythG91 ::Luigi 
::DB2 ::Neighbor 
::XiongMA05 ::ShivakumarG96 
::Sunita ::Administration 
::RaoLLPS01 ::HenrichSW89 
::Ixent ::Hiraoka 
::Major ::PageRank 
::Watanabe ::551 
::1052 ::15310393abs 
::ChawatheAW98 ::514 
::4497452 ::362 
::62 ::KrishnaprasadLMWA05 
::Muhammed ::Traffic 
::Bourhis ::973 
::Esther ::Windhouwer 
::ISOMER ::4497565 
::1109 ::Kee 
::JohnsonS97 ::File 
::MorsePG06 ::Andrey 
::JagadishOVZZ06 ::Welsh 
::212 ::Chiang 
::KolliosGKB01 ::Meta 
::Ntoulas ::h 
::JohnsonK84 ::Inventing 
::NgH94 ::Spatio 
::TaninHS05 ::Inputs 
::Nassima ::Goyal 
::BerchtoldBK98 ::Tobias 
::Yuqing ::LiH89 
::KreplinZ01 ::655 
::Nehme ::Mic 
::Directions ::Harinarayan 
::Mitch ::Fegaras08 
::Anja ::914808 
::Stockinger ::Dehne 
::Designing ::Yi 
::4497568 ::Models 
::Online ::AmzaCDKLRYZ96 
::646 ::4497552 
::914849 ::22850324abs 
::714 ::tiered 
::502 ::Antova 
::Warehouses ::Jean 
::ZhangLKW06 ::Lan 
::LindsayMP87 ::1002 
::4497528 ::CormodeKMW08 
::267 ::Timely 
::Natix ::X06a 
::BirdCDLZ06 ::4497495 
::Laks ::4497457 
::774 ::Ramanath 
::87 ::BerchtoldBKK97 
::Degradation ::963 
::Main ::Redo 
::ShimSA97 ::Twig 
::cp ::4497423 
::TangYOCW08 ::DasguptaGJSV05 
::ChenDN02 ::581 
::4497432 ::Andrzej 
::QPipe ::Web 
::nwosuTB96 ::914878 
::Philip ::1388 
::914851 ::71 
::Behzad ::ZhouW08 
::Fai ::Kundu 
::15310583abs ::Set 
::ssd ::org 
::Exploratory ::Luis 
::Kanad ::1521 
::4497629 ::78 
::Indrakshi ::Jermaine 
::4497491 ::Footprint 
::577 ::BohlenSS96 
::15310383abs ::Shuqing 
::Memoriam ::Cui 
::CareyHSACFFLNPTWW95 ::Compiled 
::333 ::Zhaohui 
::354 ::Chalamalla 
::Zhuang ::De 
::22850353 ::914873 
::14 ::htm 
::Stphane ::1360 
::Chien ::Sardar 
::Scrutinizing ::Tao 
::cite ::4497456 
::4497630 ::Laboratories 
::VrhovnikSES08 ::HermanGLW87 
::914840 ::BentleyF79 
::Varied ::Recently 
::SarmaBHW06 ::Indexes 
::StonebrakerK91 ::Media 
::Spatio ::Technique 
::Adriana ::Lup 
::MogiK96 ::Dao 
::NambiarK06 ::KornackerB95 
::Jianyong ::47 
::HeinemanK97 ::JermaineO02 
::Katsumi ::DayalHL90 
::Hasan ::Community 
::Indrajit ::Visualizing 
::Nes ::Trajectories 
::Compact ::RDBMSs 
::World ::Items 
::1345 ::Narayanan 
::SayalCDS02 ::SEA 
::481 ::Two 
::Wisnesky ::Eadon 
::Ludscher ::4497636 
::wi ::Pasi 
::Alexe ::914824 
::AcharyaGJKST08 ::LowTLL02 
::Samuel ::Magesh 
::ShuklaDNR96 ::Wong 
::mg ::552 
::WilschutFA95 ::AgrawalFS93 
::Connectivity ::Butterfly 
::Zukowski ::ebXML 
::Collaboration ::914865 
::YanOZ08 ::PfahringerK95 
::1357 ::Shi 
::VelegrakisMM05 ::773 
::Position ::Norman 
::22851109abs ::Banich 
::Stabbing ::Parallel 
::22850322 ::1322 
::coopis ::KauT94 
::HoutsmaS95 ::LuoNE02 
::22850298abs ::Bausch 
::Indexing ::Consens 
::SistlaYV97 ::Snodgrass 
::Ranganathan ::Tryfonopoulos 
::Laboratories ::22850415abs 
::LiL08 ::VrhovnikSRM08 
::anonymizing ::45 
::Onizuka ::317 
::Gokey ::C 
::Okcan ::Work 
::Mehr ::Memos 
::Wayfinder ::19 
::MarianAKS05 ::He 
::Changing ::WangYM01 
::Rohit ::Iida 
::Rajaraman ::914841 
::Geometric ::GuhaKSY06 
::StodolskyGH93 ::Khoussainova 
::601 ::Gil 
::Anonymous ::187 
::Batch ::Back 
::324 ::1501 
::Henrich98 ::Panagiotis 
::ColbyCHJJMSW98 ::Laboratories 
::Tarik ::Index 
::Gang ::22850193abs 
::Zhiping ::TAILOR 
::Sujata ::4497527 
::YouPL05 ::DahlinWAP94 
::741 ::YanZH05 
::Arasu ::22850118abs 
::Object ::Zeiss 
::441 ::Rau 
::Extremely ::Better 
::ChenJKKMNS01 ::Leymann98 
::LangOS96 ::EderL95 
::525 ::Nogayama 
::426 ::Henrich 
::KhaitanRJC08 ::Principled 
::Kleene ::962 
::Trasarti ::Dik 
::conf ::Yuelong 
::Vehicle ::Dinh 
::XieYCWY08 ::Nuwee 
::to ::KimGBW90 
::Unity ::1317 
::P104 ::acm 
::Xiaofeng ::Vineel 
::Its ::Georgakopoulos 
::BanerjeeC98 ::Tim 
::VBI ::Distance 
::Gting ::McWherter 
::AbiteboulV97 ::Earth 
::4497544 ::Querying 
::Cameron ::Keith 
::Pautasso ::Reza 
::DeWittKLPY94 ::Upendra 
::ngc ::1506 
::Dirty ::Carl 
::Wikipedias ::EltabakhOAELASB08 
::Liadan ::Kambhampati 
::Xiang ::Carlo 
::DozierSF94 ::Kai 
::Annamalai ::528 
::Gawlick98 ::Angel 
::15310264 ::Update 
::Pilania ::Pryakhin 
::R ::SeltzsamGKK06 
::Pablo ::Cattell94 
::Adam ::Annotation 
::WhiteDJ96 ::Larson02 
::1259 ::4497638 
::VLEI ::Seidl 
::Jrg ::Browsing 
::Engine ::Leong 
::Keulen ::Type 
::GrabsBS01 ::Datar 
::Wisnesky ::DBMS 
::Hse ::Phantom 
::Extracted ::Hoare69 
::1366 ::SquicciariniPB08 
::Pointsets ::U 
::Warren ::Madhavan 
::Carminati ::Profiles 
::Wayne ::SinhaWWSS08 
::Douglas ::PapakonstantinouGW95 
::Theobald ::WangR91 
::GriffinL95 ::DalkilicGR97 
::Venn ::174 
::Protein ::Centric 
::KhaYU01 ::Counting 
::642 ::LeeKC01 
::Zaane ::SizovSTW02 
::Policies ::Group87 
::4497418 ::Farnoush 
::Path ::He 
::Party ::Wenfei 
::sac ::Kazumi 
::477 ::Counts 
::140 ::Terzis 
::Wierman ::Thalhammer 
::Davidson ::Privately 
::SistlaY96 ::Glimcher 
::Sankaranarayanan ::22850384abs 
::GirodMNRTBM08 ::Captivity 
::Pierre ::15310706abs 
::Galindo ::Jeung 
::Jiangchuan ::Directly 
::BancilhonR86 ::Economically 
::Shadmon ::Cinzia 
::meets ::Division 
::Digital ::ConQueSt 
::Sang ::56 
::AkindeCJK01 ::Rittinger 
::Shantanu ::Shyu 
::Arasu ::PapakonstantinouGW95 
::NetzCFB01 ::Knuth73 
::Warping ::401 
::Imran ::Interval 
::Hiraoka ::P276 
::Common ::477 
::RAIDs ::1612 
::Borealis ::Ailamaki05 
::1119 ::Reynold 
::1258 ::454 
::Myoung ::Abul 
::ECA ::ShethR93 
::RemiasSZS97 ::SUBSKY 
::22850386abs ::Correlation 
::P284 ::85 
::HinterbergerMG94 ::Classification 
::Generation ::DeWittNS91 
::Hsu95 ::Grust 
::QoSMig ::Krompass 
::DasguptaGJSV05 ::Vries 
::Ohler ::Coupled 
::Forecast ::GabberK98 
