::Banich ::BatoryBGSTTW88 ::Xiao ::RaffioBCPH08 
::ChenDN02 ::Iyengar ::Stefan ::Stonebraker86 
::EvdokimovFG06 ::Chan ::Benjelloun ::Shekita 
::68 ::ZhangRL96 ::Palopoli ::ONeilG95 
::15310593abs ::Certain ::MotwaniNT08 ::276 
::The ::Lyublena ::ConsensLO06 ::MummertES95 
::Felipe ::Extra ::824 ::JiangAC05 
::P588 ::242 ::Loredana ::ShimSA97 
::BohlenBJ98 ::GeZ08 ::638 ::cite 
::Display ::Methodical ::Verifiers ::PermJoin 
::Constantly ::GuptaHR98 ::AggarwalY08 ::4497479 
::ADEPT2 ::and ::Wolski ::Lipyeow 
::Processing ::Flesca ::Large ::U 
::Family ::Gokey ::Rastogi ::Mohania 
::Yoji ::22850514 ::CluetD92 ::Mary 
::Yihua ::Matches ::Ellmann ::Koh 
::Valduriez ::EllisG89 ::Effect ::Congjun 
::P601 ::Over ::1488 ::Malicious 
::Ben ::OrjiS93 ::281 ::Crawler 
::RDB ::Hamid ::Tamer ::765 
::15310141abs ::Type ::Scaling ::Cardinality 
::Yeol ::ShethR93 ::Tadashi ::Wan 
::Services ::162 ::Lorenzo ::Seeger 
::Mapping ::Garret ::WuXTL06 ::DayalHL91 
::Rimma ::Baralis ::Research ::DuKS92 
::1112 ::SheuW06 ::Ewen ::JaberV06 
::kdd ::U ::1199 ::Xiaoyong 
::257 ::Scherzinger ::LeuteneggerL98 ::P342 
::Martone ::Dogac ::Hung ::Aggregation 
::BanerjeeC98 ::Hellerstein ::466 ::22851147 
::Ambuj ::914850 ::Kedar ::P254 
::Path ::Eunus ::Pucheral ::Krmer 
::Mikkel ::Grust ::JohnsonMSS08 ::Dixit 
::SMART ::4497569 ::YiJF98 ::IshikawaIKH92 
::Vilhuber ::EllisGR91 ::Gone ::Attributes 
::914855 ::Diverse ::Flesca ::Barker 
::Summaries ::Lola ::109 ::Sherkat 
::Saydean ::GuptaM95 ::Carlo ::AkindeCJK01 
::RamamrithamSSTX96 ::4497512 ::an ::Legaria 
::Partitioning ::SalzbergT96 ::NgOT02 ::ZhangRL96 
::1421 ::Fudos ::Elisa ::15310529abs 
::15310225abs ::1336 ::271 ::MukhopadhyayP02 
::PHASME ::Stella ::914872 ::Mummoorthy 
::697 ::MaurouxAF06 ::Gryz ::Flesca 
::Ash ::Participants ::LiedesW06 ::GyssensLS96 
::ShethL90 ::Weikum ::Philip ::Machanavajjhala 
::1584 ::Meets ::Bill ::1384 
::Correlations ::332 ::ShrivastavaMR08 ::Tony 
::914852 ::Enhanced ::AbulBN08 ::Periods 
::TRMeister ::Distributors ::DuS82 ::John 
::Deletes ::4497443 ::Hoa ::P494 
::ChandelNS06 ::Disclosure ::Simitsis ::Intuitive 
::1627 ::siamcomp ::Wen ::Workloads 
::SirbuT95 ::Shigeo ::1603 ::Personalized 
::Hanan ::111 ::Samaras ::GibbsBT94 
::Parking ::Massive ::P392 ::AbiteboulMP05 
::641 ::Skylines ::Mohan94 ::Dictionary 
::Winter ::22850459abs ::4497600 ::FarragO89 
::Latent ::Snodgrass95 ::Provide ::4497603 
::Sets ::1500 ::GuptaM95 ::KriegelKPR06 
::1259 ::ChaudhuriNS02 ::BohannonPRSSS96 ::EffelsbergH84 
::Arthur ::Mirek ::4497448 ::Lingzhi 
::von ::Himanshu ::SeegerK90 ::Sergei 
::1415 ::Lutz ::Leymann97 ::545 
::Applications ::Denny ::784 ::McWherterSAH05 
::an ::Approximated ::title ::Jin 
::Sevcik ::Getting ::Attacks ::Grandison 
::Abbadi ::Danzhou ::22851118abs ::Miled 
::DuschkaL97 ::353 ::230 ::44 
::StockmeyerM73 ::Amlie ::KolliosGKB01 ::Govindaraju 
::22850576 ::networks ::BohannonPRSSS96 ::Schning 
::Leung01 ::136 ::Intelligent ::302 
::CLICKS ::Ewen ::Loredana ::337 
::Prediction ::Maier83 ::Sachin ::RDBMSs 
::22850742abs ::DewriRRW08 ::Rosenthal ::4497416 
::SquicciariniPB08 ::Xifeng ::ZhugeG98 ::Mirit 
::15310191abs ::Orchid ::Shrira ::Reference 
::577 ::Multi ::Sullivan96 ::4497554 
::4497422 ::MeltonS93 ::AlomariCFR08 ::4497619 
::Siva ::LiZBSZN06 ::ZhangDH08 ::4497577 
::Shinjiro ::G ::Atallah ::297 
::Martinenghi ::Jindan ::Satoh ::InanKBS08 
::Compiled ::BlakeleyLT86 ::ride ::Bourhis 
::TrombettaJBB08 ::HartDV88 ::Authentication ::244 
::icml ::Matt ::Attribute ::4497460 
::DIPBench ::Publishing ::Corey ::Chambliss 
::Bart ::Haejoong ::Yip ::Tissues 
::Arie ::LehnerHS02 ::Santos ::567 
::Eket ::FerhatosmanogluTAA01 ::295 ::Houle 
::ADT ::Trasarti ::ai ::K 
::Sadhukhan ::1337 ::Na ::592 
::4497535 ::Caching ::Iwen ::SG 
::Subhash ::Moving ::38 ::ChengCMC08 
::cdrom ::4497415 ::914869 ::HP 
::Ngai ::KreveldO91 ::Clement ::Baker 
::Java ::YiLHKS08 ::GhandeharizadehHJ96 ::914817 
::Primary ::Hee ::KrishnamurthyI91 ::Naacke 
::4497463 ::548 ::KasneciSIRW08 ::Experiment 
::878 ::AgrawalFS93 ::Raghav ::AttieSSR93 
::Evdokimov ::Mirco ::Dynamic ::McWherter 
::cacm ::SUBSKY ::Point ::22850890abs 
::Kishiko ::Riemenschneider ::Wing ::ConQueSt 
::Man ::1110 ::Main ::Vijay 
::HP ::Family ::Refresh ::Zeeshan 
::914838 ::901 ::Yannis ::Sing 
::ER ::Oxley ::Renz ::Rosaci 
::Hull ::Subramanian ::Interval ::345 
::150 ::Captivity ::Ge ::Functional 
::DozierSF94 ::Systems ::Elghandour ::1500 
::Delis ::4497413 ::Batra ::Usage 
::Zwaenepoel ::Better ::ISOMER ::1444 
::ZhugeG98 ::LianCY08 ::Unified ::Cooper 
::Ludscher ::csdl ::4497454 ::IC 
::Freeston95 ::ipsj ::1599 ::ChristophidesCM96 
::Partial ::141 ::with ::KetchpelGP97 
::1348 ::Was ::Masaaki ::Geometric 
::Partitioning ::PapadopoulosM97 ::X06 ::1148 
::Aggarwal02 ::261 ::Hellerstein ::Jason 
::AmarmendAK06 ::Active ::SilberschatzKS97 ::Recognition 
::1559 ::LeungWL89 ::1318 ::Xiaofeng 
::Aoki ::GuptaCG08 ::Weikum ::d 
::Heinlein01 ::15310529abs ::Rafiei ::Ho 
::FerhatosmanogluTAA01 ::Thatte ::4497596 ::Ashok 
::Fishman01 ::BohmMW01 ::4497469 ::Ting 
::Dragut ::1461 ::Osman ::Eike 
::Medical ::Ivan ::4497500 ::Nasi 
::Katsumi ::Soccer ::1403 ::KorolovaMNX08 
::HP ::Shim ::GrabsBS01 ::Blakeley96 
::10010173abs ::497 ::Miyuki ::Prasanna 
::578 ::GravanoG95 ::Yao ::Checker 
::mss ::Swart ::Buneman ::Images 
::4497595 ::Objective ::JiangMCS08 ::Ln 
::Unlinkable ::BakalovT08 ::4497513 ::600 
::Chawathe ::LimN01 ::PapadiasTKZ02 ::Delta 
::Rosy ::Arora ::UDB ::Brenninkmeijer 
::Nrvg ::416 ::456 ::Holistic 
::Henry ::VlachosGK02 ::270 ::Windows 
::P297 ::Manolis ::Mehta ::books 
::1631 ::1170 ::HaraHTN97 ::Kanthi 
::Parking ::Ljosa ::4497478 ::HeLC05 
::395 ::jiis ::Enderle ::Temporal 
::Teixeira ::Meaningful ::Fits ::679 
::Archival ::4497634 ::Palios ::System 
::Integratio ::22851148abs ::Modern ::15310673abs 
::Ammar ::BohannonFRS02 ::Kleene ::814 
::internet ::4497522 ::Mahadevan ::1325 
::VlachosGK02 ::Acceleration ::Shapes ::RafieiM97 
::Bitmap ::Pull ::Thalhammer ::Mummoorthy 
::Kian ::within ::SteenhagenBB96 ::Checking 
::Chi ::Narasayya ::Superimposed ::Tuan 
::51 ::WangM05 ::Milind ::199 
::elmagarmid92 ::4497530 ::Detecting ::Kishan 
::HaraHTN97 ::Koloniari ::LevandoskiKM08 ::Loops 
::ApersHY83 ::Prefix ::1611 ::P154 
::BentleyF79 ::Process ::SCADDAR ::Watzke 
::P296 ::Renz ::1129 ::Okcan 
::DCbot ::Olteanu ::673 ::2 
::Koutrika ::Mathew ::ChenRDEGS06 ::ShaLJ88 
::15310270 ::4497465 ::ChiuehP05 ::1334 
::BunemanDS95 ::Papadimitriou ::DHT ::Latha 
::debu ::LakshmananRS08 ::P284 ::Yuxin 
::Attribute ::Quan ::SchenkelTW05 ::Stocker 
::Freire ::Hammad ::Multilingual ::175 
::Gamper ::Haiyan ::Descour ::Patterson 
::Protein ::1103 ::Athitsos ::Wu 
::Murugesan ::15310264 ::ke ::15310507abs 
::Duality ::Potamias ::King ::AslandoganTYLN95 
::Agarwal ::Naidu ::Emmanuel ::Medical 
::1100 ::Smodels ::Wolfgang ::Automation 
::Lessons ::22850564abs ::158 ::Rys 
::Transactional ::Almeida ::Split ::Internal 
::Jeff ::Griffiths ::Nikolaus ::Khalifa 
::FlicknerSAHDGHLPSY95 ::204 ::Sun ::262 
::column ::Plans ::15310263 ::GuptaJM96 
::4497597 ::542 ::ONeilG95 ::4497510 
::22851120 ::Revisited ::ChenH01 ::4497484 
::BorgBG83 ::1346 ::Archetypes ::their 
::Amr ::Jain ::1382 ::Stephan 
::Chiueh ::Scripting ::Tamir ::IshikawaYIK96 
::Information ::Infrastructure ::er ::TaninHS05 
::Simulation ::Hammer ::AgrawalS89 ::Kemper 
::4497450 ::Elizabeth ::Dissemination ::DimitrovaG94 
::Nogayama ::Mahadevan ::Martin ::ChengYHY08 
::Association ::icde2006 ::scheme ::914878 
::LiC98 ::SMART ::ChungGS02 ::Changing 
::Neil ::Joxan ::author ::VrhovnikSRM08 
::982 ::WolskiB98 ::Joins ::403 
::Distributors ::Emerging ::Ji ::LjosaBS06 
::Sameer ::Yingqi ::Porto ::Lawrence 
::Man ::Roberto ::Crowd ::ThomsenPL08 
::be ::Laws ::Vikas ::Sameer 
::103 ::DeligiannakisSKVD08 ::4497600 ::AkindeCJK01 
::Bttcher ::1047 ::Leo ::Immerman 
::62 ::Integrity ::Device ::LinD98 
::HeinemanK97 ::In ::Yiheng ::Motion 
::4497604 ::4497632 ::DelcambreMBDWGALL01 ::Eavis 
::Inverted ::22851126abs ::1287 ::Mehmet 
::Nimble ::15310333 ::Pan ::Feng 
::Tanveer ::4497445 ::AslandoganTYLN95 ::MyllymakiL95 
::Jeffery ::Vlachos ::ChengDNPKWAAFSSS97 ::Shapes 
::Elfeky ::Adriana ::Greco ::Client 
::Snake ::345 ::154 ::PudiH02 
::mk ::Ubiquitous ::Faloutsos ::Paton 
::Power ::Z ::Scheduling ::RDBMSs 
::Hallett ::Akitsugu ::914859 ::Traina 
::1267 ::4497543 ::4497511 ::Sikkupparbathyam 
::Xianghong ::Tobias ::e ::41 
::Frederick ::Carl ::Uncertainty ::Blakeley 
::Kumaran ::Exemplar ::Caetano ::SistlaY96 
::Filter ::Rajan ::Andrzej ::Representation 
::KappelS91 ::22850324abs ::AilamakiGM06 ::Basket 
::Balazinska ::Offline ::Franois ::Gao 
::4497463 ::Kai ::AstrahanBCEGGKLMMPTWW76 ::Mehta 
::LSD ::Samet90 ::Crowley ::Wesley 
::Cochinwala01 ::Koh ::Orlando ::359 
::Haifeng ::Collaboration ::22850258abs ::Rys 
::Lung ::Reducers ::PadmanabhanAMJ01 ::Zhiyong 
::Fingertips ::22850791abs ::YangWWY02 ::Hypermedia 
::Interactive ::581 ::Bettina ::195 
::Previously ::DBLP ::Intelligence ::17 
::MannilaR86 ::Ramanath ::BreitenederGT92 ::264 
::189 ::15310706abs ::Olston ::Preserving 
::Rishi ::FegarasM95 ::Delcambre ::HoutsmaS95 
::Sunbir ::Qiao ::CammertHKRSSZ06 ::SistlaW95 
::AxPRE ::Dale ::MansuriS06 ::Selinger05 
::Mahadevan ::Chaudhary ::1363 ::Immerman 
::Nakamizo ::Surface ::Output ::1133 
::Enabling ::W ::ChenDER05 ::Lipyeow 
::914868 ::EltabakhEA06 ::Marcel ::Benchmarking 
::580 ::4497470 ::Gone ::FaloutsosL95 
::Mamadou ::JaberV06 ::Search ::529 
::Prashant ::1141 ::Johannes ::Map 
::Relative ::Ogawa ::Frequency ::Sketch 
::15310176abs ::ShengHL06 ::Searching ::icde 
::136 ::Kimeli ::Milind ::Estimating 
::Intensive ::Bravo ::Boualem ::AkindeCJK01 
::Shao ::962 ::292 ::KrishnamurthyKN05 
::Guohong ::Tears ::HaskinMSC88 ::Garcia 
::Farfn ::Pitoura ::JadavGL97 ::Hwang 
::NieWWM06 ::ONeilQ97 ::Vectorizing ::Jagan 
::Rajkumar ::h ::Balmin ::RaoPML06 
::XQSE ::Degradation ::KoudasS05 ::LeuteneggerL98 
::371 ::519 ::Provisioning ::Chambliss 
::AcharyaGJKST08 ::901 ::22851129abs ::Sandeep 
::Bhat ::Phrase ::Masato ::15310567abs 
::32 ::Khaled ::Coherency ::Gyllstrom 
::Narang ::P599 ::Akitsugu ::Jr 
::Archival ::Provenance ::Datar ::Shaped 
::6 ::Anomalies ::499 ::Lead 
::DaiKSTV08 ::LB ::Basket ::Heinlein01 
::22851024abs ::WangRL08 ::Dohnal ::Wlodek 
::StodolskyGH93 ::Teixeira ::RoussopoulosK86 ::HaskinMSC88 
::482 ::GalpinBJFP08 ::EELs ::Kifer 
::Bhargav ::Music ::372 ::BentleyM80 
::SchmidtJS06 ::2007 ::Reification ::XuLTW06 
::298 ::Jansen ::Jigyasu ::Brett 
::Stphane ::GoldsteinRS98 ::Young ::Pablo 
::419 ::Postgres ::Raschid ::Granular 
::22850631abs ::Panella ::CastellanosC05 ::LiL08 
::KrauthgamerMRR08 ::Filling ::BlottRS96 ::AtzeniMM97 
::Versus ::68 ::Thakkar ::1322 
::Furfaro ::Kristian ::Annotation ::OomotoT93 
::AbulBN08 ::MishraE92 ::From ::1498 
::RaoPML06 ::WangY02 ::VenkataramanNL98 ::Graphitti 
::dx ::icmcs ::Monica ::Xing 
::Wavelets ::4497539 ::DunnDDS02 ::WangYM01 
::Asonov ::Multiresolution ::Incremental ::X05t 
::Ramamirtham ::Moss ::Braga ::Karl 
::Protein ::Zeldin ::519 ::KonopnickiS95 
::BrinkhoffKS93 ::Sobulo ::KimGBW90 ::Transparent 
::Torvik ::15310278 ::Framework ::864 
::acm ::GaoZCLLC08 ::Djafri ::244 
::QoSMig ::141 ::Iman ::1084 
::43 ::KemperK93 ::Erich ::Industry 
::Projected ::Junglee ::Aziz ::Fusheng 
::15310279 ::Yiming ::Imai ::Boat 
::Supratim ::Blok ::Joins ::Masato 
::WuCL08 ::4497596 ::Hetal ::ChakrabartiM98 
::Motwani ::Babu ::295 ::Editor 
::Shweta ::Ives ::Martone ::Training 
::Hulgeri ::Secure ::104 ::Authentication 
::Relational ::Chuck ::cikm ::TheodoridisS96 
::Preaggregation ::Adriana ::LiSDKG01 ::SECONDO 
::Sandeep ::LinYWL05 ::651 ::P192 
::DeWittFMV90 ::Navigation ::PopivanovM02 ::Carsten 
::ZhangLW08 ::Blockeel ::Salka98 ::338 
::Shneidman ::638 ::Evolution ::Chrysanthis 
::Philipp ::Miller ::Enabling ::Wiederhold93 
::Jiying ::SizovSTW02 ::Valduriez ::Skippy 
::Pan ::1116 ::Durmaz ::their 
::209 ::doi ::Federations ::Factorization 
::Histories ::201 ::P542 ::Propagation 
::15310345abs ::545 ::Chrysanthis ::O 
::Documents ::Page ::25 ::742 
::TataFS06 ::Provide ::208 ::4497459 
::PapadopoulosM97 ::Eugene ::175 ::4497597 
::BatiniL86 ::P276 ::1604 ::Vaupel 
::Braynard ::PapakonstantinouGGU95 ::Cochrane ::4497434 
::Wei ::MendelzonMM97 ::GirodMNRTBM08 ::Malakasiotis 
::Spatiotemporal ::dblp ::LuoNE02 ::Livny 
::Rajasekar ::Outsourced ::Transformation ::Takegawa 
::Circumstances ::Peers ::4497437 ::JadavGL97 
::Aggarwal ::513 ::Venkataraman ::Protein 
::Thaden ::Fosca ::15310490 ::15310282 
::ChanET05 ::Farfn ::RosenblumO92 ::TALE 
::LiCKB06 ::Set ::Gio ::Rule 
::Shimada ::Chiticariu ::1145 ::Spyratos 
::1479 ::GuoSBS05 ::1604 ::Roitman 
::mit ::4497533 ::1627 ::Arvind 
::ER ::15310269 ::Sikkupparbathyam ::Images 
::Tucker ::AhmadPCR08 ::WidomC96 ::ngc 
::Ellmann ::MendelzonW95 ::in ::Anonymous 
::Song ::983 ::36 ::EderL95 
::10 ::PanZW08 ::Improve ::218 
::P086 ::313 ::Extensible ::COLR 
::Crowley ::295 ::22850355abs ::Java 
::Shanmugasundaram ::Uemura ::Ooi ::Replacement 
::Correlation ::1506 ::1348 ::Dikaiakos 
::Shi ::ZouC08 ::Time ::Deb 
::Importance ::Srini ::Tufte ::Rys01 
::4497629 ::Spyratos ::YanZH05 ::22850991abs 
::KornSFSP96 ::282 ::JensenSS94 ::Sismanis 
::BayardoA05 ::Ramaswamy ::tc ::22850865abs 
::22850471abs ::22850285abs ::Cherniack ::Dik 
::ZouC08 ::Update ::CareyL91 ::Simitsis 
::Function ::AbiteboulCM95 ::KimCD05 ::Crowley 
::4497602 ::GuhaK02 ::Chowdary ::386 
::P370 ::List ::ONeilWFCM98 ::Antoshenkov93 
::44 ::Bedell98 ::Nuwee ::512 
::Ad ::WangHLS06 ::Green ::P297 
::Date90 ::Online ::Context ::Ahmad 
::Division ::deSign ::Jabeen ::Pierre 
::Darrell ::ngc ::15310383abs ::4497628 
::15310272 ::dpds ::Menzo ::577 
::Placement ::1073 ::Replica ::97 
::Tang ::AcharyaAFZ95 ::Building ::534 
::SilberschatzSU91 ::Serap ::4497602 ::Sellis 
::Calimlim ::IR ::Abstract ::Manipulation 
::Bestavros ::15310129abs ::Thaden ::AggarwalY08 
::Qin ::422 ::NaackeGT98 ::914862 
::Valduriez87 ::ISOMER ::Michalis ::JiangLWY02 
::1131 ::Multicast ::Storing ::Tomography 
::Jeffery ::914874 ::540 ::Arun 
::MalikBC05 ::Settings ::Materialized ::MogiK94 
::22851061abs ::Feida ::271 ::asplos 
::Goethals ::Tomography ::Meta ::Ong 
::Itoh ::Wlodek ::HouJ06 ::XCluster 
::Feature ::Lessons ::Jianmin ::1104 
::Yuxin ::LiL08 ::JigyasuBBCDMT06 ::Quan 
::EsterKSX96 ::Stonebraker ::Scheduling ::HoweM05 
::Subsequence ::Wilfred ::HwangC05 ::Small 
::Hazem ::Vinayak ::Haibo ::15 
::Fabian ::YipCN05 ::Gail ::Sergey 
::Conference ::Topol ::LindsayMP87 ::Mathew 
::Ellmann ::15310463abs ::Integratio ::Win 
::22850631abs ::scale ::118 ::Jakob 
::4497557 ::Postgres ::4497481 ::832 
::Constant ::Haibo ::191 ::1540 
::418 ::Melanie ::1121 ::siamcomp 
::ZhouW08 ::4497634 ::Rajasekar ::1059 
::Arno ::ai ::Enterprise ::Hope 
::Hiroaki ::Spyratos ::Fault ::kim95 
::Chiticariu ::Raghav ::PabmanabhanG06 ::Weiyi 
::Jost ::Frederick ::Vries ::Zdonik 
::Skyt ::Bryan ::X05q ::Liang 
::French ::Cubing ::ChaudhuriNS02 ::Megalooikonomou 
::Synchronization ::the ::Exemplar ::165 
::Shadmon ::without ::Balke ::Method 
::Jonker ::Sankaranarayanan ::Kristin ::4497587 
::Thu ::Zaniolo ::Study ::Lawrence 
::Millions ::Arjen ::Yafei ::That 
::Fishman01 ::Online ::372 ::309 
::Primitive ::Arijit ::Gill ::YanZH05 
::Nodira ::Format ::Ahmad ::Vu 
::CandanHS98 ::Aranyak ::4497610 ::OomotoT93 
::ChenH01 ::Rsch ::BaralGS98 ::RDBMSs 
::Naphtali ::Cesare ::Warping ::1385 
::JefferyAFHW06 ::Sikkupparbathyam ::streams ::22850094abs 
::Praveen ::Asynchronous ::Ge ::Xiaochun 
::1572 ::cgmOLAP ::IshikawaSKMMIAY93 ::AlexanderR06 
::Intelligent ::Toivonen ::CormodeMZ06 ::ChanFLNR82 
::1367 ::Tightly ::Dehne ::Committee 
::Protein ::65 ::1537 ::Gsta 
::Abul ::Rank ::booktitle ::VrhovnikSES08 
::Yiming ::Corruption ::Buccafurri ::22850081abs 
::Sagawa ::OntoWebber ::914811 ::SunAA02 
::Effect ::22850878abs ::Chiew ::Eberhardt 
::relational ::4497439 ::1575 ::Jayavel 
::546 ::Chon ::Yidong ::1370 
::JaffarYZ06 ::COLR ::Kiernan ::PF91 
::Hardware ::Novel ::Characterization ::Jim 
::KhoussainovaBS08 ::PermJoin ::XuLXM06 ::Cooper 
::Declustering ::Christophides ::982 ::Constructs 
::Coupling ::211 ::Kanthi ::241 
::Stabbing ::Klabjan ::FungYLY05 ::Clients 
::Computing ::RyvkinaMCZ06 ::1457 ::4497460 
::PitouraT08 ::Ramy ::22850717abs ::Mining 
::HutfleszSW88 ::Load ::Prediction ::466 
::982 ::RosenblumO92 ::1507 ::Minh 
::Probability ::Wavelets ::Lo ::Neumann 
::325 ::Subspaces ::Olteanu ::Boualem 
::Algorithms ::Arif ::CastellanosC05 ::Haojun 
::State ::Work ::953 ::269 
::Definition ::242 ::Obermair ::MohanN91 
::Donald ::Popa ::673 ::Sharing 
::109 ::NagarajNRS08 ::Concurrent ::Spatial 
::Sequential ::Regnier85 ::ISOMER ::VaidyaC05 
::ChristophidesACS94 ::Imperatives ::Marts ::P334 
::1376 ::AlomariCFR08 ::Standard ::Leung01 
::Domains ::Mazza ::Musicant ::Bentley80 
::good ::Wikipedias ::dl ::Feng 
::1444 ::1436 ::Anton ::15310327 
::4497566 ::Krithi ::1104 ::Low 
::Captivity ::Krishnapuram ::FudosPP02 ::22850549 
::KornMW06 ::Approximated ::KrauthgamerMRR08 ::4497567 
::Beng ::563 ::4497581 ::Alternative 
::Clusters ::Zadeh65 ::84 ::Tolani 
::Operation ::890 ::215 ::Katsumi 
::Aggarwal02a ::4497414 ::Triggers ::Vana 
::ZaianeELL05 ::Kwong ::Leong ::565 
::4497550 ::Zheng ::WangR91 ::Nora 
::Pan ::Party ::Yibei ::Piatetsky91 
::For ::1438 ::P ::YiLHKS08 
::wi ::446 ::Nagaraj ::RothH93 
::G ::79 ::BronczWK98 ::linear 
::Creation ::Relevance ::P550 ::Sardar 
::475 ::KimGBW90 ::SrivastavaHMKT06 ::Outerjoin 
::15310041abs ::456 ::DeFazio ::Yangjun 
::Kashyap ::Lists ::comp ::22850754abs 
::BunemanDFS97 ::10010473abs ::Joshi ::22850578abs 
::4497533 ::Tripod ::1330 ::HTML 
::Krishnapuram ::Alvaro ::1369 ::Pedersen 
::Meta ::1071 ::Practical ::914823 
::CaliM08 ::1337 ::Brent ::P014 
::255 ::170 ::Pedro ::Fishman 
::440 ::Hector ::Towards ::Compression 
::ROL ::15310403abs ::1522 ::349 
::CareyHSACFFLNPTWW95 ::EltabakhEA06 ::GoldbergR83 ::TsatalosSI94 
::Oriented ::Vijayalakshmi ::ChandraV85 ::Xiaoxin 
