::Garbage ::314 ::Gyssens 
::Enhanced ::Manolopoulos ::Proposal 
::Siegel ::81 ::Radzyminski 
::San ::Samet ::Hashing 
::Cook ::Sheldon ::Dataflow 
::Methods ::Avoid ::Narasimhalu 
::Hypothetical ::Reminiscences ::Ramez 
::Wide ::Sagalowicz ::Globally 
::Educational ::Patrick ::Rajiv 
::Cluet ::Dynamic ::Datasets 
::Steinbrunn ::for ::4th 
::Brief ::Dadam ::I 
::II ::Peng ::Nutt 
::Takeshi ::Pratt ::Arthur 
::Anand ::Gray ::Didier 
::Masum ::Symmetric ::Esther 
::Meta ::Made ::Donko 
::480 ::184 ::Translation 
::Smith ::Lodge ::Schek 
::Platforms ::Johann ::WORM 
::Reference ::Semantics ::Wave 
::Weihl ::Akira ::Fong 
::Zhao ::Consumer ::the 
::Plans ::Victor ::Svetlozar 
::80 ::Buff ::Conversion 
::Nado ::Bargmeyer ::Approach 
::Gemis ::Fll ::Olga 
::Paula ::50 ::Tei 
::Geo ::Materialization ::Methods 
::Independence ::ObjectStore ::Yurek 
::Hbel ::Hoel ::Fetched 
::Tsur ::350 ::280 
::Gary ::Visualizations ::Lomet 
::477 ::Component ::GIS 
::Managing ::Specification ::356 
::Krishnamurthy ::Relly ::Passing 
::230 ::Bohrer ::240 
::Mackay ::Extensions ::Yehoshua 
::Flexible ::131 ::Pessimistic 
::Dengi ::Livny ::Universal 
::183 ::1988 ::Zhou 
::Delisle ::Megiddo ::Ins 
::Flaws ::Suppletment ::Christodoulakis 
::Retrospective ::Ceri ::Anderson 
::re ::time ::Klemens 
::Walters ::Wesley ::Ramakrishnan 
::Phatak ::Dangers ::Papazoglou 
::Bertino ::Media ::Sagalowicz 
::Yehoshua ::Spotfire ::Shiri 
::Barbara ::Gehani ::Lineare 
::Hallmark ::Georg ::122 
::Zoerntlein ::Recursion ::Tokuyama 
::Dusseau ::Wei ::Structures 
::Language ::Multiversioning ::Milt 
::Tradeoffs ::176 ::et 
::Retention ::Bases ::Kerschberg 
::Worst ::Text ::Pessimistic 
::Lock ::Project ::Lothar 
::issue ::Wisconsin ::Inapplicable 
::Doherty ::Brunie ::Expected 
::Brice ::Wedekind ::Open 
::Doherty ::Mining ::N 
::Mult ::Educational ::7 
::474 ::Viewpoint ::382 
::Shasha ::Structural ::314 
::Ahmed ::Cost ::Frasson 
::Timothy ::Disc ::109 
::Commitment ::Weienfels ::Easy 
::Nikos ::Sushil ::Sizes 
::Maryanski ::Rowe ::Birgitta 
::Laks ::Modular ::Darrell 
::Temporal ::Dynamically ::Schneider 
::SENTINEL ::Tufte ::311 
::Moerkotte ::300 ::Lois 
::24 ::540 ::368 
::E ::Botnich ::Faloutsos 
::Heterogeneous ::Disjunctive ::Database 
::Anil ::Cartesian ::Ganapathi 
::298 ::Ada ::Nothing 
::Keim ::Point ::331 
::Kuno ::Spyratos ::Unix 
::Zurich ::Java ::site 
::Karlsruhe ::178 ::Wm 
::Stoltzfus ::Shelly ::Queries 
::Interface ::X3 ::24 
::Kossmann ::Claudia ::Pipelined 
::Wave ::Shelly ::442 
::Scheduling ::Gonzalo ::Tyler 
::Beng ::Qian ::Shectman 
::525 ::Client ::Stepwise 
::Antonia ::Z ::volume 
::Sethi ::Ballinger ::Chi 
::SQL3 ::Muntz ::Alexandros 
::Funding ::Kuan ::Hodges 
::Administration ::Tokens ::Lanzelotte 
::Levy ::Laver ::Shoring 
::Arie ::were ::Moffat 
::Downing ::Peithner ::Making 
::Leung ::Frameworks ::Mechanism 
::Hawthorn ::1951 ::Cluet 
::Myllymaki ::Transient ::MDM 
::Safe ::Mariposa ::Who 
::Brinkhoff ::Forouzan ::Quass 
::Swami ::Garlic ::294 
::Dimitra ::Narasimhalu ::Patricia 
::Kincade ::Enterprise ::Kent 
::Technology ::Sudarshan ::MINOS 
::266 ::Soloviev ::Digital 
::Concurrency ::Mostly ::Siegel 
::Optimization ::Lim ::order 
::Andries ::459 ::Vervaet 
::Obrst ::Hellerstein ::Yates 
::Conceptual ::Characteristics ::Kerry 
::Useful ::Eaglestone ::PREDATOR 
::Extraction ::Strssler ::Ron 
::Klaus ::Tallot ::Heiler 
::Multiattribute ::DB2 ::Hanson 
::68 ::Amherst ::Gadia 
::Cooperation ::Marvin ::Infomaster 
::Ohori ::Zarka ::Kao 
::Max ::Garlic ::Jukic 
::Marvin ::SAP ::Previews 
::194 ::Complex ::McAuliffe 
::Zloof ::Don ::Rabinovich 
::Primitive ::416 ::Hierarchical 
::Anderson ::Ado ::Rastogi 
::Asgarian ::567 ::Hearst 
::Joosten ::Group ::Buff 
::ITASCA ::Air ::USL 
::Mattos ::CoopWARE ::Wilner 
::Sethi ::Ling ::Madhu 
::419 ::Earl ::Hide 
::IM ::224 ::Printezis 
::It ::Petterson ::Burger 
::Arthur ::Colin ::350 
::Distributor ::Yasushi ::Janus 
::EXODUS ::Self ::Semantics 
::88 ::Riekert ::Stole 
::Gerard ::Miguel ::Beat 
::Converting ::Dekeyser ::Quest 
::Douglas ::Frameworks ::Stenoien 
::Range ::Cart ::et 
::Execution ::Goyal ::306 
::Constraint ::Franklin ::Kerschberg 
::Expected ::26 ::Yih 
::Aiken ::OGDI ::Display 
::Specification ::Fong ::Zat 
::542 ::Cluet ::Its 
::Suckow ::Earl ::Garlic 
::Didier ::Mahboob ::Blanken 
::Objectives ::Flokstra ::522 
::SEMCOG ::88 ::Franklin 
::Melvin ::Rene ::Buffering 
::S3 ::Behavior ::Leo 
::Sullivan ::Young ::Bing 
::Gultekin ::End ::Meaning 
::about ::Rmy ::Kerry 
::K ::Decompositions ::EXODUS 
::Thor ::148 ::IMPRESS 
::Gultekin ::Hung ::Sidell 
::159 ::William ::Expensive 
::Mason ::Estimation ::Weikum 
::Soo ::24 ::Forms 
::Buneman ::Devolution ::Leonid 
::Remzi ::Language ::Complex 
::Extensible ::144 ::Pratap 
::339 ::Soloviev ::171 
::Jessie ::Nado ::Jrg 
::Institute ::Cvetanovic ::Kwei 
::82 ::Investigation ::Loops 
::Preliminary ::Nested ::Event 
::Read ::Burrows ::Lim 
::Kooi ::Alternative ::Selinger 
::Technology ::Left ::Datalog 
::Heterogeneous ::Editor ::Carey 
::Delobel ::Combining ::AI 
::321 ::Unified ::365 
::T ::Gupta ::Zeleznikow 
::Sudarshan ::242 ::Ling 
::Koperski ::Mauricio ::458 
::Rebuilds ::Gerald ::369 
::521 ::IM ::DDT 
::Concerning ::Jennifer ::128 
::Abdelsalam ::Tolerance ::Bushy 
::Muntz ::Geophysical ::EDUCE 
::Placement ::Zirm ::Franz 
::Teorey ::Mechanism ::Tradeoffs 
::Balancing ::Maxine ::Muth 
::Traversal ::Stonebraker ::Prasad 
::430 ::TSQL2 ::Engineering 
::Tsotras ::Abraham ::Multiattribute 
::Trueblood ::Kerry ::Marian 
::Dan ::Wrttemberg ::143 
::Experiments ::Jignesh ::Line 
::Colin ::Witold ::Pierangela 
::Griffin ::Versus ::Z 
::Kooi ::Etheredge ::DBSim 
::Simmen ::245 ::Bibliography 
::ARCS ::Visual ::NSF 
::53 ::Queensland ::Stenoien 
::Introduction ::Cheap ::Soumitra 
::Consens ::BUSINESS ::Johnson 
::Sten ::Tokens ::Complete 
::286 ::Real ::Low 
::Partitioning ::Shane ::Burrows 
::Chou ::Rahm ::Norrie 
::Improve ::zden ::Among 
::Placement ::Hayama ::Jaewoo 
::Wechsler ::Dayns ::Passing 
::Cheng ::Databases ::on 
::Kiernan ::Alfonso ::Model 
::Annotating ::Load ::Gelernter 
::Georges ::Flokstra ::53 
::Anupam ::Kieling ::484 
::T ::Shrira ::Hasanat 
::Selinger ::265 ::Class 
::Nematollaah ::Cem ::Some 
::492 ::Kieling ::Ee 
::154 ::Allan ::Doherty 
::145 ::Matthias ::Engineering 
::al ::Leonardo ::337 
::Beyond ::Laurent ::Scaleable 
::Strengthen ::Hadzilacos ::405 
::178 ::Mult ::ARIES 
::View ::Rosana ::Dimensional 
::Logic ::SEMCOG ::Integrity 
::215 ::Load ::Estimation 
::Porter ::27 ::Modification 
::Properties ::Hirata ::Case 
::Leung ::134 ::Discs 
::Evaluate ::Chinya ::Max 
::Reordering ::Fragments ::Desktop 
::462 ::Flat ::Zhao 
::Meral ::Temporal ::Gad 
::Walt ::Luo ::Cubes 
::Hung ::ObjectStore ::Don 
::Sandeep ::Consumer ::350 
::Michel ::Search ::Selectivity 
::377 ::DBSim ::503 
::Value ::Valery ::Mohamed 
::from ::Doo ::ADBMS 
::Waqar ::Rupawalla ::Ieong 
::Stefan ::Rafanelli ::Yasushi 
::Definition ::Vander ::UIS 
::Antonia ::Clements ::Rona 
::Hung ::Prakash ::Disjunctions 
::66 ::Placement ::Pletch 
::381 ::X ::Chou 
::Ashish ::Join ::Alphanumeric 
::Guozhu ::Lamersdorf ::Incomplete 
::Jeff ::Basket ::Inderpal 
::Bestavros ::Modules ::be 
::Tallot ::Berchtold ::Hoc 
::Omran ::Moshe ::Tomlinson 
::492 ::Fetches ::Reconciliation 
::Ceri ::Lineare ::Missing 
::database ::Wilner ::Jakobisiak 
::Tomasic ::Mauricio ::Confluence 
::Flaws ::Protocol ::Cvetanovic 
::Capabilities ::Revisiting ::Simillion 
::84 ::Popova ::Kazuhiko 
::Rafanelli ::Trade ::Procedures 
::Oliver ::There ::Systems 
::Integrated ::Alain ::Lum 
::539 ::Halici ::Rolker 
::Christmas ::RDBMS ::Magic 
::Ra ::458 ::Gio 
::Resnick ::Platforms ::On 
::Benny ::Unix ::Loading 
::Computers ::Types ::Shamkant 
::Refresh ::Deadlock ::Federated 
::Patricia ::CICS ::Balancing 
::Tables ::512 ::Documents 
::153 ::275 ::Approach 
::Relationships ::Anupam ::Beyer 
::Predicate ::549 ::253 
::Role ::Internal ::517 
::Brazilian ::Connection ::Christine 
::136 ::Partitioning ::Domain 
::Krishnamurthy ::Jonsson ::Sakahara 
::Guido ::Globally ::Ralf 
::Christophe ::Modification ::Sylvia 
::Establishing ::Accessing ::Forms 
::structured ::Scalability ::Abstract 
::Rosneblatt ::Finite ::Melmom 
::Restrictions ::Morpain ::DeeDS 
::Testbed ::Monitoring ::Selinger 
::Haenni ::Partial ::Relationship 
::Anindya ::Free ::fu 
::Itemset ::Selinger ::Andrea 
::Achyutuni ::Placement ::Nancy 
::Kam ::Safe ::Deshpande 
::Andrea ::Lougenia ::70 
::560 ::Ko ::Gardels 
::Change ::Zurich ::Adding 
::FaceKit ::Chaudhary ::Lipeck 
::Finite ::Sundaresan ::Presentation 
::Christmas ::RISC ::Moss 
::Nolan ::Wiest ::Souder 
::Avoid ::Franklin ::Kiyoki 
::Antonia ::Agents ::Mariano 
::SONAR ::Kumar ::Haas 
::Hide ::Implementation ::125 
::580 ::Notions ::the 
::Anant ::Selectivity ::Enhancing 
::Jun ::Agenda ::Jianwen 
::Sivasankaran ::Status ::Guidelines 
::Jorge ::Lodge ::Management 
::Quickly ::Buchmann ::Anderson 
::Strategies ::Must ::Cox 
::Hong ::Sycara ::51 
::Detection ::Text ::Set 
::442 ::Thyssens ::Kucera 
::WORM ::220 ::1999 
::Melton ::Yu ::Hian 
::Naacke ::423 ::Jajodia 
::Hector ::Interface ::Davidson 
::70 ::529 ::Narasimhalu 
::Beng ::490 ::Garbage 
::Organization ::Jos ::Markos 
::Sakti ::Sena ::US 
::Paton ::re ::Annotating 
::Jessie ::Inge ::ODE 
::Abdelsalam ::Existing ::Dimensional 
::Vardi ::Anonymous ::Academic 
::Walker ::Wendy ::Partition 
::Aloysius ::Hans ::Derived 
::Maheshwari ::Burger ::Waheed 
::Universal ::Wilson ::Wesley 
::508 ::ITRI ::Kitsuregawa 
::Infering ::Domains ::538 
::Pages ::Wrttemberg ::Cai 
::Niki ::with ::ConceptBase 
::Newmann ::Hoc ::Despina 
::109 ::One ::Gary 
::Warren ::language ::Graphs 
::Annie ::Relations ::Digital 
::Flip ::Kyoji ::Quasi 
::an ::Erbe ::Tova 
::Yang ::144 ::Kocharekar 
::Shenoy ::BUCKY ::Franz 
::Multi ::Kupiec ::Murphy 
::Gupta ::Rosenthal ::Effelsberg 
::324 ::Dieter ::Replicated 
::Swift ::Prakash ::Performance 
::Analyti ::Wildcards ::IDEA 
::RISC ::High ::Analysis 
::Attribute ::ISS ::163 
::Form ::Reconstructed ::Mema 
::Vinek ::Delisle ::Note 
::Xiangyu ::Systems ::405 
::567 ::Zwilling ::Xiaoyang 
::Actions ::272 ::414 
::Houtsma ::69 ::246 
::Trees ::Ghassan ::Adaptive 
::Keith ::Type ::QuickStore 
::Hawthorn ::Korn ::OODB 
::Shu ::Jacek ::Jon 
::Ronald ::Chakravarthy ::Augusto 
::Donko ::359 ::Moore 
::Sequences ::offs ::Architecture 
::Li ::Sarda ::Mamou 
::Brian ::Diagram ::Mathematical 
::Brown ::Paton ::Daniels 
::Michele ::Nimrod ::Refresh 
::Challenges ::Breaking ::Trueblood 
::Stefan ::Patrick ::Rao 
::Siegel ::Daniels ::360 
::Cluet ::268 ::Ozcan 
::Kwei ::Reasoning ::Kuo 
::Heterogeneous ::Dietterich ::Christmas 
::121 ::Going ::Chawathe 
::Nita ::GIS ::Ingres 
::33 ::OOPSLA ::WORM 
::450 ::Diagram ::Goldfine 
::USD ::2 ::Dr 
::Tertiary ::Gunter ::Repositories 
::Trusted ::Alain ::Agigdor 
::Marcel ::Indices ::Anonymous 
::Integrity ::Schlageter ::Gary 
::Hampapur ::Manola ::Been 
::Viswanath ::517 ::Avoid 
::Klusch ::site ::Steinbrunn 
::Metrics ::Mapping ::Object 
::571 ::242 ::Papazoglou 
