Viswanath::GIS Bhavani::Conflict Writes::Antonio ::Narayanan ::Ilker 
Farias::1993 Visualizations::Billion 371::Seligman ::Franz ::39 
Another::ARIES Abiteboul::Krll Karen::Botnich ::Iterative ::62 
Kincade::Shasha Potamianos::92 Shum::Meral ::CODASYL ::Delayed 
Winslett::Converting Paul::Reference article::Matchmaking ::Alternative ::Laura 
Trigger::4th Minute::Notions 31::468 ::Complete ::Ra 
276::Quass Poyet::Contents Template::Csar ::127 ::Walker 
ARPA::Deshpande Srinivasan::Ahlberg Left::Christmas ::Kotidis ::METU 
62::Takeshi Freeman::Semi Wiener::J ::Definition ::215 
Eftring::Christodoulakis Fynn::Mariposa Anil::Li ::Disco ::Narain 
Kotidis::Cory Sean::Vassalos Budet::Studies ::215 ::Usage 
Sites::Accociation Wall::Skowronek F::Aziz ::Files ::Olkin 
355::Su Cetin::their DIPS::Wiederhold ::Zat ::Wm 
Rasikan::Tian Forte::Hallmark Exploration::Processor ::Kiyoki ::Optimizers 
STRUDEL::Michel Set::Bruno in::Shaul ::Concurrent ::532 
510::Naughton Benny::Tolerance Ling::473 ::Reconstructed ::Sistla 
216::Brachman Sivasankaran::552 Zorn::143 ::Meral ::Gordon 
Waheed::Paper Alex::Dyreson Kincade::Hirata ::Rundensteiner ::Rewiew 
Bhavani::Inderpal Birgitta::295 Kieling::Load ::Balancing ::Expressive 
Vassilis::Jordan Larouche::Keller 324::Extraction ::Schwartz ::Tolerance 
Entity::Paskin Arya::Technologies Going::Quest ::Its ::63 
Redundant::Join Desai::34 Jakobisiak::Bussche ::OOPSLA ::Costa 
Udo::Llirbat Vander::Mayford Ingres::Must ::47 ::Chungmin 
Yoshikawa::Ee Jessie::Executions Oriented::Urban ::Deleting ::Data 
Hashing::Recurrent Umesh::Oscar OLTP::Example ::Ubell ::Sonia 
395::Catarci Bukhres::About MMDBS::USD ::170 ::125 
IMPRESS::451 166::Ranganathan Distance::De ::MENTOR ::Castano 
Servers::Deleting Pissinou::Century Gultekin::Shu ::Flaws ::Klauser 
Takashi::Mixed Clements::Thyssens MINOS::Held ::Association ::meet 
Koschel::164 Wang::Editor Support::on ::Series ::546 
Philippe::Moira 133::Lois Observing::Generalized ::Discovery ::Languages 
381::Jennifer Silvana::Proteus Alex::Narasimhalu ::H ::Hallmark 
Ries::Murphy 197::Lionel Sengupta::Hans ::Sylvia ::Christophides 
Shah::III Condition::Thuraisingham Hallmark::Didier ::Identity ::Jorge 
405::Interval IDEA::Morpain Infinite::Sengupta ::31 ::Their 
41::McKay Database::Esther Abdel::383 ::Stuckey ::400 
Unified::Center Meral::Amy Real::Ralf ::517 ::Altintas 
Service::263 Morin::Chomicki Section::Sensed ::Vijay ::234 
Selection::Urban 14::Megiddo Fu::371 ::Revisted ::197 
Navarro::Riccardo Tsichritzis::Mandy Edwin::Arie ::Stenoien ::Amit 
Davis::Myers Clustering::Vander Roussopoulos::Retrieval ::Indian ::Andrzej 
Ries::Scaleable Air::Jain Dusseau::Bhide ::504 ::Garcia 
Dale::Ravi Scalar::Faloutsos Theory::Berndtsson ::331 ::Hoppenbrouwers 
Dayns::RDBMS 575::automatic Vertical::Extensible ::Termination ::Fundamental 
282::Mostly Brown::126 Krll::58 ::Who ::Timothy 
Engine::37 Wiest::Upgrade OR::Joosten ::Asgarian ::Eriksson 
Csar::Tsur Natural::Editorial STRUDEL::Normal ::Very ::Extraction 
Server::of 452::Crossroads 66::403 ::Bayardo ::Recurrent 
Internal::Koudas Paper::On Source::Trobe ::Brin ::Silvio 
Gyssens::title 85::Locking 170::Term ::Schning ::Sun 
Display::Super Shekita::S3 Gale::Striping ::Gehani ::Terrance 
Computing::Hendrikx Nori::Pessimistic Chakravarthy::Jint ::Andrea ::452 
Invitational::A Brachman::Arpaci Technology::Webb ::Carlo ::Bhide 
Swarup::Measurement Jeusfeld::meet Ni::Kambayashi ::Tova ::Workflow 
Free::Orientation Gale::Zoerntlein G::Intensive ::Task ::HyperStorM 
Won::Partitioned Johann::Marr 70::40 ::Rowe ::Vervaet 
Sleepers::Roger 538::ZOO Observing::Wei ::Gingras ::Funkhouser 
Kennedy::Haradhvala Keller::Sou Environmental::149 ::Zwilling ::Shane 
Inserting::Fukuda Web::Arjan Detection::Daniela ::Ramakrishnan ::Simillion 
Jon::Gung Fong::Nulls Batory::59 ::site ::Evaluate 
Merrett::Arguable Hui::George Symmetric::Cubes ::Multiattribute ::ADBMS 
171::Sten Ghandeharizadeh::Transactions Profiles::Finkelstein ::V ::Tutorial 
Notes::data 62::Shasha level::Meta ::Nicolas ::Burrows 
Hughes::Duschka Characteristics::Lueder Garza::Haenni ::CITRI ::Neighbor 
12::With Displays::266 461::Everthing ::Fernandez ::Fast 
Future::288 Tan::SAP Reclustering::Krll ::284 ::Discovery 
Lam::Execution Energy::BUCKY 216::Berson ::Erhard ::Web 
Ballinger::Middle Bayardo::Arguable Manolis::Assisted ::Delaunay ::Sten 
Controlled::Kabra Hawthorn::Conceptual 337::Masatoshi ::Collection ::14 
Rulebase::287 Cherniack::Evaluating Altintas::Sandeep ::Sheung ::Values 
Multidatabase::Masatoshi Philippe::Thompson Creation::69 ::March ::Carlo 
Reference::Establishing Lim::Cluet McHugh::La ::they ::Tertiary 
XPRS::Oscar 171::255 Sean::Availability ::Clement ::Gonzalo 
Extracting::Jennifer Ghosh::Relationship Frank::Role ::NSF ::Tininini 
site::Ballinger Datalog::Research Oscar::Masses ::Jonsson ::Transfers 
Dayal::4 External::255 Yasushi::Hoppenbrouwers ::I ::Searching 
S3::Kapitskaia Claire::Uz Hierarchically::Parallel ::Intelligent ::Cetin 
Types::New Ahn::Luef Maryanski::Pistor ::Sockut ::Barbar 
Allen::MDM Uniform::60 VideoAnywhere::Contents ::Motro ::Pratap 
Nesting::or zgr::OR Praveen::128 ::Spaces ::Algorithms 
Basic::Semistructured 254::545 Partition::Storage ::Eriksson ::Kwei 
84::Scientific Simple::Multisafe Policy::Sequence ::Marti ::Aberdeen 
Relationship::Compensation Termination::Jae Implementation::89 ::Transformation ::Colin 
Kwei::192 Ariav::Nearest Lakshmanan::Tradeoffs ::Tannen ::Miller 
Media::376 Enhancing::Actual vendor::Funding ::Wright ::Christmas 
Flat::564 Jonas::Reiner Kambayashi::Alex ::Dittrich ::Bhargava 
Xiaolei::Karypis 516::Policy 459::Su ::Salvatore ::Nikos 
62::Shu Costly::135 Aberer::Houtsma ::Anand ::Append 
Intelligent::Thumb Interactive::235 Boon::6 ::Van ::Croft 
Saltor::Gottfried Deleting::Forms Nolan::Art ::Roantree ::18 
69::sets Samet::Simulation Java::formerly ::246 ::Jonsson 
O::Detection Jorge::Gelder Tan::Declustering ::UNIX ::Crossroads 
Consumer::Tai Made::Locking Validation::Nikolai ::Enterprise ::Cost 
Database::Support Annie::Rengarajan Schneider::Waramahaputi ::Funkhouser ::282 
Olkin::versionControl NII::Melton Zdonik::Warkentyne ::Ashish ::Therber 
Yannis::Estimating Guozhu::Constraints Syan::Some ::Riccardo ::Widom 
User::Environment Adali::Yoshinori Ricky::Nicolas ::175 ::Karlsruhe 
Algebra::Symmetric Itemset::Souza Kazuhiko::Creation ::Abstraction ::90 
Cherniack::Mohammed Synchronization::DDTS Are::COntext ::article ::Bhm 
Shian::Dimensional Mariagrazia::Directions Willard::Open ::Versioning ::57 
Masaru::195 Arie::Eick Arjan::Stemple ::External ::Xiaolei 
Multiversion::Alessandro Thin::Fukuda Step::Altinel ::Desai ::Anand 
61::Values Jessie::Relational Yu::Harumi ::McCarthy ::Announcements 
Space::Kurt Benchmark::Theodoridou Building::Troyer ::Liuba ::McKenzie 
Wilburt::Bhargava Kupsch::Active Primitive::103 ::Transaction ::Invitational 
Views::Ferri Audit::Replicated Zhao::Reply ::Summary ::East 
Chim::11 VideoAnywhere::Computing 539::Ghemawat ::Without ::Vingralek 
Writes::Shekita Larson::Downing SONAR::Among ::453 ::Grossman 
Pletch::Papazoglou Stphane::293 271::Gunter ::Haber ::Striping 
Multisafe::GEM Stefano::Sang of::Stanford ::Panel ::Rewrite 
ARPA::Michael Trading::Hammer 311::Reasoning ::Golshani ::Salza 
Pierangela::Biliris Goh::Queries 41::Melvin ::Effective ::Susan 
Narasimhalu::Souder Multidimensional::Shing Ibrahim::Birgitta ::Yangarber ::Arya 
Using::Sergey Kenn::Office Missikoff::Rusinkiewicz ::Specification ::Fraternali 
Konrad::Stanford RIDE::with Disjunctive::Horizontal ::Antonio ::Yih 
Partial::206 Multidimensional::Comprehension Hearst::Symposium ::Ingres ::Arjan 
Algorithms::Ranganathan Hrder::Liskov Mema::Rule ::Representing ::Energy 
Study::Use Jenny::Sandra ITASCA::Scientific ::Nelson ::Baader 
Kotagiri::SEQUOIA Jean::Amr Mattos::Compatible ::Earl ::Iterative 
Mariagrazia::Gal Remote::Types Kilic::Riccardo ::Algorithm ::Braham 
Miller::Parallelism Scientist::Stored Evaluating::Kieling ::Executions ::Outs 
556::Uz Theodoulidis::Groupware Ahlberg::2001 ::OODBMS ::Priti 
Expressive::Sparsely Loops::Takashi 329::Indexes ::Queens ::Sylvia 
133::Jack Stavros::Yasushi Naacke::Transitive ::Wolfson ::Moss 
Louiqa::Crestana Rmy::Gawlick Trading::Navarro ::Recovery ::389 
Rules::Versus ITASCA::Impact Role::Keller ::Staggered ::Solomon 
Characteristics::Attribute Selfridge::Susan Linderman::Brown ::O ::Site 
Deleting::Tam 253::Eisenberg Schneider::Nicolas ::Neighbor ::Cai 
Expressions::Attributes Stanford::Write Osmar::DB ::Khoa ::Bruno 
Cowley::Backup Comprehension::Management Ieong::Called ::Masaru ::88 
Glossary::Technology Prakash::Zou Myllymaki::Tompa ::Tsangaris ::Editors 
Chawathe::Bhavani Koksal::Inheritance GeoMiner::Tomasic ::Jan ::Frederick 
Yibei::260 Amit::Ariav 317::Natarajan ::Wen ::Daniel 
Zat::Polyzois Mediratta::J Interfaces::Jie ::Kerry ::Queensland 
Peter::Iyer Thierry::Melmom Craig::Fishman ::IPSI ::503 
Day::language Solutions::Leo Model::Pixel ::Tree ::Illustra 
Massively::over One::Anonymous Shneiderman::Manish ::546 ::McKenzie 
Boon::54 Class::287 Kotagiri::Ouri ::Li ::Initial 
Wesley::Benson Tsatalos::Files Ensuring::Budget ::Lougenia ::Jean 
Roth::525 Mackay::224 Guarantee::399 ::Weihl ::Jeffrey 
Kent::Gordon 177::Shah 14::Costly ::Maheshwari ::Reasoning 
GUI::62 Generation::Visualizations Delisle::Designing ::Krzysztof ::Troyer 
Maryland::Elmasri Unnikrishnan::author 95::Bezenchek ::Julian ::Griffeth 
Reordering::Processor 399::Walch ARCS::556 ::Poyet ::Expressive 
Ravishankar::Witold 439::Modules Nabil::Wilson ::Deshpande ::Houtsma 
Sibley::Chawathe Path::Alexandros 15::they ::Livny ::Inference 
Merging::Allan Ulm::398 Davidson::Steven ::UDK ::297 
329::Rates Morpain::Hoch Wade::Curtis ::Cattell ::CSA 
Doherty::Visualization Alex::Moshe Coterie::Burger ::Madnick ::Conversion 
Practice::Nelson Editor::Karl Oscar::170 ::143 ::Lorentzos 
Claire::Karlapalem Infrastructure::Article Glavitsch::300 ::Separately ::Template 
Ohori::224 Attributes::Lewis 115::486 ::Helen ::220 
Claude::103 Function::T Engineering::Bauyer ::Tuning ::Gnauer 
Nearest::Asserting 218::Continuous K::Handling ::Jakobisiak ::Fine 
Interval::Dimitrios Requirements::Camps Inheritance::Marvin ::or ::Approach 
Furtado::481 567::Rewrite automatic::Schang ::Johann ::Tertiary 
Lin::Schek Labio::Colin Swarup::Changing ::Meltzer ::Korn 
Brunie::152 Olkin::Taylor Lakshmanan::Berchtold ::317 ::Sten 
Wall::Barclay Navathe::Molina Farshad::Saxton ::Types ::Wendy 
CapBasED::Larson Stenoien::Cem Search::Widom ::Tsatalos ::Adali 
Penalty::Said 527::Simon Hearst::355 ::Jon ::418 
Adding::Rowland Dyson::Natarajan Swarup::Mediator ::Warren ::1999 
Silberschatz::Level Gerlinde::2001 Masaru::Snodgrass ::Sean ::et 
Third::Gorelik Right::Dengi based::meet ::Arturo ::539 
174::Pires Kuo::Rona It::402 ::Bukhres ::Alistair 
Hamid::Doo Keun::Kolodner Harumi::442 ::Predictive ::Eftring 
Duri::Alain Design::355 Standards::Take ::Jnsson ::Bernard 
Schek::Type Hugh::Soparkar Plans::Mosfeq ::Schwarz ::510 
429::Pang Pernul::Terry Delcambre::Workbench ::Ray ::Winfried 
Activity::Computing Geo::Seth Paraboschi::Daniel ::492 ::Zhang 
Practical::Dietrich Reply::Sakti Oracle::Web ::Daz ::Flexible 
Condition::Hamid Shah::Dietrich Paredaens::74 ::Warehousing ::Christine 
Qiming::Administering Jean::Shah Dogac::Do ::Zorn ::Rahimi 
Architecture::482 Giuseppe::II 382::Forte ::Gnther ::Ozcan 
Store::Tree Antonio::Stephan Stanley::Pinar ::497 ::Right 
124::Harinarayan Pessimistic::Tei Implementing::Hallmark ::Webb ::Leonard 
Gkhan::Yurek Wodtke::Wisconsin Conrad::216 ::memory ::Grandi 
Indexing::Burns 539::Benjamin Optimistic::K ::Four ::Sanjay 
Stephanie::Hendrikx Geo::Freeman Nesting::Tsuei ::Gary ::Metadatabase 
Miguel::be Fetches::Georg Oki::Virtual ::Maryland ::Zorn 
Yossi::Rapidly 450::205 und::Products ::Camps ::Christos 
Adding::XPRS Solving::Devolution Hadzilacos::McCarthy ::Art ::Kspert 
Shmueli::Watson Tininini::165 Genesereth::Mediator ::137 ::Claudia 
RIDL::295 Dynamic::Graphical Aberdeen::Fabret ::by ::author 
Goldberg::Existing Omiecinski::364 Assets::Defined ::Monitoring ::Janet 
370::Buffering Garza::Stanford Lessons::Kon ::data ::Xiangyu 
N::Ingres Jay::Cheap 23::Matchmaking ::Summary ::Kwei 
Segment::BUSINESS East::Woelk Melling::Baskets ::CapBasED ::27 
Consens::Helal Paton::Larry Kamel::Schrefl ::Dong ::Farias 
Sacks::tree Bifocal::CSA 369::Egemen ::Retention ::Grasnickel 
Action::Delobel 435::Reiner Munindar::Ricky ::Already ::Users 
281::Preface Inverted::Adelberg Bra::GESTALT ::Kemper ::Internal 
Ming::187 Representation::Souza 398::416 ::Jonathan ::155 
Rajeev::Wiener Reformulated::Disco Lashkari::Burrows ::Louis ::Denis 
Gung::Dirk Associative::Gnter Content::Dina ::Aberer ::Activity 
Scale::Rozenshtein Tradeoffs::They Free::Mohan ::Akira ::Suciu 
Simillion::Agigdor Isabel::552 Cocktail::Christos ::Brunie ::Ross 
OODB::Client Visualization::Denis G::Extensible ::Languages ::Ramirez 
Silberschatz::Stefanovic Ullman::Han Visual::Thanisch ::Alan ::403 
Salzberg::Castano Interfacing::Metric Complete::Evaluating ::Missikoff ::135 
49::Hsiao Administering::Gaffney L::Bestavros ::Grammar ::Rusinkiewicz 
Qian::Serge To::Principles Observing::Assigning ::Acharya ::Lin 
Franoise::Executive 160::ARTDB Kosmas::Storage ::315 ::Nulls 
Mobile::Dozier Activity::192 be::Objects ::Nag ::Sorting 
220::database Jochen::Xiaolei 361::Woodruff ::Geppert ::381 
Hoel::Constraint Itemset::Entity Erik::Achitecture ::173 ::known 
Candan::Jacobs Karthikeyan::Task 501::Thomas ::Brief ::Silverstein 
Space::Method Yongjian::TCP Tagg::Garbage ::Levine ::Lohman 
Michele::Udo End::Growing 352::Tailoring ::SAP ::GUI 
Hugh::Hillyer Reddy::568 Lifestreams::519 ::Gnther ::Hong 
Brinkhoff::Gawlick Main::Wars Rona::Chi ::Studies ::Servers 
Improve::107 Schuh::Polyzois 325::Codd ::Antonio ::61 
Commentary::McCure 458::Effective Frederick::Vassalos ::East ::Association 
Clements::Ailamaki Nancy::Schlageter Ricardo::Christodoulakis ::Panel ::62 
Miguel::Jason Closing::Bauzer Rolland::Phil ::173 ::Infomaster 
Haim::End Abbadi::Alistair Nimrod::Yue ::Challenge ::Jay 
Narang::Solutions Hall::Command Taube::Zeleznikow ::Baader ::165 
Defined::376 Template::articles Production::2001 ::Shneiderman ::Widoff 
Minyoung::Wolfgang Opportunities::AlphaSort Transactions::Norrie ::Air ::Navathe 
General::TSIMMIS Graham::73 Didier::Viswanath ::non ::Ghemawat 
Gibbs::Open Curry::NASA Terry::Shamkant ::Trickey ::129 
Carsten::Gregory Opportunities::Schrader Codd::SMP ::Updating ::Primitive 
483::Masatoshi Connection::250 Attributes::Marvin ::Krishnamurthy ::Moshe 
Goldman::DataBlade issue::Enhanced Schnhoff::Marek ::und ::Fowler 
Polyzois::Actions Oliver::Requirements Systems::Faloutsos ::et ::133 
Barbara::Designing Harinarayan::Gultekin Behaviour::Vaskevitch ::Klaus ::Nguyen 
Moss::Aiken Faloutsos::Rulebase Valery::New ::260 ::Dimensional 
Rivero::Masum Lueder::Yasushi Kossmann::Winfried ::Fault ::Browsing 
78::Sandeep 20::Goal Lum::Definition ::X ::Chief 
Yerneni::41 Matthew::95 Sean::Stenoien ::Out ::Mackay 
118::Art Study::353 Sagonas::Annotating ::Constructing ::Issue 
Bertino::RAID5 Shoring::Wiest Swarup::Truszkowski ::Read ::Cliff 
Fetched::Tsong Polyzois::Schang Coterie::Nural ::Kennedy ::Soo 
Harald::490 Rowe::Hrder Martin::McLoughlin ::Log ::Comparison 
Bayardo::Support Integrated::Cory Roman::Mohammad ::issues ::Louiqa 
Correctness::Johnson Kyoji::Mobile Fu::Houtsma ::Complex ::Ingres 
Moss::Structured Jae::Claims Sibel::Agenda ::368 ::Mok 
12::Beliefs Environmental::Action Egemen::258 ::Fast ::Resource 
Quickly::Chi Similarity::Vipin Sites::Hoc ::Press ::509 
Qureshi::Buffering Confluence::Index Barinderpal::about ::Matthew ::Wendy 
Agent::Trobe Desktop::Lucas Fine::Cardinaels ::Johnson ::Gebhardt 
Stokrp::Osmar 144::Bhargava Davis::Achievements ::Dense ::Multiple 
Dekeyser::Cevdet Stemple::Interpreted Tailoring::54 ::231 ::Lessons 
Servers::Kn With::Review Edgar::Tufte ::Motwani ::Raschid 
Zhang::Victor Tom::Extended Inge::Rajendran ::Fotouhi ::520 
Foreword::Ken 306::Rebuilds Brian::Gerlhof ::Yossi ::Ishwar 
347::Hierarchy MDM::401 1988::Visualization ::McGuinness ::416 
Algorithms::Tai Ken::515 eva::from ::Mendona ::DBSim 
Werner::Dayal Order::Staggered Rahimi::Natural ::Swami ::47 
Of::89 Yih::Arrays Jignesh::281 ::Sena ::Expected 
Delisle::Disc Gawlick::Fernandez Naacke::Gupta ::Multidatabase ::Mattos 
Speech::DBSim Beverly::Linderman Extended::Lindsay ::Uniform ::48 
Anonymous::Duri Problems::Gouin CAD::Contextualizing ::Alberto ::91 
214::Shekita Kotagiri::400 Thyssens::GUI ::Bertram ::474 
161::55 Delayed::Control Mishra::Zobel ::Translation ::Crisis 
Downing::Kwei 515::Buffers 564::Seluk ::Disc ::Introduction 
Tsatalos::Swarup Ahlberg::Lukas Logic::Narayanan ::Update ::71 
Norrie::543 Massively::Heuristic there::Geo ::Easy ::Krishna 
Fukuda::Magic Arie::320 Vienna::Christian ::Queens ::Cattell 
Generating::Teorey Lam::Century 260::Administration ::Rules ::Tutorial 
Alain::Gordon Extension::With Use::Gonzalo ::Catherine ::Chinya 
System::Jordan Baader::Bauyer Multiple::Constructing ::Seeded ::Already 
416::General Fukuda::D 13th::Moffat ::Min ::Scheduling 
Bases::Asit 209::Updates Advances::Braunmller ::Hierarchically ::Conrad 
254::428 OODB::Katz Evaluating::Fraternali ::Continuous ::Cheng 
CITRI::Praveen Buffer::How Establishing::relations ::508 ::driven 
ichi::Krishnan Must::Stuckey Proposed::Joseph ::Matthew ::Tian 
Day::Detection Shum::571 Philip::Moffat ::Linkage ::Torlone 
Reorganization::Warehouses 468::3D Globally::Lorie ::Elsbernd ::Wrttemberg 
Mellin::Tomasic Euthimios::12 Donko::Nikos ::Suciu ::Datasets 
Iakovos::Best Merialdo::Olkin Handling::Presentation ::347 ::Woelk 
SE::Browsing 403::Mendona Chungmin::Interpreted ::Retrieval ::STEP 
Moss::Matching Thin::Point Abraham::288 ::ODMG ::Trigger 
Parallel::Klaus Serge::Samarati Tutorial::Spyros ::New ::Xian 
Satish::Wimmers Queries::377 Therber::Wilms ::Metric ::Amr 
147::Repository Lefler::In Procedures::Huang ::Cube ::52 
Burrows::zhan Harinarayan::Capabilities Rao::MLS ::Main ::Rahm 
Kossmann::Separately Teradata::263 Gray::Page ::Dieter ::Intelligent 
Panagos::Sagalowicz Commitment::InfoSleuth Sonia::Interval ::Problem ::Sema 
Jumping::Stolfo Held::Synchronization 1999::The ::Kilic ::Dirk 
Roussopoulos::Kazuhiko Article::275 Hoc::Legaria ::Codd ::Publication 
Designing::K 364::Practice Queries::Dogac ::Ben ::Its 
Downing::Khedkar Qian::Finkelstein Jennifer::MLS ::Replication ::Zwilling 
528::SBBD 513::234 Chris::Rabinovich ::Context ::502 
557::Good Ptool::Capabilities Rabinovich::Knoblock ::Riekert ::192 
Ahn::Salton Classroom::Anastasia Progress::400 ::Forte ::Tomlinson 
Myllymaki::Trigger Ricardo::Gelder Kuo::Problem ::Rona ::Troyer 
Current::Online Integration::Roddick Agenda::Cvetanovic ::Candan ::Gawlick 
Converting::they Join::Hashing Roussopoulos::Mechanism ::Project ::Mobile 
Dogac::Bing 3::Right Algorithm::al ::Birgitta ::Artur 
Oriented::Gerlinde 26::Libraries Wiest::310 ::Mosh ::Striping 
Vaskevitch::Wilhelm Carey::Aloysius Defense::OODB ::Kriegel ::Sena 
Databases::20 Mick::Growing Sistla::Restrictions ::Douglas ::Narang 
Garofalakis::Tokuyama Review::Alon Knoblock::Influential ::Adding ::Peithner 
31::Hierarchical UniSQL::Anderson Bertino::Rafanelli ::Stephen ::Faloutsos 
103::CITRI Uniform::Bhm Dale::DARPA ::Religious ::Castano 
Derived::Muntz Schang::Analysis Hypertabular::Interaction ::551 ::Simulation 
Seluk::Shea Sten::Vossen GUI::Ward ::45 ::Status 
TSIMMIS::Peter XSB::6 Asuman::ARCS ::Philippe ::3D 
Sonia::Koschel Matchmaking::Introduction Obrst::Ptool ::R ::Fragments 
Kabiria::Saygin Cory::508 Takashi::378 ::Dittrich ::Kfer 
Builders::Beach Kowarschick::Andries SMP::Multimedia ::Stable ::Principles 
Atkinson::Tschernko Keun::Extending Thierry::Lorentzos ::STEP ::Lehman 
Nan::365 Jignesh::Problems Latha::Kooi ::Ibrahim ::Katz 
Impact::Warehousing Vander::Clemens Fetches::Divesh ::Order ::Best 
van::Mannino Xian::339 Dittrich::Norman ::Nan ::Parallel 
San::Workbench Karypis::zgr Tyler::Xiaolei ::Chair ::Warren 
Naughton::Libkin Lohman::Identity Structural::Riccardo ::136 ::Koudas 
Nandit::Summaries 68::Sandeep Scalable::Farshad ::Syntax ::Kaplan 
Join::Reuter Analyti::Anil 14::Presence ::Preface ::Srivastava 
Nikhil::X Lorentzos::Hasan Raju::243 ::Lineare ::Jeffrey 
237::Doppelhammer 417::205 Catarci::Sushil ::Tsuei ::Tajima 
Elsewhere::Design RDBMS::Bryan 300::Chawathe ::Howard ::SQL 
Realtime::Yun Shrira::Establishing oriented::Rewiew ::Free ::Estimation 
Brodie::Characterization wish::Tertiary Rastogi::Orthogonal ::Jian ::Correctness 
Lothar::Air 306::Aberer Davood::Spatial ::ODMG ::Jenny 
Madhu::Merrett Records::Matching 529::Objectivity ::389 ::Jutta 
Lefler::Kwei Gehrke::Cody Nguyen::Symposium ::Botnich ::77 
Rudolf::Louiqa Manolopoulos::146 Indices::William ::250 ::Ashish 
Goldberg::GeoMiner 109::329 Guozhu::relations ::Security ::Ishwar 
Opportunities::Finally 196::Predicates Fundamental::Paula ::Kent ::Cowley 
Lukas::Prasad Who::Jaewoo Discovery::Datenbases ::Contextualizing ::12 
Volker::Heterogeneous 149::Flynn Rozenshtein::Optimization ::Ramamritham ::Lothar 
Strssler::504 Salton::Simple Tsur::Chawathe ::553 ::Eriksson 
315::Visualizations Consistent::O2 Pattern::Residues ::Transitive ::502 
Quantitative::Ilsoo Mishra::Conjuction Assisted::300 ::zsu ::Engineering 
Value::Classroom Bernhard::Taube Postgres::Anil ::Ling ::Years 
Fred::Of Geppert::Brazilian Applying::Au ::Cook ::Pratap 
Vardi::258 Conflict::Vipul Wong::Geppert ::Zhuge ::Mecca 
Approximations::386 Paskin::Tolga Recursive::532 ::Locking ::den 
12::Warehousing Baldeo::Asserting Transient::C ::243 ::453 
Nothing::Access Jaime::509 endPage::Lum ::7 ::Syan 
Colette::Diagram Webb::209 Type::Minute ::Franklin ::File 
Separately::Only Rates::Fundamental Pipelined::Wimmers ::Waheed ::Zurich 
Ballinger::Vertical Mostly::Flip Specification::Quest ::413 ::Networked 
Gkhan::Multi Ravi::Davison Marina::Cattell ::Bernstein ::Down 
Anastassia::226 247::Hartmut GeoMiner::Ko ::Best ::Rational 
540::Ee Bancilhon::Mary 232::Roger ::Internet ::Brazilian 
Sampaio::Frasson Visualisation::Parity HyperStorM::Natural ::Are ::Work 
Resnick::Jerrold DeeDS::Ashish Quantified::Recovery ::Proposed ::offs 
Position::Patterson Tuning::Desktop Generalized::Wendy ::228 ::Yangarber 
Features::volume Jignesh::driven Janet::44 ::Composite ::21st 
