Thor::Stokrp ::72 ::529 ::Not ::Aggregate 
Web::514 ::Materialization ::Banu ::447 ::521 
543::Staggered ::138 ::Dengi ::Dong ::Kerschberg 
Vassalos::459 ::Tam ::Kaizhong ::Without ::Ait 
Livny::Castano ::Kabiria ::Ouri ::Nikhil ::Mario 
Gadia::104 ::Gorelik ::541 ::D ::76 
Saxton::Karthikeyan ::245 ::Krishnamurthy ::Stolfo ::380 
endPage::Spyros ::557 ::Updating ::Abstract ::Values 
Mehmet::Improve ::Luc ::Press ::NET ::Tomlinson 
Guido::Left ::Final ::Applicable ::Earth ::Avoid 
Unnikrishnan::90 ::Lessons ::What ::Kotidis ::Zurek 
Cercone::Integrated ::2001 ::STanford ::Egemen ::Beach 
Problems::Compiled ::Choo ::Tian ::Log ::Wilburt 
Comparison::MQSeries ::Wisconsin ::Souder ::Prototype ::CoopWARE 
Kriegel::Industry ::Bargmeyer ::Davidson ::Influential ::Resolution 
Dewan::493 ::Melton ::Koperski ::Vossen ::280 
532::Merrett ::Database ::Doughty ::Ishwar ::85 
Definition::Closure ::Hampapur ::Rolker ::148 ::Aggregates 
Prospector::Anonymous ::Cocktail ::Loading ::Symmetric ::Colette 
Schrader::Pixel ::Tufte ::Bltzingsloewen ::Moira ::359 
Rasikan::Ins ::121 ::Capability ::Stef ::Soumitra 
Pang::Life ::Haradhvala ::Rafanelli ::Rule ::initPage 
107::Distributor ::Final ::62 ::125 ::Hypertext 
Candan::Art ::Block ::Budget ::Charles ::Jon 
281::Carter ::Malkemus ::95 ::Hot ::Taneja 
Fine::Manifesto ::OR ::Rivero ::Without ::Delaunay 
Dekeyser::Riekert ::Jayant ::ODBMS ::Naacke ::Java 
340::Grasnickel ::Mitschang ::Jan ::368 ::Antonia 
Incorporating::Altintas ::104 ::Swift ::Techniques ::Schlageter 
Editors::Ad ::Version ::File ::UDK ::ONTOS 
Visualizing::Metadatabase ::Aidong ::197 ::Yezdi ::51 
Wodtke::Policy ::101 ::Chinya ::243 ::Dynamics 
UNIX::Associative ::430 ::Dr ::Ahead ::89 
Flix::Worst ::Similarity ::Metadata ::Unruh ::R 
Base::Bestavros ::Roberto ::Correctness ::OODB ::Mogi 
Sistla::Combinatorial ::Dennis ::Elizabeth ::Jean ::32 
QuickStore::Arrays ::Salza ::Truszkowski ::35 ::MLS 
Conceptual::Helen ::Scheme ::Easy ::level ::CAD 
227::Indian ::Badrinath ::Cheng ::Pinar ::Decomposition 
Morimoto::Jianguo ::Linkage ::Hayes ::Livny ::Stable 
B::Margaret ::Paris ::282 ::Furtado ::Krishnamurthy 
Rolker::540 ::Soo ::Apparatus ::Salvatore ::Bltzingsloewen 
issue::Prasadram ::Hong ::Omiecinski ::Walker ::Christos 
Zhuge::Wolfgang ::Davidson ::Software ::Polyzois ::Ulusoy 
25::Scalable ::Hasanat ::Bryce ::Bertino ::zden 
11::Panagos ::234 ::Redundant ::446 ::Log 
Dimitrios::the ::Asit ::Jason ::ZOO ::Diagram 
Berndtsson::authors ::San ::Navin ::Windows ::Timothy 
Vaskevitch::Nothing ::Radzyminski ::Hartson ::397 ::Boral 
Quantitative::Complex ::VMS ::Betty ::Kincade ::Yue 
Balancing::Haim ::DB ::McLeod ::Bibliography ::Boral 
Converting::Site ::Wentland ::Moffat ::Katz ::Joakim 
Levy::Improve ::403 ::469 ::Christos ::Smith 
150::C ::Philippe ::NF2 ::Alon ::Rosenthal 
Roussopoulos::Simple ::Orientation ::Dataflow ::E ::Lougenia 
Ko::Haritsa ::Meaning ::Tony ::Pedagogic ::Systems 
Storage::DIPS ::Simultaneous ::USL ::Marianne ::Push 
Kotidis::Seeded ::Builders ::Alexander ::Kotagiri ::Scalable 
Unpacking::Au ::Lum ::98 ::458 ::Forouzan 
Mitchell::Gale ::Bhashyam ::Commercial ::Nenad ::GeoMiner 
Ulla::Piero ::Motakis ::Apparatus ::Towards ::Yurek 
DBLearn::Chiang ::484 ::Gang ::ITASCA ::Dhaval 
Generalizing::Miron ::ke ::254 ::275 ::Mick 
Schek::Gerald ::149 ::Novak ::Quass ::Block 
Moerkotte::Network ::Milt ::412 ::Languages ::Ada 
Akira::567 ::329 ::Sema ::508 ::Ni 
Intelligent::NF2 ::Roland ::Vaskevitch ::Salzberg ::Walker 
Loeffen::Schemas ::Rafiei ::Infinite ::Service ::Wendy 
Berchtold::Designers ::Bargmeyer ::Ghandeharizadeh ::Heuristic ::Calculus 
Unnikrishnan::Adding ::Presentation ::Erratum ::Investigation ::Kao 
Yang::Arpinar ::Takanari ::Low ::Ksiezyk ::Local 
Jukic::Sheung ::Discs ::191 ::Bohrer ::Specifications 
Configuration::Hypertabular ::Fine ::Kim ::Passing ::Flexible 
Super::Separately ::Evaluating ::Tininini ::Interfacing ::With 
Shaul::Dallan ::Aziz ::Cem ::authors ::Haenni 
Asserting::Jensen ::OGDI ::Rahimi ::540 ::Tanin 
45::ARIES ::Amateur ::East ::Kyoji ::Jaideep 
Scacchi::Qu ::Office ::419 ::Elizabeth ::Reddy 
Yerneni::Karlapalem ::65 ::Tufte ::Cocktail ::MINOS 
Gardels::Rewrite ::News ::Counting ::50 ::Review 
Koschel::Sheth ::Aidong ::Meltzer ::Myers ::136 
306::to ::SigmodRecord ::359 ::Lukas ::Zobel 
Krll::Tagg ::OGDI ::Mackert ::Stefano ::Novak 
Jochen::Tsichritzis ::Extraction ::Hector ::Morpain ::Metrics 
Prasadram::Achitecture ::Andries ::Ghosh ::Coterie ::Java 
Not::307 ::Grained ::Analyti ::Mosfeq ::Translation 
34::Meckler ::393 ::Parallelism ::Four ::Globally 
Dynamic::579 ::Predicates ::II ::Educational ::Unnikrishnan 
Su::Inapplicable ::Anindya ::Jussi ::Christopher ::Timothy 
Kristin::54 ::Baskets ::Dittrich ::Baclawski ::1951 
ichi::to ::467 ::Realizing ::Rewrite ::393 
Syntax::Mackert ::Neighbor ::Kenneth ::Partitioned ::394 
Gunter::Tobin ::Testbed ::Evolution ::Achyutuni ::Phatak 
Fernandez::Sort ::Utilizing ::Shu ::Hou ::Stoltzfus 
Art::Pena ::Genesereth ::Ralf ::Directions ::77 
Workshop::Disco ::Wang ::427 ::Wileden ::Extensible 
Khedkar::Wm ::Terry ::Mediator ::Profiles ::Marvin 
Associative::Erik ::Sengupta ::Strssler ::145 ::Vander 
Bryce::Waheed ::Behaviour ::Network ::Statistical ::Basket 
Sampling::Subrahmanian ::Troyer ::High ::Kwei ::Andries 
Box::O2 ::148 ::Some ::Stenoien ::Joosten 
Designing::218 ::Records ::Day ::EFDBS ::Random 
110::Agigdor ::Nita ::515 ::Cetin ::OR 
331::Partitioning ::Manolis ::Belinda ::Capabilities ::104 
DeMichiel::Gebhardt ::Honeyman ::Records ::Mapping ::Ariel 
Expressions::Persistence ::Widom ::221 ::Boon ::Stable 
Algebras::Parity ::Murphy ::DataBlade ::483 ::579 
Reference::Missikoff ::Pedro ::510 ::76 ::Sharing 
321::Dyson ::79 ::245 ::GESTALT ::Gang 
Concerning::Moscarini ::POSTGRES ::Nulls ::Thor ::Disco 
Actual::Simultaneous ::Has ::Grasnickel ::Illustra ::Douglas 
Berson::Dozier ::Transient ::Mackay ::Sites ::Scale 
515::H ::Multidatabases ::Adding ::During ::How 
Rebuilds::490 ::4th ::Workshop ::Arnold ::388 
Between::Dr ::Graefe ::Vassilis ::Experiences ::Spence 
Ricardo::Maxine ::572 ::Bhm ::Omiecinski ::Ford 
Ford::239 ::Pozzi ::Willie ::401 ::Unifying 
Lipeck::Qu ::Nandlal ::McCarthy ::225 ::Ralf 
Krithi::Plaisant ::Tininini ::Elmagarmid ::Scalability ::Sampaio 
Logic::Mechanism ::H ::Alperin ::Tables ::Mogi 
417::Packer ::Models ::Mohammad ::Generalizing ::Wall 
OASIS::Frdric ::QuickStore ::Sharma ::Earl ::Olkin 
Air::Site ::DB ::GIS ::Simple ::185 
Kemper::Cvetanovic ::Announcements ::Defense ::Table ::Packer 
Bergamaschi::Katz ::Susan ::Descollonges ::Delobel ::Taosong 
Use::Tjoa ::62 ::Kaizhong ::Tyler ::Kenn 
Rajendran::Phillip ::Ieong ::Workbench ::Standardization ::Independence 
ARIADNE::Hoc ::V ::Status ::Ieong ::Stonebraker 
Peter::zsu ::Overmyer ::Bill ::Tool ::Statistical 
MEDUSA::Furtado ::Open ::Egemen ::Implications ::Kurt 
Cetin::Catherine ::Sandeep ::Cherniack ::Yahiko ::Meckler 
Lanzelotte::264 ::Kocharekar ::Lori ::Heuristic ::Baader 
Phil::Ling ::Compression ::Michael ::any ::Rajendran 
Belinda::Calculus ::Scans ::Role ::Prakash ::33 
Lineare::Calculus ::221 ::Krzysztof ::0 ::Klauser 
Waramahaputi::Brodsky ::Mary ::Schek ::386 ::Text 
Answering::Wileden ::Sena ::Recovery ::Francine ::Knig 
Rex::Consumer ::UniSQL ::Yu ::Skowronek ::Cevdet 
397::Traversal ::Frameworks ::176 ::Doherty ::165 
Hara::Franoise ::First ::118 ::Eliminating ::Datenbases 
Alfonso::Industrial ::Monitoring ::Differential ::Modeling ::263 
Persistent::20 ::ZOO ::Milt ::Why ::Mauricio 
Cache::Mackert ::165 ::Warehousing ::121 ::they 
Achitecture::time ::Discovery ::Retrieval ::Effectiveness ::Brown 
Observing::Meyer ::Ioannidis ::Schek ::Transfers ::Unruh 
Paper::Simillion ::119 ::DEC ::Implication ::Skowronek 
Disco::volume ::Production ::Mattos ::230 ::Data 
164::UniSQL ::We ::Nick ::Sun ::Seth 
Optimality::Kincade ::Paraboschi ::Srivastava ::Observing ::Eliot 
Mechanism::Storage ::DDT ::Lock ::Thanisch ::Multiversion 
Kupsch::Hendrikx ::Hughes ::Editorial ::Retrospective ::Fynn 
MultiView::233 ::Gawlick ::Prakash ::Barbara ::Gregory 
Schuble::Ramanathan ::Ozcan ::Overview ::497 ::Fixing 
Xiaoyang::Growing ::Specifications ::Csar ::Claudia ::129 
Ralf::Jrg ::McCure ::25 ::Obrst ::Kn 
107::215 ::Martin ::Sakahara ::Denotational ::Dirk 
366::406 ::Lawrence ::STEP ::Christopher ::Firm 
Workshop::DBSim ::Source ::Confluence ::HweeHwa ::Ramez 
there::Performance ::38 ::Sou ::Pessimistic ::183 
Nori::Helen ::Fotouhi ::Csar ::Information ::Dataflow 
Krishna::Inegration ::Lessons ::Umesh ::Street ::Tokuyama 
Andrzej::Software ::Spyratos ::Useful ::Narain ::Introduction 
Everthing::Zarka ::Displays ::147 ::Rakesh ::Flexible 
Fong::Berchtold ::Process ::Fixing ::Carter ::498 
RDBMS::Badia ::Structural ::147 ::Gunter ::Ahn 
Activities::Meaning ::Mohammed ::Fong ::Reconstructed ::Chendong 
539::How ::de ::Stokrp ::Mecca ::Antonia 
Chairman::Very ::Meral ::Clark ::Segment ::Multidimensional 
Prasad::Chair ::Fred ::Tsichritzis ::non ::259 
297::227 ::Recursion ::Koperski ::DAFTG ::Stored 
Mendelzon::247 ::158 ::1994 ::Ashish ::Prospector 
author::161 ::Wen ::Internet ::Mirroring ::Worst 
Rahm::Grasnickel ::Ganapathi ::553 ::Mackert ::473 
Thanasis::Cubetree ::Bolour ::177 ::ke ::Budet 
Lindsay::Combinatorial ::Miguel ::Structure ::Facilities ::Yves 
Shan::Mohammed ::Z ::initPage ::known ::Takeshi 
authors::Solution ::330 ::Soparkar ::OGDI ::388 
Arpaci::CapBasED ::McIver ::Workaholics ::Hallmark ::Tolerance 
Larry::Tsichritzis ::Alfons ::Yasuhiko ::Gottfried ::21st 
Vienna::Schek ::Han ::Lukas ::Automation ::Shmueli 
DBMS::on ::35 ::Keishi ::Walter ::155 
Barclay::Schwarz ::Subrahmanian ::Multisafe ::Message ::Darrell 
McLoughlin::Truszkowski ::Yongjian ::Hall ::Notions ::Vipin 
139::Wolf ::Guest ::Vassilis ::Tailoring ::Lukas 
NET::Johann ::Terrance ::Hung ::Disco ::Generalizing 
Documents::551 ::Integrating ::US ::Cost ::Shapiro 
Multiattribute::173 ::Entity ::Complete ::Jeusfeld ::Art 
Down::Commit ::Hodges ::Wei ::69 ::Concurrency 
Spyros::347 ::Chih ::Wiener ::Isabel ::298 
Polyzois::there ::Acitivities ::131 ::Abstraction ::Implication 
NII::Mechanisms ::order ::Availability ::Methods ::350 
One::Keim ::Farshad ::72 ::Defense ::Shilpa 
Merging::UniSQL ::Simultaneous ::Pedersen ::Mumick ::323 
Workflow::Stoltzfus ::419 ::Fukuda ::Lindsay ::539 
Buff::Fundamental ::Wilner ::World ::379 ::Matchmaking 
Religious::based ::63 ::Improve ::Impact ::1990 
Shapiro::Salzberg ::Protocols ::Bushy ::Standard ::Dayns 
Controlled::zgr ::Pistor ::Piyush ::Genesereth ::Left 
Breiteneder::Memory ::Ramanathan ::Leonid ::Lindsay ::Sam 
Nyberg::429 ::51 ::Cart ::Fox ::Hoch 
Supporting::Conversion ::Duschka ::Hian ::Pedro ::Arpaci 
453::Nichols ::Documents ::Kriegel ::Bauzer ::Center 
Bennet::Nguyen ::Scheduling ::non ::Rebuilds ::Architectures 
91::ARIES ::Reply ::394 ::Hayama ::Influencing 
Hoch::Views ::Concurrent ::288 ::Salvatore ::Navarro 
Cardenas::Dynamically ::Kosch ::Local ::Anindya ::Sheth 
Metrics::McGuinness ::Kang ::35 ::Shneiderman ::Trigger 
Kosmas::Shing ::Goyal ::Termination ::Downing ::Liuba 
Query::Solutions ::Fetched ::Computers ::2001 ::Jerrold 
Recent::541 ::any ::Klug ::Ballinger ::Pirotte 
Procedures::Walch ::C ::Jensen ::25 ::230 
Transformation::Wrappers ::Xiong ::Marco ::Efficient ::Young 
Yuri::Krishnamurthy ::Nolan ::Protocol ::Hansson ::Meckler 
Optical::430 ::Wolf ::Disjunctive ::Borras ::Wildcards 
dimensional::Madnick ::Eben ::Thatte ::Convent ::Elmagarmid 
243::218 ::Rmy ::Goal ::ANSI ::Gonzalo 
Warehouse::Energy ::183 ::Problem ::Wen ::551 
Basket::Effelsberg ::Trusted ::Stonebraker ::Missikoff ::Hoel 
Kennedy::SMP ::148 ::568 ::Influential ::Internet 
Lanzelotte::297 ::Mixed ::541 ::Evolving ::Meets 
Baader::Naacke ::is ::O ::Eric ::Sibley 
73::Piyush ::Darwen ::Semantics ::Chim ::46 
Box::348 ::Josef ::Defense ::Marvin ::Scalable 
Implementation::End ::Cart ::IDEA ::Dependencies ::Rupawalla 
Treasurer::Procedures ::Hallmark ::Images ::Pat ::219 
Optimizing::Lifestreams ::Medical ::Volker ::Advances ::Profiles 
Geophysical::Andrea ::MOSAICO ::Evaluation ::129 ::Sudhir 
Action::DBMiner ::228 ::Roddick ::Deborah ::402 
Chaudhary::Piatko ::Wolf ::HG ::Challenge ::Tsur 
Amihai::Elliot ::Towsley ::312 ::Chiang ::251 
Problem::Forte ::Clustering ::McKay ::Jakobisiak ::Gunter 
Kao::Sudarshan ::Hoel ::Refresh ::549 ::Final 
Thuraisingham::Products ::Years ::John ::247 ::Zhang 
Dayns::Leonardo ::Braunmller ::trees ::Wong ::Elke 
Cai::Didier ::Luc ::446 ::Quasi ::Kambayashi 
Static::Schwartz ::Prakash ::Schemas ::Wilhelm ::Golshani 
Eliot::63 ::447 ::Products ::Jussi ::Shapiro 
Context::RAID5 ::Are ::data ::Moss ::Muth 
Annie::Jensen ::Fukuda ::Hadzilacos ::Comparison ::Schneider 
Luef::Replication ::522 ::Delisle ::Hot ::515 
485::Weihl ::Cube ::Leung ::Randy ::Blanken 
Recursive::HyperStorM ::264 ::oriented ::Derived ::No 
Hypertabular::Lu ::Arrays ::Tsichritzis ::Sharad ::Eriksson 
Sites::Stefan ::Interpreted ::Rafanelli ::459 ::Useful 
Kline::Gang ::Products ::243 ::261 ::Fagin 
Bukhres::Evolution ::Antonia ::Control ::369 ::118 
214::Xiangyu ::Cooperation ::Going ::152 ::Stanford 
Lin::Jain ::Matchmaking ::Chinya ::387 ::Kaizhong 
McClatchey::Capabilities ::405 ::Proteus ::J ::Wolfson 
129::Bryan ::Okay ::277 ::Air ::Who 
Mediratta::NET ::Historical ::Knox ::Sheldon ::Troyer 
relational::134 ::Alonso ::using ::Terms ::Extended 
33::Architecture ::Maier ::Common ::Hall ::Improve 
Therber::Truszkowski ::Bases ::Reuter ::Passing ::Mayford 
Dewan::Foreword ::Extendeing ::Explanation ::versionControl ::Pissinou 
Distributed::Maurizio ::EDUCE ::38 ::Mary ::Norio 
Doppelhammer::Anastasia ::Barnes ::Lindsay ::Resource ::Georg 
239::Partitioned ::Missikoff ::Line ::DB ::Zloof 
Orientation::Bryce ::Issues ::Brodie ::Guo ::Tokens 
513::Yehoshua ::Wiest ::583 ::GlOSS ::Scacchi 
Yves::Perry ::Ley ::Point ::Colby ::Tian 
Budget::TSIMMIS ::Zaniolo ::Vermeer ::240 ::Fetched 
Wong::Douglas ::383 ::Karlapalem ::Precise ::Online 
Kowarschick::Historical ::Rozenshtein ::Sources ::64 ::Nick 
Recursion::Marc ::Weinberger ::93 ::Recent ::266 
Paper::Internet ::Korth ::Lore ::Bauyer ::Burrows 
Duschka::Flokstra ::Radzyminski ::Are ::Sang ::Religious 
Parallelism::Metrics ::authors ::Kieling ::Versus ::Consumer 
Funding::Designers ::Linderman ::Evolving ::Giansalvatore ::Zhuge 
Zaniolo::Rolland ::Shmueli ::Remote ::offs ::Windows 
Gadi::20 ::Bryan ::Order ::Flokstra ::Metrics 
Orthogonally::PRIMA ::331 ::Buneman ::116 ::23 
Base::Nematollaah ::Wentland ::Niki ::552 ::Shasha 
Castro::400 ::Papers ::Jerrold ::Satish ::CAD 
Gerard::20 ::eva ::Starburst ::Security ::462 
Anant::Relations ::Ramachandra ::Trusted ::Strssler ::Trade 
341::Volker ::Weikum ::Semistructured ::Janus ::Matthew 
Activities::Anderson ::111 ::Klaus ::J ::Shilpa 
289::Haradhvala ::March ::Facilities ::Hugo ::Mandy 
Bjrn::Sun ::542 ::Xiong ::Replication ::based 
Jr::Hian ::Baden ::Kiyoki ::Davis ::Universal 
Multiversion::Tryfona ::OODB ::Praveen ::Jeffers ::Ley 
133::Krithi ::Ariel ::Rewrite ::Kam ::Gnauer 
Supporting::Conceptual ::Anant ::292 ::Expensive ::Au 
Victor::Delobel ::Solutions ::Stephanie ::Wendy ::7 
Programming::Ptool ::Farshad ::Nag ::Eugene ::Thuraisingham 
Ksiezyk::16 ::Tajima ::Hypothetical ::Navarro ::FZI 
Processor::Andler ::Yuping ::Jeff ::350 ::Ken 
Shrira::Sudarshan ::Knowles ::Odysseas ::Trading ::Lamersdorf 
Hussein::Tamer ::280 ::Sibel ::Effective ::Donovan 
Barber::Ronald ::80 ::468 ::Ken ::Segment 
Vervaet::Piero ::Anderson ::Lueder ::Atkinson ::Yezdi 
vendor::based ::62 ::484 ::Visualizations ::175 
Guo::Benny ::Join ::Quantitative ::Representing ::Initial 
CAD::8 ::520 ::Willis ::Universal ::Elsewhere 
Prolog::357 ::Michele ::Conversion ::Libraries ::Products 
over::Bauzer ::Arizona ::Buffer ::Tim ::382 
Improve::Bernard ::Lionel ::Baldeo ::301 ::Conceptual 
Said::Rahimi ::Activity ::Kyoji ::Joosten ::Melton 
Adaptive::275 ::Bertino ::Sten ::Asuman ::Objectivity 
Stefan::Goldberg ::Jenny ::Oliver ::509 ::POSTGRES 
Lashkari::Adya ::Qingshan ::Generating ::Kilov ::Meeting 
Effective::One ::STARTS ::Arun ::Server ::Harry 
Manifesto::HweeHwa ::Burger ::Approximations ::Viswanath ::Yue 
Chris::In ::147 ::182 ::Labio ::Breiteneder 
262::Hector ::507 ::Chakravarthy ::353 ::Knoblock 
Newmann::Dietrich ::Ramesh ::Alfons ::Model ::Elisa 
Liuba::Segment ::Curtis ::Art ::Omiecinski ::Mason 
Antonia::Schek ::RDBMS ::Semantics ::546 ::CODASYL 
Bancilhon::Specification ::Sylvia ::Tan ::Open ::Ming 
Centre::Bhargava ::Cowley ::OnLine ::Rule ::Nodine 
Platforms::Automation ::Keller ::Missing ::Himanshu ::Functional 
Gio::16 ::351 ::486 ::Capabilities ::Ensuring 
Zdonik::Stuart ::Georgakopoulos ::Spotfire ::Distributed ::Wade 
Ferri::r ::DBSim ::Jean ::Kasi ::Abdelsalam 
Eric::Salton ::Milo ::Structural ::DDTS ::Standards 
Khedkar::Ubell ::Iyer ::Ensuring ::ARIADNE ::Copeland 
Super::528 ::Victor ::Tininini ::Faloutsos ::Mixed 
REpository::Manish ::Orthogonally ::Bombay ::Pull ::1 
Zat::Workflow ::147 ::Soloviev ::Yu ::Multiattribute 
Srinivasan::Moore ::Syntax ::Useful ::Helen ::Lazowska 
Edward::Meeting ::View ::517 ::Jones ::Farshad 
Graham::Transition ::323 ::Gelernter ::315 ::Graphs 
Logical::Glavitsch ::Extensible ::512 ::Alessandro ::STEP 
Retention::Reply ::Krzysztof ::Lionel ::Participants ::124 
Burns::Compatible ::Yeung ::Weinberger ::Trading ::Cevdet 
V::fu ::Useful ::Kemper ::To ::Terranova 
We::283 ::Work ::Degradations ::DBMSs ::Fabret 
Elmagarmid::397 ::Bertino ::Replication ::Assurance ::382 
Tool::over ::Bernhard ::Non ::Behavior ::335 
title::Commit ::Funkhouser ::Simon ::Davidson ::30 
Chawathe::Seeger ::Shum ::Seligman ::Identity ::Predicates 
Maryland::Proposal ::Breunig ::Gerlhof ::Qiming ::Simulation 
ARTDB::Kent ::Windows ::234 ::Hoc ::Reedy 
Arie::Hongjun ::Gruber ::Zorn ::Moore ::Infering 
Meta::Knowledgeable ::Bengt ::Case ::Buchmann ::Erbe 
Measurement::Jacek ::Pedro ::Optimizing ::366 ::Interoperable 
Much::Bozkaya ::Issues ::Efficient ::Labio ::Tolerance 
Xiaolei::No ::Lothar ::Sparsely ::Candan ::populated 
Venky::Ozcan ::175 ::518 ::176 ::Yasushi 
Salvatore::245 ::Educational ::422 ::X ::Yongdong 
53::Detection ::Properties ::Hot ::Orenstein ::551 
Do::Garnett ::Wimmers ::Ouksel ::Stanley ::Lynn 
MDM::1951 ::Best ::ARCS ::MINOS ::Avoid 
Transactions::Pattern ::Aberer ::Postgres ::Sudhir ::Norrie 
an::Desktop ::104 ::known ::New ::Synthetic 
Ahmed::Leonid ::CODASYL ::Pirotte ::Opportunities ::Reich 
Tsatalos::SG ::Mukul ::El ::Ho ::Livny 
Classroom::Piyush ::Ulm ::Genesereth ::Thanasis ::Optimal 
Farshad::19 ::Mechanisms ::301 ::132 ::Jochen 
178::Commitment ::Profiles ::521 ::Sorting ::Klaus 
Sakahara::Malkemus ::Cammarata ::La ::Disjunction ::Hypertabular 
Frameworks::Horizontal ::Segment ::Gad ::Fundamental ::authors 
