::Rates ::Kocharekar ::Ralf ::Local 
::Decomposing ::Daniela ::Establishing ::Steinbrunn 
::Maryanski ::volume ::Soo ::Applicable 
::Bombay ::Resnick ::Constructing ::Navin 
::66 ::Nag ::Pinar ::Krll 
::VideoAnywhere ::Rowland ::Tolerance ::Written 
::Gibbons ::Berg ::TSQL2 ::Kenneth 
::Ouksel ::wish ::124 ::Stanley 
::Erich ::368 ::Prasadram ::Synthetic 
::Self ::Report ::Au ::Jefferson 
::WORM ::Managing ::T ::Aberer 
::Server ::Kooi ::Michel ::295 
::Bauyer ::Ferri ::STEP ::Zhuge 
::4th ::Hian ::Bancilhon ::Obrst 
::MMDBS ::Sure ::Zhao ::Hector 
::Luther ::Editorial ::42 ::Specification 
::Hypertext ::124 ::Ahead ::Wiener 
::481 ::Arnon ::Braunmller ::SAP 
::US ::Lists ::54 ::76 
::Kwei ::Full ::Kamel ::293 
::Converting ::Evolution ::Shea ::312 
::Jeff ::MINOS ::Reduction ::Realizing 
::Dengi ::technology ::article ::Wisconsin 
::Sivasankaran ::Erbe ::Indexing ::Watson 
::Panagos ::Elke ::Pat ::Leonardo 
::ARIADNE ::Tian ::Multi ::Take 
::Behavior ::McKenzie ::281 ::Boon 
::Shahram ::P ::Jason ::Rundensteiner 
::150 ::G ::Roantree ::Urban 
::Saying ::Domain ::Engine ::OnLine 
::Random ::Ariav ::259 ::400 
::Maryanski ::Viswanath ::Stephen ::Andrew 
::94 ::CSA ::San ::Giuseppe 
::GeoMiner ::Definition ::Mapped ::Ozcan 
::Scaleable ::IM ::Merge ::52 
::Implications ::4th ::Nicolas ::Koch 
::Statistical ::Papers ::234 ::EDUCE 
::Inge ::Summaries ::Into ::Gerd 
::Giansalvatore ::Copeland ::PRIMA ::Carey 
::Buneman ::Agenda ::Catarci ::Dong 
::Inter ::Petterson ::East ::Carey 
::Zarka ::IPSI ::CICS ::Kitsuregawa 
::Wayne ::442 ::Mitschang ::Multimedia 
::Jon ::Expensive ::Roddick ::Relaxed 
::Rex ::Commit ::Suzanne ::Role 
::Sciore ::Claims ::Shneiderman ::4 
::Scientific ::Persistent ::Hellerstein ::Network 
::Been ::Helland ::Work ::Kramer 
::Ariel ::Controlled ::Wade ::contra 
::NP ::DART ::Doan ::Tradeoffs 
::Gardels ::Association ::Shamkant ::Dadam 
::Thanasis ::Report ::Wilcox ::Scale 
::358 ::Vertical ::Predicates ::Koschel 
::Workaholics ::Context ::Panagos ::Aberdeen 
::Text ::G ::256 ::Nesting 
::zsoyoglu ::Shaul ::Tork ::Dense 
::Bohrer ::Umeshwar ::Advanced ::Infering 
::Visual ::Olkin ::Guy ::Avoid 
::Delaunay ::One ::Nandit ::DBA 
::136 ::40 ::Jenkins ::Buneman 
::Hsiao ::DIPS ::469 ::Unstructured 
::360 ::Llirbat ::Hoc ::Maurice 
::Stphane ::Ksiezyk ::Markos ::22 
::Challenges ::Qaimari ::Sharing ::Larouche 
::Ho ::Thin ::Stphane ::Level 
::Principles ::Shoens ::Simon ::Wechsler 
::Sergey ::System ::Klemens ::Without 
::Fast ::Alternative ::Guidelines ::Atul 
::360 ::Shutdown ::Historical ::Based 
::Kincade ::Stephen ::Fishman ::Walch 
::Recursive ::Operation ::Kuno ::Tryfona 
::Stamos ::Tomlinson ::Kooi ::Scheme 
::over ::Replication ::Workloads ::Schek 
::61 ::Perspective ::Invitational ::IDEA 
::Enterprise ::Mohan ::NASA ::Hare 
::QuickStore ::sets ::Hot ::COSS 
::Balakrishna ::TCP ::Morishita ::Sagalowicz 
::Schneider ::301 ::Seshadri ::Position 
::Technology ::trees ::Unix ::Disco 
::Influential ::Charles ::103 ::Marcel 
::4 ::WWW ::Moffat ::Read 
::Users ::Goldner ::Content ::535 
::Stefanovic ::Infering ::532 ::Wade 
::Pratap ::Scans ::Abel ::Entity 
::Kupiec ::Luc ::We ::UNIX 
::Tian ::Olkin ::Teradata ::Keng 
::73 ::Allan ::den ::330 
::Bernhard ::Hadzilacos ::Shelly ::Kspert 
::109 ::Correlations ::Dadam ::Mason 
::Rengarajan ::Revisiting ::Ada ::Rabinovich 
::Thyssens ::Anand ::Proposed ::Selinger 
::Bernstein ::Bamford ::Rowe ::from 
::McHugh ::Himanshu ::Marek ::Anderson 
::Materialization ::Vardi ::IDEA ::Freeman 
::Laks ::Dimensional ::Type ::Extending 
::Erbe ::Meaning ::Kon ::Postgres 
::SONAR ::Erik ::Through ::53 
::Algebra ::Manola ::Stanford ::97 
::Valduriez ::407 ::Already ::Wilburt 
::Georgakopoulos ::Storage ::Vipul ::539 
::Jae ::54 ::Malcolm ::Lori 
::Nimrod ::Krishna ::61 ::Paepcke 
::Labio ::Among ::Can ::Brachman 
::Online ::Radzyminski ::Stephen ::Riekert 
::Fine ::Lists ::Vrbsky ::Alexandros 
::Rajaraman ::number ::Policy ::Builders 
::Abstraction ::Kline ::Unruh ::Kao 
::Ford ::OOPSLA ::104 ::Survey 
::Asgarian ::WHIPS ::118 ::477 
::Load ::Natarajan ::Hillyer ::Technology 
::Architectures ::Limsoon ::5 ::Kulkarni 
::Radzyminski ::Elmagarmid ::Gadi ::Augusto 
::24 ::Commit ::Kamalakar ::Ada 
::Pirahesh ::Marianne ::Brief ::Among 
::Atzeni ::Utilization ::Systems ::Jae 
::Claire ::Red ::Trade ::Tamer 
::Grasnickel ::Golshani ::370 ::Apparatus 
::Rulebase ::relations ::Separation ::Helen 
::245 ::Surajit ::Uniform ::Priti 
::Problem ::104 ::known ::Space 
::Olga ::Maxine ::Objectivity ::Candan 
::256 ::DBMS ::Mapping ::Hayama 
::1951 ::Ni ::Kiyoki ::Digital 
::152 ::Scalability ::authors ::ZOO 
::519 ::Unifying ::Gemis ::Salzberg 
::Mosfeq ::Announcement ::Warehousing ::75 
::Scalar ::446 ::422 ::Cole 
::Concurrency ::Global ::185 ::DAFTG 
::Schuh ::Denotational ::Bauyer ::Remote 
::Sequences ::Wells ::Weienfels ::Nathan 
::Strssler ::Ferri ::Shekita ::Generalizing 
::Support ::Zhuge ::Evolution ::Perspectives 
::Souza ::at ::74 ::Comprehension 
::371 ::556 ::Who ::Ricky 
::Architectures ::Salton ::Applications ::Wahab 
::Wave ::Missikoff ::Duri ::Completeness 
::Ohori ::Studies ::Disambiguation ::215 
::Daniela ::Omiecinski ::Aggregation ::Neuhold 
::Path ::Freytag ::Right ::Analysis 
::546 ::Hall ::Mok ::378 
::Kirby ::Narasimhalu ::Model ::Vitter 
::Yih ::294 ::Between ::Vaskevitch 
::Skowronek ::Missikoff ::data ::Multidatabases 
::Taosong ::Florescu ::Pons ::Mechanisms 
::Doughty ::Functional ::Zhou ::Laver 
::Queries ::416 ::522 ::280 
::Gerald ::ODBMS ::Giansalvatore ::Harris 
::It ::Munindar ::230 ::Codd 
::Flokstra ::Motro ::Jonas ::Bhm 
::Finally ::103 ::Is ::Tannen 
::Ooi ::Qualitative ::Lothar ::Hyuk 
::Carlo ::Record ::402 ::Classroom 
::192 ::Khn ::270 ::Residues 
::Teradata ::Louis ::580 ::Merging 
::61 ::Guidance ::Modification ::Five 
::Defense ::database ::Wiest ::Networks 
::Databases ::Qualitative ::Snodgrass ::Saxton 
::246 ::Buneman ::Haas ::Deleting 
::Hoppenbrouwers ::OLAP ::Annie ::Shian 
::Donald ::Dadam ::Missing ::Where 
::Load ::Merialdo ::Milt ::Karadimitriou 
::Chou ::Approaches ::Mukul ::Load 
::Pat ::Improving ::Sacks ::Shamkant 
::339 ::level ::DBLearn ::Relationships 
::Safe ::160 ::Hash ::458 
::Five ::DIPS ::Confluence ::Resnick 
::Crash ::Eliminating ::Rudolf ::Specifications 
::Pierangela ::Woelk ::Funkhouser ::Optimized 
::Reminiscences ::Toby ::Letter ::CSA 
::Kline ::D ::Natural ::Modify 
::112 ::Amherst ::Ramirez ::Garza 
::Sagalowicz ::Ho ::Madnick ::Experience 
::Ulrike ::Suciu ::Saying ::Closing 
::Jeffers ::Toolkit ::Pierangela ::Mikael 
::Selfridge ::article ::Benny ::Uz 
::Morishita ::Garza ::Evolving ::Tokuyama 
::vendor ::Cheng ::37 ::TCP 
::Rahm ::Berson ::Bill ::Gelder 
::Conceptual ::Kennedy ::DEC ::Doo 
::Cammarata ::Programming ::GIUKU ::Wm 
::Maheshwari ::L ::Koch ::Effectiveness 
::Benny ::Kabiria ::Arvola ::non 
::Overmyer ::WWW ::Lohman ::Dietterich 
::Theodoulidis ::Queensland ::Applicable ::Extension 
::Cheap ::authors ::21st ::Reference 
::NonStop ::INterchange ::Amouroux ::Samarati 
::Configuration ::Fynn ::Dimensional ::544 
::Josef ::Larson ::Resource ::Wrapper 
::Camps ::Haradhvala ::Bonnet ::Tsur 
::Lougenia ::149 ::Edgar ::Betty 
::Kenn ::STanford ::Networked ::Finally 
::Geographic ::Shmueli ::Tyler ::283 
::Omran ::Rolker ::Nodine ::Answering 
::Management ::Livny ::Vista ::Hian 
::Survey ::Loeffen ::Harald ::Wisconsin 
::Scacchi ::Intensive ::Francine ::553 
::Later ::Mark ::CSA ::330 
::Geppert ::Sleepers ::Gucht ::Kiernan 
::Another ::243 ::427 ::Mary 
::Joakim ::Khoa ::Indian ::Hasan 
::Karl ::level ::Ranganathan ::Tschernko 
::Waramahaputi ::Trueblood ::Schang ::Roland 
::They ::Luis ::Himanshu ::Gardels 
::Vossen ::Three ::EFDBS ::Broadcast 
::Olga ::Consistency ::Crossroads ::236 
::Static ::Shrira ::DIPS ::Implications 
::341 ::Documents ::306 ::Donald 
::line ::Multiversion ::Asuman ::SONAR 
::Zwilling ::O ::Ricardo ::Observable 
::Garofalakis ::Hayama ::Quasi ::Outs 
::Karim ::Leonardo ::Baader ::OGDI 
::Passing ::Hugh ::Arturo ::Balancing 
::Bayardo ::339 ::122 ::64 
::Johann ::He ::Inter ::Meltzer 
::Marc ::In ::38 ::Hansson 
::Achievements ::318 ::To ::258 
::Workstations ::Finkelstein ::Information ::Dean 
::Erhard ::Handling ::Crisis ::Abstraction 
::Retrieval ::Contents ::Altinel ::Bjrn 
::Papers ::Evrendilek ::133 ::Gook 
::Yurek ::Predicting ::Trade ::SE 
::20 ::Deborah ::Plaisant ::Ra 
::Shaul ::Pat ::Jrg ::Paris 
::Much ::DBA ::Compression ::380 
::370 ::Bombay ::CoopWARE ::557 
::Bernstein ::Julia ::Yuping ::Application 
::105 ::Jeusfeld ::media ::Ramesh 
::Steinbrunn ::Gorelik ::Baden ::populated 
::Barbar ::Kifer ::Functional ::546 
::AMS ::It ::Cliff ::Proposed 
::Capabilities ::135 ::Representations ::Chih 
::Dynamics ::Facility ::Hara ::Papazoglou 
::Printezis ::Configuration ::501 ::Li 
::Assurance ::538 ::Orenstein ::Griffeth 
::Uz ::Kitsuregawa ::Schuh ::Made 
::Unpacking ::Yates ::Zou ::60 
::Windows ::Yang ::Kent ::Giuseppe 
::Ching ::News ::Peter ::Declustering 
::Mike ::Knowledgeable ::Left ::Jeanine 
::288 ::Hierarchy ::Providing ::Fault 
::Alon ::Harald ::163 ::Loading 
::Associative ::Value ::Barber ::Salton 
::292 ::Jordan ::Frasson ::550 
::Etheredge ::Rahimi ::Bauzer ::Fukuda 
::Sudhir ::Gist ::Muth ::Sharon 
::Degradations ::Zeleznikow ::Matthew ::Klonk 
::Modification ::486 ::Wilcox ::Mario 
::Carlo ::Saxton ::CITRI ::Milo 
::Fagin ::Young ::Livny ::Merge 
::Evolving ::relations ::Transient ::Fu 
::Takashi ::Constraints ::Flynn ::Bruno 
::Pistor ::Servers ::ARCS ::Grosky 
::Peithner ::Validation ::Critical ::Representation 
::Predictive ::relations ::Karlapalem ::Claire 
::ODBMS ::Morpain ::Wisconsin ::Dar 
::Are ::Atul ::Stoltzfus ::324 
::Pedro ::PREDATOR ::Cevdet ::Abiteboul 
::Garofalakis ::Motwani ::BUCKY ::Multiple 
::Mariposa ::Tam ::TSQL2 ::295 
::Morishita ::SQL ::Ravi ::Arvola 
::Evaluating ::Buneman ::Ching ::Object 
::159 ::Step ::MENTOR ::395 
::Autonomous ::Connection ::451 ::Naveen 
::Wrapper ::Kohler ::STARTS ::Joachim 
::based ::Stochastic ::Milt ::Roy 
::Multidatabase ::Meral ::Research ::Yihong 
::Manish ::Retrieval ::Meckler ::OODBMS 
::255 ::Alonso ::Elizabeth ::Tim 
::Babis ::Predicates ::93 ::Structures 
::Incremental ::Secondary ::Scheduling ::Linkage 
::564 ::277 ::Dimensional ::Multimedia 
::Editorial ::Croft ::Self ::Extracting 
::Nandit ::Lessons ::Hoel ::192 
::Zaniolo ::Wahab ::Has ::252 
::through ::Yves ::Gadia ::Darrell 
::22 ::365 ::Anindya ::130 
::Liam ::Dimensional ::Achievements ::Arpaci 
::Harald ::Intensive ::Recursive ::Swift 
::Frank ::Sang ::355 ::184 
::Daniel ::Pratap ::Sources ::Carey 
::Redundancy ::Ghosh ::Heuristic ::Ahn 
::Matias ::Masaru ::Aggregate ::95 
::2001 ::Sushil ::DBLearn ::COntext 
::Multiversion ::Sean ::458 ::Implementing 
::Wilson ::Camps ::Access ::Ulla 
::Yurek ::Betty ::Meaning ::Context 
::Dar ::Scalar ::Bernhard ::article 
::an ::Mariposa ::Called ::Wiest 
::Qiming ::Associative ::X3 ::Jean 
::275 ::Systems ::Atul ::Engine 
::Federated ::Keitel ::Write ::48 
::31 ::Shiri ::Davidson ::Local 
::184 ::Ramirez ::Virtual ::Massachusetts 
::459 ::Clustering ::Elizabeth ::Toolbox 
::Charles ::Visualizing ::Assigning ::265 
::We ::Roddick ::Sacks ::Compiling 
::Etheredge ::Deductive ::386 ::Results 
::Sandra ::Sellis ::Didier ::Industrial 
::Shivakumar ::64 ::Gebhardt ::Katayama 
::Autonomous ::Davis ::Novak ::Stanley 
::Third ::Temporal ::Antonia ::Imielinski 
::Chomicki ::Volker ::MQSeries ::Critical 
::Tsichritzis ::Service ::Redundancy ::Stephan 
::215 ::246 ::Answering ::Cubes 
::Brinkhoff ::260 ::Nested ::HyperStorM 
::ONTOS ::Generalizing ::Silverstein ::Zurek 
::Rdb ::ADS ::Sure ::Seth 
::Pernici ::Levy ::Finite ::Wave 
::277 ::Discovery ::Implication ::Monitoring 
::Morin ::Interaction ::Gorelik ::Later 
::Watson ::Cruz ::Expressive ::Megiddo 
::SEQUOIA ::Vassalos ::Stemple ::Papakonstantinou 
::Zaniolo ::39 ::Managing ::Exploration 
::Ishwar ::Rewrite ::Vinek ::Keishi 
::16 ::Lam ::Tien ::Santucci 
::Hou ::297 ::Ashish ::Karthikeyan 
::BCNF ::Andrew ::Andler ::an 
::Vrbsky ::Li ::509 ::Ahmed 
::Asit ::Spotfire ::Ralf ::Client 
::Integration ::Peithner ::Ranganathan ::Candan 
::Heiler ::Gehrke ::Striping ::Towards 
::427 ::Optimizer ::Policies ::Issue 
::Weienfels ::Methods ::Forms ::Zaharioudakis 
::Consistent ::Neil ::Masaru ::Ahn 
::Shum ::324 ::Enhanced ::Curtis 
::Zurek ::Metric ::398 ::Ebru 
::Sparsely ::152 ::225 ::Elliot 
::Survey ::393 ::Editorial ::Volker 
::Termination ::Indices ::Susanne ::Blanken 
::Good ::Syntax ::Novel ::Office 
::Networks ::Anupam ::Jones ::Ravi 
::Unnikrishnan ::Colliat ::Cai ::Laura 
::Hbel ::264 ::Context ::359 
::Production ::Norio ::Mrcio ::Ley 
::Status ::Benchmark ::Lightweight ::Eugene 
::137 ::Hugh ::Frank ::323 
::552 ::Karvelis ::USL ::Rafanelli 
::Novak ::Multiple ::Infomaster ::Lashkari 
::Yongdong ::Generalizing ::Korn ::Yihong 
::Transformation ::Searching ::Answers ::Keun 
::Li ::ARCS ::Historical ::Annie 
::Keishi ::Referential ::Interfacing ::Toby 
::Differential ::Zurich ::Grosky ::Garbage 
::Kanellakis ::504 ::Weienfels ::Deferred 
::Bamford ::there ::Malkemus ::Elke 
::Candan ::Muth ::Objectives ::Shneiderman 
::Kohler ::Formal ::Review ::Lock 
::79 ::Ling ::Frew ::Qin 
::Perform ::Zeleznikow ::Writes ::Accessing 
::Page ::Doughty ::Tan ::Checking 
::Engine ::Connection ::Naughton ::Eisenberg 
::412 ::Babis ::Access ::Disjunctions 
::Carey ::Datasets ::Sema ::Goh 
::Pedro ::392 ::Papakonstantinou ::Use 
::Kotz ::Lorentzos ::Match ::Thanasis 
::Queensland ::Datenbases ::Xian ::459 
::Through ::Karim ::Porter ::Er 
::Web ::Classroom ::Special ::Relational 
::Neuhold ::Dieter ::Flaws ::Jrg 
::Opportunities ::Sheldon ::Bergamaschi ::Jian 
::Andler ::tolerant ::Academic ::107 
::Neptune ::389 ::Chris ::Implication 
::Reconciliation ::Udo ::Georges ::Kasi 
::Bry ::Automation ::Remotely ::Dong 
::Scaleable ::Hot ::Forth ::Dennis 
::353 ::Technologies ::Nolan ::Silvio 
::518 ::Walters ::Erhard ::Visual 
::Hernndez ::Cook ::Heterogeneous ::Jeusfeld 
::Hot ::Shamkant ::Repositories ::Buffer 
::Natarajan ::Kashyap ::CODASYL ::Badia 
::Chen ::262 ::Mendona ::Retrieval 
::Higher ::DDTS ::Qaimari ::Append 
::Protocols ::Gemis ::Kashyap ::73 
::Ju ::329 ::Castro ::Reddy 
::Behavior ::Allan ::Influencing ::NII 
::Deborah ::Relationships ::Kenneth ::Sacks 
::Seeded ::Yuri ::Nyberg ::Dr 
::Koksal ::Wiest ::Paepcke ::Srinivasan 
::DBA ::Kuan ::SONAR ::Keith 
::Roantree ::Bozkaya ::Sampling ::Hillyer 
::Condition ::Fine ::Strategy ::HG 
::Tagg ::Hyuk ::Indexes ::CSA 
::Networks ::Locally ::Enough ::meet 
::Notions ::Honeyman ::546 ::Toward 
::Urban ::Objectives ::Adali ::Geophysical 
::73 ::Silverstein ::Table ::Laguna 
