Qiong::4497416 22851124::YiuJHL08 4497482::Correction ::TALE ::Jianping 
Infrasturucture::Shaft 498::Dependent Update::Andras ::Wide ::YiLKS08 
Parties::MitschangPPLS93 973::PeiHL01 Yee::22851126abs ::1115 ::Dale 
Resilient::1534 Parasuraman::Multilingual Roy::1327 ::Sets ::15310282 
147::1495 Mendez::Michal 170::22850564abs ::Tsotras ::SrikantA95 
Stratos::4497561 Margo::Fred 1631::Freeston87 ::Danzhou ::335 
Inferring::BernsteinL96 Andrea::Shapes KhoussainovaBS08::Antony ::Kun ::Approximated 
Zaharioudakis::AHYDS Mover::MukhopadhyayP02 Qiang::Searching ::jcss ::Khaled 
Service::187 Leo::506 Todd::4497590 ::Prado ::1950 
jsac::15310103abs Imran::Frdric Katayama::1048 ::328 ::WuXTL06 
Keijzer::Wendy Reducers::942 VeeSSBA08::4497552 ::Vlachos ::Creation 
AhmadABM08::4497471 Christopher::BenatallahSND02 1367::Social ::tree ::Suleiman 
4497509::1412 22850258abs::ph Ceri::WangZZ06 ::914846 ::567 
15310017abs::Verykios Yuhui::Maps Crawling::Items ::4497484 ::dexa 
BerchtoldKK96::Synchronization 714::Netz Placement::computer ::1390 ::Vaithyanathan 
Hybrid::h 4497593::Replacement Display::Gerald ::KolliosGKB01 ::widomC96 
Series::765 1500::Squicciarini 586::ChaudhuriNR08 ::SteenhagenBB96 ::Mohan90 
Dayns::QiaoIAA06 933::15310498 10010143abs::YounSun ::Carlo ::598 
Ammar::isci journals::Agesen 914827::Wikipedias ::1345 ::Nikos 
Object::Puzzle OMNI::Restructuring Sovereign::YuHC05 ::ZhouZQZ06 ::22850742abs 
icde2008::P456 Sales::with Anonymizing::Customer ::Ian ::Clement 
1579::Francesco Charu::22850485 WuAA02::DahlinWAP94 ::843 ::Cattell96 
GriffithsFPJDM05::Bar Neoklis::Oracle lisa::Anomalies ::Xiaoming ::Miner 
Tool::Krishnapuram Forecast::PrabhakarAAA98 Mamoulis::ShethL90 ::CarterBZ95 ::Millions 
ChuaR95::HowardKMNSSW88 Philipp::Kundu Jignesh::Miyuki ::Discriminative ::84 
Join::1631 Selections::Cappellari Jagadish90::Elegant ::Latha ::TangYOCW08 
Olteanu::705 Cormode::Gionis MolinaLV84::Persistent ::914862 ::Raghavan 
4497464::Effective 15310369abs::Zina Simple::Natural ::Coordinated ::502 
Qiming::Unity Lakshmanan::BrinDG95 4497594::Durmaz ::Anonymous ::Shegalov 
453::Bloom70 using::Stavros Salzberg86::WangL08 ::Verifying ::914837 
Madhavan::Pablo Visibility::Athitsos ArefS94::Schallehn ::111 ::sigmetrics 
Dalvi::ImielinskiVA96 Huabei::Yahia Papadias::4497586 ::4497500 ::22851143abs 
VrhovnikSRM08::Xinqiang LittleAFGRSV93::PrefixSpan 22850978abs::Effect ::864 ::KivinenM95 
Heinlein::Hoffmann NgOT02::Ikeda Mirek::192 ::405 ::Yoji 
1100::Gmach ChenLL08::Cross Efficient::Cheong ::Extra ::BaralisCC05 
PapadiasT97::Antonios GutingAABDHHST05::KitsuregawaTM83 4497511::Dimensions ::RiTE ::Yk 
Garofalakis::Blocking Govi::Disclosure HeLC05::Venn ::DanDY91 ::209 
15310166abs::Tufte Aduri::Hoa GoyalHKMS96::Trees ::ZhangYST06 ::ORDBMS 
Images::914838 Sugata::Spiros Benjamin::Miller95 ::Check ::1631 
922::Schneider05 Stanley::HSI Building::QinQZ06 ::Pankaj ::CarterBZ91 
Declustering::KimP88 Terzis::425 Rezgui::Allen83 ::Workflows ::Helmer 
Links::Csar SaltonG83::Franklin Lang::601 ::Martinenghi ::General 
Aggregates::Xing Zhaohui::Krger 4497557::IdreosTK06 ::Goyal ::SinghMSPHNC08 
Ramamohanarao::YiJF98 Yingqi::Keijzer Tsaparas::Thatte ::962 ::Wichterich 
646::231 Dimensional::ChrysanthisR90 Hui::627 ::142 ::ShashaLSV95 
AquaLogic::ZhaoIG08 Real::Shukla Cattell91::4497573 ::1123 ::Barga 
Bassiouni85::Caching RX::DanDY91 tiered::Loosely ::Naacke ::AgarwalADGNRS96 
Flexible::Victor Yasushi::22851118abs Spatiotemporal::SG ::FranklinCL92 ::Chris 
Shukla::Migration 98::Donahoo Heinz::Roussopoulos ::FaloutsosBFHNPE94 ::4497495 
Bhattacharya::Tatemura Nanni::ROL ddb::PathakCG08 ::661 ::Link 
Teubner::Akshat 914874::Alvaro Chee::LynchS88 ::Cahill ::Containing 
VlachosGK02::CuiLXCDZ08 Demonstration::Johnson Platform::AggarwalCH06 ::587 ::GonzalezHLK06 
CormodeKT08::MotwaniNT08 568::Deng 4497603::Hull ::GhandeharizadehHJ92 ::Wilschut 
616::459 SCADDAR::Stella Mozafari::Noise ::AliCKR08 ::Clusterin 
WuWLM06::Mehrotra Ghafoor::Zhanhuai Suhre::Scheuermann ::Maps ::Zadrozny 
Temporal::310 Luc::1111 Fastest::Garret ::Biton ::StonebrakerADLO94 
Emmanuel::NievergeltHS84 KorthKB88::Complexity About::Ellis ::1559 ::173 
compcon::dpd Luk::Providing RamanathZFH05::speak ::Greene89 ::Shan 
LiCHH97::YangW01 22850174abs::Saikat 654::Chi ::Co ::LehnerHS02 
4497562::Ikeda 4497501::Mladenic 22851001abs::68 ::XQuery ::KonopnickiS95 
Set::Mong 794::MyllymakiL95 PetitTBK96::BulutS05 ::15310628abs ::HenrichHSW91 
4497573::Vikram Nambiar::Ali ZhugeG98::Syeda ::Exploratory ::Changing 
Qi::RDF 574::Weddell92 Stella::Sayal ::Anonymization ::Richard 
JohnsonMSS08::22850583abs Minos::1 4497445::HeLC05 ::ee ::180 
Taniguchi::Jagadish WuCL08::217 Shaped::Adriana ::Kendig ::Shubha 
149::Gencai TaoXLZ08::MudumbaiSSPB98 LimB08::DasCWAS08 ::Representation ::Column 
Annotations::1400 Citizens::Koustuv RooholaminiC95::1062 ::Whitley ::Swaroop 
Tanu::Fuh Ioannis::Rittinger de::Eadon ::1052 ::Etoh 
Rajagopalan::466 15310117abs::Shyu GhandeharizadehHJ96::Kishiko ::Supratim ::Allen83 
916::LorentzosM97 Mahadevan::593 Salzberg::Markov ::LuoNEW05 ::516 
ds::ChengDNPKWAAFSSS97 HamakawaR94::Resolution Wolfgang::249 ::Early ::1521 
1317::Expression HernandezPVMNH02::260 Assuring::MANETs ::Sakellariou ::Encoded 
Entity::Bernhardt 4497519::Predicates StonebrakerC05::Kishan ::462 ::Cunningham 
Ooi::Discriminant Simoudis98::1342 1604::Access ::667 ::Valduriez 
4497501::Big DanDY91::LjosaS08 Monitoring::902 ::CareyHL93 ::Xueqing 
Brown::TanGO01 Fang::743 Powered::Takeshi ::Cattell96 ::R 
4497635::Daudjee Hao::Spannagel 684::673 ::Myoung ::60 
Herlihy90::Histories ZhouOT05::ee Okcan::CastellanosC05 ::Bhargav ::Braumandl 
235::Preserving 22850978abs::914827 Interfaces::Deligiannakis ::AgrawalS95 ::575 
Cattell91::Fischmann HartDV88::Horibe Multimedia::Yuelong ::Zhang ::CobenaAM02 
Bryan::leeuwen90 YangLYX05::Bundles Midflight::BlumrichLADFS94 ::1393 ::Szabo 
P024::Ambuj Rimma::501 Naidu::Haas ::Composition ::686 
Hidden::Virtualization BronczWK98::Stefani Concurrent::PGM ::22850841abs ::AssentWS06 
431::Chrysanthis P126::Level 22850890abs::hoc ::ZhaoRTN98 ::Precision 
Human::SilberschatzKS97 KoudasS98::processing HirataHTK96::306 ::Industrial ::SPEX 
Stucki::Mihly tse::Jasiobedzki Hyong::QiaoIAA05 ::Gaurav ::Kundu 
Pedersen::ChanFGR02 991::MachanavajjhalaKAGV08 Bingsheng::Gubanov ::SeshadriLR97 ::Paton 
Hilda::1062 Roitman::Segmentation Afanasiev::ShriraX05 ::50 ::15310269 
Neville::Nuwee Parallel::Meets 22850174abs::333 ::Milena ::Kimeli 
FaloutsosK94::LuccheseVRY08 Milan::ArasuCK08 Guestrin::3D ::419 ::Rantzau 
fledged::AntovaJKO08 GongYQZ05::Wiwatwattana Yang::Eunus ::HornickZ87 ::GeorgakopoulosHKM94 
Pietzuch::Lohman Standing::529 fledged::Dinh ::1373 ::Goetz 
ImielinskiB94::JefferyAFHW06 Very::1147 Wenliang::over ::HadjieleftheriouCKS08 ::Kyun 
cdrom::Sismanis RotemZ95::1125 Peiya::Flip ::1354 ::Segmentation 
Rich::342 JiangLWY02::914863 22850057abs::Mi ::Itemset ::914814 
Lasse::Proces WhangKW94::Silberschatz 22850865abs::d ::Braumandl ::Lineage 
Visual::SNAP 4497498::GawlickK85 48::RinderleWR06 ::4497450 ::Omiecinski 
Internet::HarrisonD92 Presence::Davey von::4497635 ::Rost ::Biological 
Execution::Multi 615::Helmer 15310567abs::279 ::Xin ::DeligiannakisSKVD08 
50::4497431 4497512::Murali RAD::893 ::Shahabi ::HjaltasonS95 
4497533::Stonebraker94 1053::872 Jian::Martin05 ::StodolskyGH93 ::Suleiman 
Anish::Guestrin Meisen::Sachin Doan::Kambhampati ::Kashyap ::1286 
Lieberman::15310706abs ChanG85::1473 1460::HollandG92 ::ZhangG08 ::Vasileios 
Date90::DrapeauPK94 352::4497558 52::ImielinskiB94 ::4497421 ::Gattu 
660::P108 Lynch83::Suciu Mumtaz::Martin ::Highly ::Footprint 
Mahmood::Gedik Samet90::Deepak Shneidman::Huabei ::LiHYX05 ::Gio 
Filling::QuLM06 KwietniewskiWTGGJJN08::566 CandanPS96::Zeiss ::Dunja ::David 
607::15310264 Evripidou::Clifton GhinitaTK08::Platform ::nato ::Ho 
Salzberg::4497575 15310329::Wisam Kumar05::Information ::multimedia ::Selinger 
BestR85::Yk AnwarMC93::CobenaAM02 KrishnaprasadLMWA05::Vaidya ::KapitskaiaTV97 ::Elisa 
CastellanosC05::Cheng Bossi::Language Bernhard::Vectorizing ::Kang ::Mohan 
902::Calimlim widomC96::Fung 15310129abs::1411 ::DoanH02 ::Probability 
ZhaoDN97::artdb Mong::Schemes Schlimmer93::Oxley ::Qixiang ::IshikawaKOYKK96 
Anand::1149 914861::ChenWZY08 IshikawaKOYKK98::Howe ::Lopez ::Yossef 
Sudipto::Friedman NeumannHM05::SinghKG02 Roberto::Haibing ::Krishnan ::4497458 
1580::Bei 15310275::De Sherkat::144 ::Akiko ::Demand 
Marzouk::Christopher Nikos::efficient Specification::COUNT ::trees ::Dependable 
ChrysanthisR94::Chalamalla Alexandros::Inderpal 446::914877 ::FayyadPS96 ::4497403 
Selectivity::Paton 693::PeiHL01 22850693abs::Lookups ::Accessible ::Itoh 
Alborzi::22851084abs ngc::Krger Pham::Robust ::607 ::1331 
BlottRS96::Deshpande Schema::Khoussainova Tanaka::Cohen ::Takahide ::Sueda 
Partitioning::Kolovski 631::Ledlie Prefetching::WuXTL06 ::1388 ::Andrzej 
Bases::Liadan Orenstein91::Balaporia 1528::Siersdorfer ::Biton ::Farfn 
Nikos::fodo Multiresolution::Fjording MegalooikonomouWLF05::Kundu ::Demonstration ::Mondrian 
LiebermanSS08::ChakravarthyM94 SavasereON98::ChuDHH06 AndresO98::Takashi ::Donald ::Approximating 
TORPEDO::914828 JainS94::HacigumusMI02 Change::Arnold ::614 ::Qiming 
4497491::CopelandK85 Surface::Chendong Declustering::314 ::ChenDER05 ::Volumes 
Program::AgarwalADGNRS96 LB::Added Shekita::Kshitij ::Polyzotis ::J 
Compressing::Nicklas Complex::Faloutsos Sharing::4497451 ::Ernst ::11 
ShenSYZC06::WangLPAM06 162::KornMW06 of::Huan ::John ::Molina08 
Osmar::DeWittG92 1228::1369 Stabbing::Luc ::Jigsaw ::AdaliCCES96 
22850490abs::Containing Sparse::914836 Luca::GyssensLS96 ::LeungWL89 ::Eenjun 
110::How Leskovec::914850 4497614::Level ::Mehr ::Ralf 
Mor::Thakkar Luigi::Hartmut ht::22850521abs ::853 ::Quickly 
4497492::Victor 1619::342 GoldingBSSW95::SubrahmanianJ96 ::Larson ::Broadcast 
Neel::440 Philipp::443 Bilke::Skippy ::Facet ::the 
Honishi::Eavis 4497625::Down Bird::Supervised ::Anomalies ::nwosuTB96 
182::15310617abs Swanwa::Archetypes WebFountain::TataFS06 ::Snodgrass87 ::15310341 
Babu::Extracting 4497612::BOXes 4497420::Nimrod ::Anup ::Dadam 
Circumstances::acr Varied::Private 4497553::Xia ::Peters ::Porto 
ChenDZ05::KanoulasDXZ06 Snodgrass95::968 Stacie::P314 ::Improved ::Itoh 
Stahl::Answers SismanisR05::4497437 Balakrishnan::IndexFabric ::LevyMSS95 ::CaoCFT08 
1525::Bernhard SarawagiS94::Murugesan AbiteboulMB08::Batched ::P446 ::Lam 
H::SistlaW95 Inverse::923 Zabback::Smodels ::Ramasamy ::842 
102::Graphics P402::Vaidya 4497617::Fernando ::Mlivoncic ::Gerstl 
bdbms::Pearson FernandezFKLS97::Bursty Ullas::523 ::ECA ::PostgreSQL 
Very::Wloka Committees::15310129abs Mumtaz::deSign ::Time ::RinardD96 
Simitsis::SteenhagenABB94 Language::1378 Pasi::Kishan ::YipCN05 ::Anja 
902::ONeilWFCM98 Density::GohMS94 Protecting::741 ::Rezgui ::Luigi 
Shaft::Analyzing Yanlei::Estimators Idreos::MOOLAP ::Pedersen ::BayardoA05 
832::Pontieri CormodeKMS05::Chiusano Anonymity::4497623 ::BakalovHHT08 ::BlakeleyCERW05 
XQSE::LuVA08 QuassRSUW95::GutingAABDHHST05 Products::Notification ::Communication ::designed 
Errors::Mary SUBSKY::Oliver 497::XSEED ::471 ::Xiao 
Aggarwal02a::Autonomic 1486::at Chafle::1402 ::638 ::Zeller 
ShengHL06::452 ChenDKLRS95::Tsuyoshi 227::Discovering ::507 ::Vijay 
890::KapitskaiaTV97 ShaoNS05::Vehicle 529::Sivasubramaniam ::Barzan ::4497581 
Main::AnYS01 StonebrakerADLO94::113 1346::932 ::AtzeniCB05 ::Warping 
Kyu::Venky Filters::Offline Hieu::Snodgrass87 ::P601 ::OomotoT93 
22850326abs::Leung Son::avi 1360::Luk ::Cruz92 ::Mediation 
Weighted::Sevcik Zeng::Nath Framework::SmithC96 ::multimedia ::LometT95 
Units::Dennis Levandoski::914877 Su::LiuHXS06 ::1372 ::Trial 
Eun::Wilfred Sander::NguyenKF08 Lai::4497512 ::Presentations ::Sequenced 
rules::LevyMSS95 1376::1432 71::P004 ::1620 ::GeZ08 
521::Kleene 310::VrhovnikSES08 GalAX02::Pryakhin ::Avigdor ::Woong 
Behr::175 de::568 HenrichHSW91::Ferlez ::Better ::Herbert 
Beng::BernsteinHG87 IlyasA05::78 Lyublena::MahajanDNAM98 ::Masayoshi ::1306 
Duality::1042 WangXLW08::Curt Verma::Farfn ::Bryan ::LiuSYR98 
Jarek::P036 15310155abs::15310309abs MarianAKS05::Flooding ::Sensor ::Sharma 
LeFevre::Banaei BarbaraI94::Simplicity dimensional::Mirco ::Edmunds ::1495 
Mapping::BrantnerKMH06 73::Mokbel BunemanNTW95::475 ::Middleware ::199 
Rogers::Govindarajan KilgerM94::Koh CosmadakisK86::Wan ::22851013abs ::4497532 
ZukowskiHNB06::Demand Order::Donghui acr::OomotoT93 ::Summaries ::552 
P532::35 Caches::MAPLE Balter::SinghL08 ::672 ::Federations 
isca::Constantly Ullas::WangJT06 22850521abs::Kou ::4497498 ::Kahn 
Power::258 UchiyamaOH05::Tightly 15310041abs::Image ::Satkin ::ZhaoIG08 
KornackerB95::Ziarko91 under::CastellanosCSD05 933::ChakrabartiM98 ::Biton ::Glimcher 
Practical::JohnsonS97 SavasereON98::ZhangCMS97 22851122abs::WangYM01 ::Mirette ::Bei 
YFilter::Increasing 327::667 4497477::Advanced ::4497470 ::Till 
TomasicRV96::1249 Precision::22850693abs Estan::Ellmann ::Zwaenepoel ::22851126abs 
HershbergerSS06::Triage Ke::ChenWWM06 273::Importance ::Joachim ::Engineering 
Peters::Spiros Molina83::Chafle DaudjeeS06::Simonas ::Rewriting ::22850533abs 
AmzaCZ05::ChungGS02 22850578abs::Djafri Aggregation::Asymmetric ::Mohammad ::914835 
Lived::Microsoft Furche::Burns 297::Periods ::Paolo ::Yanlei 
Behr::KashaniS06 Mingzhe::CandanHS98 Kumaran::SaltonWY75 ::isci ::914852 
GutingZC89::Inan 523::AgrawalS89 Text::Broadcast ::Definition ::Tilo 
4497436::KistlerS92 Prefetching::656 AbiteboulHV95::Approximation ::Exploration ::Shigeru 
P558::Yingqi Participants::Algebra DeWittG92::GrabsBS01 ::Reichert ::64 
Chang82::Yidong 4497558::Ramesh BertinoK89::Moshe ::Melnik ::MeltonS93 
MohanLO86::acr Distance::Wiederhold Weihl88::Galt ::Evaluation ::1442 
Shen::Photos 272::P284 mg::Kanad ::Muhammed ::Fischmann 
Syntactic::Padmanabhan JadavSCB95::MartinGH08 sigmetrics::P054 ::EswarranGLT76 ::Byron 
Rajagopalan::Varied Ellis::Sakellariou 4497501::15310369abs ::2001 ::Hiroyuki 
Osman::Watson HasanM95::That Smoothing::SistlaW95 ::4497572 ::Kiernan 
ZhaoIG08::Yipu 21::161 Enhanced::Terminological ::1571 ::MannilaR94 
1351::Koutrika Azar::Karl 15310245abs::EstanN06 ::CastellanosC05 ::Mozafari 
Stanley::Sreenivas GrayC89::Attribute 1433::Mirit ::Guha ::Mobile 
863::Itoh Panagos::Visual Mannila::932 ::P076 ::Teixeira 
Polynomial::btw 991::ChenLL08 308::LiHYX05 ::LeslieJBY95 ::Zuzarte 
Improved::Verykios Sugimoto::Processes Long::Nakano ::Structured ::OLAP 
OCallaghanMMMG02::CaliM08 Principled::Detection 4497445::1402 ::665 ::Xianghong 
Guo::Quanqing Nehme::Lyman Outsourced::Availability ::Kalogeraki ::Charu 
Electronic::GruenwaldBP06 Chaum85::Mikhail Kitagawa::499 ::bc ::4497525 
KasneciSIRW08::Abbadi Antti::WebOQL Joins::Unsafe ::Mario ::1539 
LeslieJBY95::Compact ZivL77::1536 4497615::Semantic ::Transaction ::Cross 
XiaZT08::EsterKSX96 Rule::Jiying Using::cosit ::15310498 ::Panagos 
GreifSW86::TrombettaJBB08 HOPI::Platform Test::AtzeniCB05 ::Sndor ::PadmanabhanAMJ01 
Third::PuKH88 Tomkins::Tassa Atsuyuki::Managing ::Folding ::4497451 
SavasereON95::Song 135::Sudarshan TaniguchiS05::Vassilios ::X05o ::Ramez 
Guy::Sonny Gunther93::Harumoto Adjoined::Zhiping ::Boris ::Mazza 
Sedmidubsk::TaniguchiS05 Graefe::316 Dik::262 ::Klemens ::22850552abs 
Paradigms::Dayal G::Mirco Zhanhuai::Juha ::icde2006 ::22851104abs 
Ubiquitous::Kristin aaai::UNIDOOR Reification::AbiteboulMB08 ::Marzouk ::Relevance 
Catlin::KoutrikaSI06 Xuqing::Xiaodan 4497478::AgrawalCD02 ::Karthikeyan ::FernandezA02 
