::Stocker ::KappelS91 
::932 ::WangM05 
::Qing ::Dewri 
::Autonomy ::meets 
::802 ::Fjording 
::22850890abs ::4497445 
::Experiment ::Rizzolo 
::Pu ::FaloutsosRM94 
::KoudasS05 ::KatayamaS01 
::Vaidya ::Lot 
::Baile ::icde2002 
::Palios ::242 
::4497593 ::Ryan 
::Modern ::Edmunds 
::GoldsteinRS98 ::GionisMT08 
::BohannonPRSSS96 ::Vana 
::Cattell96 ::Bamieh 
::VenkataramanLN95 ::605 
::Brian ::22851140 
::714 ::22851115 
::linear ::Weighted 
::Hamid ::Deepak 
::AggarwalY08 ::JeungLSZ08 
::Ferri ::Ozcan 
::Zhe ::1348 
::10010215abs ::Davidson 
::Xueqing ::22 
::Hacigms ::TuckerM02 
::LieuwenD91 ::246 
::Sakuma ::Toivonen96 
::914838 ::Bentley80 
::DunnDDS02 ::DBXplorer 
::Inferring ::914848 
::Jaber ::Yu 
::Psaila ::4497619 
::Hiraoka ::Gunther93 
::4497547 ::Transactional 
::4497570 ::Choreographies 
::P370 ::15310663abs 
::LowTLL02 ::Memory 
::Gattu ::Hierarchical 
::ChawatheG97 ::TrombettaB06 
::425 ::Segmentation 
::Traffic ::22850324abs 
::Kreutz ::Neighborhood 
::Cappellari ::GrayC89 
::Huhtala ::P578 
::1367 ::AlomariCFR08 
::Freeston87 ::10010651abs 
::Chawathe ::Earl 
::646 ::Huan 
::Jermaine ::Haslam 
::DohertyHR96 ::Searches 
::Yoshinori ::1479 
::1143 ::Alvaro 
::Ownership ::Procedures 
::Bootstrapping ::McCannSD08 
::SubrahmanianJ96 ::Under 
::MohanHLPS92 ::Kapantaidakis 
::273 ::Transparent 
::BorgBG83 ::1599 
::Afanasiev ::Jianjun 
::Rights ::ChengXPS05 
::Mohammad ::227 
::RantzauM06 ::Operators 
::Triggers ::Updates 
::Liao ::22850680abs 
::PostgreSQL ::ChenDN02 
::Ivan ::Ishikawa 
::Cristian ::Skylines 
::1327 ::Shapes 
::Grahne ::Terms 
::KamelF93 ::Estimator 
::AcharyaGJKST08 ::4497456 
::AndresO98 ::914878 
::Gencai ::BerchtoldBK98 
::Keulen ::Rajan 
::922 ::Lingzhi 
::SNAP ::Bassiouni85 
::4497411 ::Counting 
::666 ::Kam 
::15310276 ::1122 
::P105 ::ChuK89 
::1 ::bdbms 
::Scrutinizing ::HamakawaR94 
::PGM ::Goldin 
::KaF02 ::Measuring 
::ChenDN02 ::313 
::Ernst ::PeiroASW98 
::Flooding ::conf 
::Byron ::Soumen 
::Lian ::1369 
::Christos ::171 
::AbiteboulCCMMS97 ::Siva 
::914869 ::Coordinated 
::Method ::ElfekyEV02 
::192 ::4497617 
::Bitmap ::Spiros 
::YangLYX05 ::4497460 
::BunemanDS95 ::CasatiCPP95 
::X05q ::Ben 
::Chong ::4497404 
::Shahabi ::456 
::4497575 ::Zdonik 
::Paton ::Hideo 
::comp ::Robinson81 
::Krishnamurthy ::Marianne 
::ChengXPS05 ::SkytJP02 
::Wayne ::Haritsa 
::Manish ::BunemanDFS97 
::Lamport78 ::Gaurav 
::Stephanie ::DrivenWeb 
::MohanPL92 ::22851124 
::22851149 ::47 
::Distributed ::pe 
::Panagos ::Yoon 
::914841 ::Samples 
::Wolfgang ::1209 
::WuK05 ::Operator 
::914842 ::Jim 
::Refresh ::Benjelloun 
::KamelF93 ::523 
::WolskiB98 ::753 
::Malicious ::Unsafe 
::NtarmosTW06 ::X05s 
::KreplinZ01 ::841 
::Fan ::jlp 
::WolfsonCDJM98 ::Chengyu 
::KetchpelGP97 ::1441 
::ShanADDK95 ::RothH93 
::Guarantees ::Odysseus 
::Length ::Matches 
::PhotoSpread ::RX 
::MachanavajjhalaGKV06 ::AtzeniCB05 
::Elghandour ::Out 
::Locking ::Brown 
::1536 ::Unsafe 
::Mahajan ::Megiddo 
::949 ::Bogdan 
::Borkar ::Middle 
::Skeen02 ::AdibaL80 
::Scheuermann ::P476 
::Stacie ::Guided 
::SellisRF87 ::CareyFLS91 
::Srinivasan ::Ruddy 
::281 ::PalopoliTU01 
::4497467 ::Huiming 
::Greco ::4497508 
::Spatiotemporal ::Ziyang 
::Le ::Wrapper 
::fAST ::Flow 
::M ::Jinping 
::MohanN91 ::Campi 
::Lohman ::Soccer 
::Algebraic ::Bosworth 
::Alps ::22850094abs 
::Extensible ::Jiying 
::Protection ::Ulrich 
::Zhe ::SIREN 
::1587 ::Mlivoncic 
::domain ::XStream 
::ViteX ::SaveRF 
::Schlesinger ::22850162abs 
::Wing ::Kshitij 
::601 ::Tam 
::Du ::4497631 
::Yafei ::141 
::4497531 ::Yaping 
::914829 ::Johann 
::Goh ::4497625 
::22851061abs ::KaufmanR90 
::RoussopoulosL85 ::938 
::Amarjeet ::Yunjun 
::366 ::P066 
::StockerKBK01 ::YuPK05 
::Narayanan ::Sugata 
::Mediator ::Bongki 
::RamamrithamSSTX96 ::P522 
::Periklis ::P503 
::Native ::Shamkant 
::15310503 ::914843 
::ZhangAO05 ::Jan 
::4497498 ::Francesco 
::Howe ::Dayns 
::MeltonS93 ::Elena 
::GhinitaTK08 ::Regulation 
::Sachindra ::SkytJP02 
::Amir ::X08 
::MiahDHM08 ::22851013abs 
::Processor ::Nicoleta 
::Vebjorn ::Sparse 
::Extract ::Chee 
::Noise ::Brent 
::1346 ::Prefix 
::Advancement ::Signature 
::KhaYU01 ::Masato 
::523 ::Resources 
::Multimedia ::Manipulation 
::Mal ::Jayant 
::395 ::Good 
::Pinto ::bda 
::Binnig ::Fusheng 
::391 ::P024 
::Publish ::RaoLLPS01 
::BargaP95 ::942 
::Product ::4497630 
::Margaret ::SI 
::Visualizing ::Melliyal 
::22850958abs ::LevandoskiKM08 
::Haas ::Guy 
::Kim95 ::220 
::Rundensteiner92 ::KuwabaraT05 
::Future ::SimitsisVS05 
::DakkaI08 ::883 
::ChenR05 ::Davey 
::Nasi ::914864 
::Young ::Brett 
::XuLXM06 ::1556 
::Nail ::top 
::granularity ::ChenRDEGS06 
::BabuDM08 ::BrantnerKMH06 
::BerchtoldBK98 ::1495 
::Kaname ::604 
::Sketch ::Accessible 
::ElmeleegyOE08 ::tse 
::Interfaces ::4497580 
::Neighbors ::Inverted 
::4497461 ::Oliver 
::Akitsugu ::Two 
::ChandelNS06 ::RAIDs 
::Media ::Akiko 
::Ghaffar ::Papadias 
::column ::1571 
::Hazem ::Study 
::Conscious ::1024 
::He ::FAST 
::Qi ::Rajamani 
::Olu ::1495 
::174 ::Porto 
::Prefetching ::Evangelos 
::419 ::4497512 
::10010651abs ::Physical 
::Computing ::153 
::1113 ::HamakawaR94 
::22850353 ::Mukesh 
::Sentiment ::299 
::645 ::914870 
::iBOM ::GoldbergR83 
::computer ::Ketchpel 
::Skylining ::XParent 
::Agesen ::Authority 
::YanOZ08 ::Cruz92 
::SAP ::Benjelloun 
::Iyer ::Sndor 
::MohanKSW06 ::Jian 
::Pontieri ::Marzouk 
::Extract ::Identification 
::Mutsumi ::253 
::4497442 ::LeFevreDR06 
::books ::Bentley75 
::4497580 ::Tier 
::Has ::YangL87 
::IpeirotisNCG05 ::Qixiang 
::Ulrich ::Transfer 
::393 ::Mourad 
::Engineering ::RAD 
::Mover ::WuCL08 
::Madlmayr ::GyssensLS96 
::Antoshenkov93 ::Hong 
::SizovSTW02 ::Tool 
::MolinaGS96 ::Cheng 
::JeungSZ08 ::csur 
::Nagendra ::4497425 
::622 ::Eberhardt 
::De ::398 
::tocs ::P164 
::Heerde ::Sheu 
::Basit ::XinSHL06 
::Mariano ::334 
::Medical ::4497609 
::623 ::Son 
::Revision ::Jeffrey 
::Yoshikawa ::ShanADDK95 
::4497468 ::1355 
::Signature ::SolworthO91 
::Bhlen ::AgrawalAKL06 
::Spatio ::Ramamurthy 
::Bin ::Hiroomi 
::WachterR92 ::Trombetta 
::MyllymakiL95 ::Melliyal 
::Hull ::Mirit 
::Frank ::Biological 
::Gruber ::JVM 
::Rosy ::933 
::DohertyHR96 ::Panagiotis 
::4497625 ::1544 
::22850552abs ::LinVM06 
::ChengDNPKWAAFSSS97 ::Petkovic 
::ChenOO08 ::Ordering 
::MullerDEF01 ::1032 
::Yuguo ::Zuo 
::LaiTB05 ::StockerKBK01 
::DBMS ::Asonov 
::Ip ::Mohan96 
::Bhide ::AgrawalS89 
::15310323 ::Beyer 
::Rotem91 ::TangYOCW08 
::4497511 ::Fuxman 
::Moon ::Mitch 
::4497491 ::ImielinskiVA96 
::El ::1385 
::556 ::Fusheng 
::431 ::XCluster 
::Vectorizing ::Hiroshi 
::882 ::914865 
::Automata ::SrikantA95 
::Onizuka ::PietzuchLSRWS06 
::Milind ::4497513 
::1524 ::Native 
::Roberta ::Ellmann 
::Media ::Outsourced 
::LittleAFGRSV93 ::Harizopoulos 
::Mittal ::Raman 
::Tadashi ::Nasi 
::4497485 ::Publish 
::Hans ::Toivonen96 
::WhiteDJ96 ::Yunyue 
::Sunbir ::1053 
::Unknown ::PagelSTW93 
::Roberta ::ElfekyEV02 
::168 ::Different 
::CampenXRGFSPL08 ::Ada 
::Sky ::Wendy 
::15310270 ::SemCast 
::CareyHMW96 ::Kubota 
::WebOQL ::McWherterSAH05 
::626 ::Zwol 
::Zaniolo ::Margaret 
::Refresh ::Mihai 
::Stahl ::803 
::Nita ::Y 
::ATM ::Castro 
::Haibo ::Pollack 
::KeulenKA05 ::Congjun 
::KistlerS92 ::Deletes 
::Xuemin ::LiOW08 
::Qian96 ::Bossi 
::Replica ::WhiteDJ96 
::LudascherGM01 ::4497418 
::Xifeng ::Salvatore 
::22850174abs ::Mengchi 
::22850326abs ::Postgres 
::21 ::Xiaoxin 
::Yan ::AlonsoC05 
::P108 ::JohnsonMSS08 
::Aggarwal02a ::Manolescu 
::DeligiannakisSKVD08 ::296 
::LanOT02 ::Transportation 
::Hacigms ::15310166abs 
::15310323 ::Sakuma 
::an ::integration 
::Rakesh ::705 
::Aliekber ::WuAA02 
::Protection ::Compression 
::Hannu ::Replacement 
::Vectorizing ::Spatscheck 
::Telcordia ::Giuseppe 
::914840 ::Collaborative 
::Combining ::Ending 
::Chen ::HullY90 
::LinAGD08 ::983 
::Mediator ::Stephanie 
::Choreographies ::ProcopiucS08 
::1150 ::RosenblumO92 
::656 ::Schneider05 
::Colby ::87 
::Checking ::LiuSYR98 
::Gawlick ::Music 
::334 ::AlexanderR06 
::Web ::Antonios 
::Behr ::Le 
::Thakkar ::Commit 
::ChenDZ06 ::Cyrus 
::Ertem ::883 
::22850949abs ::Conserving 
::Sellis ::Jiangchuan 
::676 ::15310081abs 
::MaH01 ::WangM05 
::357 ::Aberer 
::GounarisPSFSW06 ::Yeol 
::AxPRE ::Streaming 
::Ljosa ::1998 
::Storing ::LiLHC06 
::466 ::Linkage 
::Ramakrishna ::Malin 
::Production ::Mani 
::Dong ::P294 
::22850174abs ::Kitagawa 
::ZhangLW08 ::JagadishMS95 
::Representation ::393 
::Perrin90 ::Convertible 
::Davidson ::ER 
::Now ::15310716abs 
::Fishman01 ::Wendy 
::1133 ::SteenhagenBB96 
::Kreutz ::KriegelHS91 
::Arthur ::MishraE92 
::Temporal ::Hamid 
::22850157abs ::Folding 
::914857 ::ChuDHH06 
::Campi ::Portal 
::ZhouTZ06 ::1258 
::KoudasS98 ::Procedures 
::Henrich96 ::Fan 
::Ramkumar ::Surna 
::Whose ::WhiteJ96 
::Shah ::914827 
::1000 ::Rosenthal 
::Theobald ::Folding 
::Tradeoffs ::Conor 
::Atsuyuki ::SayedRM06 
::OSSM ::Chamberlain 
::HamakawaR94 ::WangM05 
::Snodgrass95 ::Kreplin 
::157 ::Agesen 
::GanesanSG05 ::Towards 
::Athena ::41 
::Failure ::MullerDEF01 
::Chung ::Farfn 
::Olga ::1462 
::Kanad ::Predator 
::Punctuation ::Interpreted 
::XuEKS98 ::Atluri 
::Demo ::Wenning 
::SpinCircuit ::Kolovski 
::Klaus ::Archival 
::Smodels ::Francesco 
::Al ::HiWaRPP 
::724 ::Caetano 
::DayDIKG95 ::SistlaW95 
::Martin05 ::SrivastavaHMKT06 
::LuBZ06 ::Hammer 
::914846 ::Anciaux 
::P522 ::Elizabeth 
::ChengDNPKWAAFSSS97 ::914857 
::Antonios ::914873 
::Fastest ::1349 
::Visualizing ::Inventing 
::1003 ::Aliekber 
::1600 ::Peer 
::Outerjoin ::TheodoridisS96 
::914840 ::Bhavani 
::Benjelloun ::4497561 
::BalkeNST05 ::15310337 
::Yuelong ::Mohan96 
::Validating ::Conditional 
::4497609 ::Tryfona 
::LegariaGGHSWYZZ08 ::Ann 
::AtzeniCB05 ::CaiHH08 
::Willis ::491 
::Heerde ::LieuwenD91 
::mm ::4497475 
::Roller ::DragutWSYM06 
::Yoshizawa ::Shyu 
::KumarLMT08 ::OLE 
::4497592 ::JohnsonMSS08 
::KellerB96 ::Tao 
::Tatemura ::617 
::Shmueli ::Tania 
::Nakhe ::Nicoleta 
::Market ::Dumas 
::Pathak01 ::GruberKP01 
::LeeHL08 ::828 
::Valduriez87 ::4497430 
::583 ::LeeCLNS94 
::989 ::Olteanu 
::PalopoliTU01 ::Alpa 
::TaniguchiS05 ::FernandezA02 
::Reviewers ::Niblack 
::Subset ::XingZH05 
::Barbara ::L 
::icde2005 ::Sunbir 
::327 ::ZhangLRB08 
::ContinuouslyMoving ::Vasileios 
::350 ::Display 
::Utilization ::Different 
::216 ::Palios 
::Shirani ::149 
::15310567abs ::Zaane 
::Ravada ::BergD95 
::EltabakhOAELASB08 ::Link 
::Min ::Judice 
::Augsten ::isci 
::LiuR05 ::Overcoming 
::Margo ::KemperM90 
::1023 ::Pedro 
::Archetypes ::Holistic 
::Maintaining ::212 
::Aleksandras ::Aberer 
::15310463abs ::4497441 
::ChungGS02 ::ZakiP05 
::1355 ::Weikum 
::Zhiyuan ::Shiroh 
::Akinde ::Bookmarks 
::Hoa ::Gounaris 
::Ohler ::Fatih 
::PaduaW86 ::Natural 
::1498 ::258 
::914872 ::TanGO01 
::XQSE ::Isoline 
::Braga ::Yokota 
::4497548 ::zden 
::DSI ::Visualization 
::tois ::Declarative 
::Jeffery ::DaynesC01 
::1346 ::Beyond 
::Ceri ::Eric 
::Mullin90 ::Philip 
::LiuLG08 ::558 
::77 ::ChengCMC08 
::Ansorge ::Schning 
::536 ::914839 
::Rys01 ::Content 
::4497496 ::ShashaLSV95 
::Indicators ::Javeed 
::Updating ::743 
::Multiresolution ::Hiroyuki 
::LinJF94 ::Federations 
::Incremental ::991 
::MannilaTV94 ::Disparate 
::BertinoOYD05 ::4497436 
::4497530 ::685 
::Box ::DBMSs 
::120 ::FaradjianGB02 
::Cho ::Polyzotis 
::229 ::Implementing 
::Nejdl ::Weifeng 
::4497599 ::Adaptation 
::year ::Kwietniewski 
::GangerK97 ::Puzzle 
::Logic ::SimitsisVS05 
::Cruz92 ::Farnoush 
::TianP08 ::LeeHL08 
::Ning ::siamcomp 
::Editor ::Change 
::Henrich98 ::501 
::Publish ::MunakataJ94 
::Morse ::Clusterin 
::Callaghan ::Odysseus 
::Kiernan ::dimensional 
::Edoardo ::ShafiqSBG06 
::FLWOR ::Jonas 
::PapadimitriouRR94 ::Guohong 
::HungDS05 ::bancilhonDK92 
::1402 ::Defined 
::4497425 ::547 
::kim95 ::Diagnosis 
::GoldinK95 ::JensenLOZ06 
::Transcoding ::4497405 
::icml ::Koutrika 
::k ::Dual 
::235 ::PopekK79 
::Past ::Windhouwer 
::Juha ::Chafle 
::Machine ::Theory 
::DrapeauPK94 ::JigyasuBBCDMT06 
::Arun ::scale 
::1118 ::Lynch83 
::HershbergerSS06 ::Keim 
::Oracle ::ImielinskiVA96 
::Barker ::827 
::Injector ::Pinar 
::Laura ::914844 
::Venky ::P108 
::1453 ::1306 
::Lineage ::Leymann97 
::BohmK01 ::PnP 
::Experiences ::Mukherjee 
::1334 ::Erhard 
::ups ::WolfsonXYC06 
::Meets ::tcs 
::Gil ::901 
::199 ::Vlachos 
::Obermair ::EsterKX95 
::Vectors ::Geoinformation 
::Query ::Active 
::ChristophidesCM96 ::Sayal 
::1352 ::Chaudhuri 
::ChenC08 ::4497428 
::DaWaII ::Laboratories 
::Terlecki ::Uncertainty 
::BhideCGGMPRRS08 ::Pointsets 
::fledged ::JefferyAFHW06 
::22851149 ::LometT95 
::Inference ::Numerical 
::Pollack ::AtzeniCB05 
::CORBA ::NagarajNRS08 
::Kotidis ::Wloka 
::Alessandro ::Raghav 
::Markov ::Deductive 
::Zaniolo ::Sequential 
::Sikka ::DeWittKLPY94 
::Denise ::Iyer 
::Click ::Compiled 
::1406 ::Gehrke06 
::Sharing ::GummadiLGSH05 
::BaralGS98 ::Kit 
::SellisRF87 ::AbiteboulMB08 
::Wavelet ::Jarek 
::Complex ::Edward 
::Omran ::Gudes 
::Pinto ::Linfeng 
::2285 ::FungWY05 
::Binnig ::AgrawalFS93 
::Samet90 ::LakshmananSGK98 
::Bausch ::Atomic 
::HanYY06 ::Alomari 
::Colors ::P 
::Sherkat ::AtzeniCB05 
::Annita ::1129 
::StonebrakerC05 ::Lei 
::Stahl98 ::4497491 
::Wilson ::Jing 
::1033 ::473 
::Yihua ::Grzegorz 
::Potamias ::Enderle 
::After ::YiLKS08 
::Guestrin ::Ng 
::GhaffarA97 ::BinnigKLS08 
::Franklin ::4497494 
::KolliosGKB01 ::Bookmarks 
::95 ::Safeguarding 
::15310297abs ::computer 
::Hetal ::1351 
::Point ::WangR91 
::Weiyi ::Sreenivas 
::Lehner ::4497413 
::Sakellariou ::Developed 
::Muthukrishnan ::Martin05 
::Afalg ::Manipulation 
::Architectures ::Qu 
::22850742abs ::Khaled 
::475 ::Compliance 
::Merging ::Tsukamoto 
::Kashyap ::Tightly 
::Low ::Hmmer 
::Subbu ::Chitta 
::Lin ::AntovaJKO08 
::Neumann ::Latanya 
::4497541 ::1591 
::PudiH02 ::15310297abs 
::GhinitaTK08 ::EsterKSX96 
::15310064abs ::Shuigeng 
::Wierman ::Randomized 
::GummadiLGSH05 ::osdi 
::SegevF90 ::Shenoy 
::KoloniariP08 ::YangWWY02 
::Wenning ::Autonomous 
::Changes ::Bhattacharjee 
::Scannapieco ::4497556 
::JeungSZ08 ::NgR95 
::4497434 ::Dohnal 
::Ganesan ::Bhlen 
::728 ::Sup 
::1627 ::BertinoK89 
::Teamwork ::Analysis 
::1600 ::MukhopadhyayP02 
::dimensional ::Lup 
::Eadon ::4497406 
::22850521abs ::Selections 
::Conserving ::GoyalHKMS96 
::Balachander ::Eric 
::BANKS ::973 
::Accurate ::Philipp 
::Enderle ::Relative 
::Syan ::After 
::Porto ::Concurrent 
::81 ::YiuJHL08 
::4497540 ::Glimcher 
::AdibaL80 ::Bedell98 
::61 ::Rys 
::958 ::Personalized 
::Jonker ::ZivL77 
::Object ::Satkin 
::Sayed ::Areal 
::Mehta ::Schlatter 
::IshikawaIKH92 ::4497438 
::Lomet ::LiBRHCN05 
::Christoph ::Radeschutz 
::Communities ::321 
::Tsumura ::Leonidas 
::Computations ::Problems 
::Dense ::Seshadri 
::Gerhard ::SIPPER 
::Ulrich ::Yeol 
::MogiK94 ::Terms 
::Infrastructure ::Automating 
::SchenkelTW05 ::Repositories 
::Riemenschneider ::TaoPZ02 
::zsu ::Borealis 
::Surrounder ::22851126abs 
::260 ::Andritsos 
::Naphtali ::Mendez 
::Ehud ::540 
::Multicast ::Personalized 
::Raman ::Tightly 
::22850516abs ::ChristophidesACS94 
::ZhangYST06 ::29 
::Networked ::Henrich98 
::Campen ::Nick 
::Hoffmann ::Biton 
::142 ::Mitch 
::El ::914871 
::Rost ::DeshpandeH08 
::Sebastian ::Shrivastava 
::coopis ::Guy 
::Latent ::Tao 
::Alexey ::EELs 
::Shift ::Jasmine 
::Ming ::22850329abs 
::HSI ::15310507abs 
::Policies ::Commit 
::Masaru ::601 
::901 ::Draper 
::Gupta98 ::LevandoskiKM08 
::speak ::Land 
::Enumeration ::4497505 
::Type ::Maier83 
::Jagan ::Compiler 
::ChonAA02 ::Refresh 
::Intra ::Harinarayan 
::645 ::Twig 
::ChengDNPKWAAFSSS97 ::GutingZC89 
::1059 ::4497478 
::Rosenthal ::370 
::Ambuj ::1208 
::Naomi ::computer 
::22851147 ::349 
::WangL08 ::90 
::Cai ::The 
::Reification ::Pascal 
::1421 ::Nagendra 
::Early ::What 
::Scientific ::Christina 
::tree ::The 
::Arshad ::Multimedia 
::Availability ::Georgia 
::Prabhakar ::Message 
::Clip ::V 
::Wiwatwattana ::Neeraj 
::Osman ::AttieSSR93 
::45 ::WangXHZWZS08 
::ChrysanthisR90 ::Lars 
::15310001 ::Retrieval 
::KornackerB95 ::Xingquan 
::MogiK96 ::Hristidis 
::419 ::ChawatheRGW96 
::BhalotiaHNCS02 ::Rank 
::Context ::BentleyF79 
::Chan ::BargaLW02 
::4497497 ::1950 
::1084 ::SNAP 
