::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::Arshad ::ACXESS ::Evripidou ::Machanavajjhala 
::Antoshenkov92 ::AlonsoBC08 ::Characterization ::Mittal 
::PadmanabhanAMJ01 ::oodbs ::Reporting ::Stephan 
::1328 ::Kulik ::Adaptive ::AssentWMS08 
::Karras ::Ashok ::Random ::Buchmann 
::LiuHXS06 ::4497551 ::Batra ::WachterR92 
::NaumannHTHM02 ::Sheu ::Limitations ::Prediction 
::N ::281 ::We ::WachterR92 
::Divyakant ::Vetle ::Gregory ::compgeom 
::Environmental ::TungHH01 ::MogiK95 ::471 
::Abul ::X05o ::411 ::Transcoding 
::X05t ::Karras ::Ullas ::Lars 
::Ellis ::563 ::MogiK94 ::4497578 
::Prioritization ::Shuai ::Forms ::22851146 
::CareyDFHMNSSTTWZ94 ::SuWL06 ::Result ::Chang82 
::Yiheng ::sac ::Theoretic ::Shuigeng 
::Mittal ::Hanyu ::Randal ::LowTLL02 
::1324 ::OLTP ::Minghua ::PictureBook 
::Derivation ::Accelerating ::93 ::VaidyaC05 
::WangZ02 ::1627 ::PictureBook ::Software 
::Middle ::Jagadish ::Relational ::368 
::AgesenBPT01 ::Lookups ::Anti ::Vijay 
::Masaaki ::15310383abs ::Michal ::Maryann 
::ieeemm ::Virtual ::ZhangLW08 ::Mauricio 
::Authentication ::1551 ::P486 ::1527 
::486 ::Consens ::Henry ::Gadia86 
::22850968abs ::Actionable ::Mingzhe ::BeckerHF93 
::1322 ::10010473abs ::Bedell ::ChawatheG97 
::DaynesC01 ::OCallaghanMMMG02 ::Ippokratis ::Gagan 
::LuVA08 ::117 ::Bausch ::Hierarchies 
::Grzegorz ::Sarvjeet ::392 ::JainDG08 
::Vectorizing ::Features ::HOPI ::4497438 
::Symbolic ::Arie ::Marts ::Pandey 
::Antti ::22850518abs ::Gnther ::Srilekha 
::Ning ::iandc ::Aref ::Fetching 
::Yibei ::BestPeer ::Re ::Antoshenkov93 
::4497602 ::tois ::15310187 ::Juha 
::BeckmannKSS90 ::HanF95 ::Noise ::MaH01 
::1623 ::Caches ::Clean ::22851013abs 
::Baihua ::Zhuang ::GeorgiadisKCNS08 ::icde2001 
::Smriti ::Guttman84 ::22850032abs ::Low 
::KrishnamurthyKN05 ::ieeemm ::Shim ::4497485 
::Hetal ::1218 ::Friendly ::Semi 
::Asymmetric ::PapakonstantinouGW95 ::Keulen ::Charging 
::RaoM06 ::Arvind ::LeslieJBY95 ::Mehmet 
::Smoothing ::Hongtao ::speak ::22851109abs 
::Christoph ::Eltabakh ::714 ::Algebraic 
::Dalvi ::Extensible ::BernsteinGWRR81 ::1370 
::492 ::internet ::GeorgiadisKCNS08 ::4497437 
::Niblack ::Advancement ::AslandoganTYLN95 ::Krauthgamer 
::914833 ::ShafiqSBG06 ::Wisnesky ::Memory 
::RantzauM06 ::Outstanding ::1053 ::nato 
::22850680abs ::NabeelB08 ::Elizabeth ::Generation 
::4497559 ::designed ::GutingS95 ::Growth 
::Committee ::TRMeister ::Akitsugu ::VrhovnikSRM08 
::Gehrke ::117 ::Satisfying ::Chitta 
::507 ::LiCKB06 ::9 ::Bishwaranjan 
::522 ::Right ::Blok ::Muse 
::Domain ::Anna ::767 ::666 
::NakanoIK98 ::Orphan ::Estan ::HenrichHSW91 
::Boris ::Mourad ::biased ::568 
::Sheng ::Gregory ::MamoulisCYC06 ::Chong 
::308 ::Livny ::Machine ::Xie 
::22851024abs ::Hjaltason ::816 ::Era 
::SketchTree ::Simulation ::be ::Reducing 
::csdl ::Arnd ::cdrom ::Getting 
::Jeung ::Tightly ::1402 ::Approaches 
::Wai ::Did ::Kong ::SunAA02 
::Grtner ::15310276 ::123 ::Leutenegger 
::Yiming ::1391 ::MohanKSW06 ::Defined 
::Sharma ::Ioannis ::Rotem91 ::1024 
::Jianlin ::245 ::Toman96 ::Atri 
::Sugimoto ::RoitmanGR08 ::Operator ::Negi 
::Information ::Kifer ::Approaches ::BatoryBGSTTW88 
::Integration ::Singer ::ZhouOTY06 ::493 
::Exploration ::Indrajit ::Lieberman ::Moshchuk 
::391 ::872 ::Hyon ::730 
::914843 ::Toivonen ::Ferri ::914863 
::Lynch83 ::Structured ::Gencai ::29 
::Guang ::Fractal ::Odysseus ::SeegerK90 
::tkde ::1345 ::Gadia86 ::Area 
::Cattell96 ::aware ::C98 ::ZhangLXKW06 
::Mikkel ::Kumar05 ::NambiarK06 ::AgrawalAKL06 
::CastellanosCSD05 ::Calisto ::YuC84 ::4497513 
::1358 ::Pathak ::Katayama ::Markos 
::4497499 ::4497464 ::Okcan ::Patterson 
::Papaemmanouil ::Vanitha ::Visual ::Suciu 
::Panagos ::Umeshwar ::Lawrence ::Stack 
::Migrating ::Zilio ::Signal ::PageRank 
::Air ::TuckerM02 ::tocs ::All 
::Hibino ::WolskiB98 ::1418 ::Integrate 
::ChangM88 ::Newton ::HuangSW94 ::Vetle 
::Jin ::networks ::Buchmann ::Annamalai 
::LeeCLNS94 ::Levandoski ::914878 ::ArocenaM98 
::inWireless ::Yeol ::Seltzsam ::15310463abs 
::Pathak ::4497461 ::BorkarCELWW08 ::GeorgakopoulosHKM94 
::Inside ::Earth ::Perrin90 ::SIREN 
::Frequent ::Kristian ::Dai ::Pessimist 
::Friendly ::Si ::Mutsumi ::author 
::Shiyan ::4497406 ::396 ::832 
::Serge ::Imperatives ::4497442 ::1249 
::Ramy ::Dayns ::Kjetil ::Sadhukhan 
::Operators ::PattersonBA08 ::743 ::KitsuregawaTM83 
::Freeston95 ::Extended ::Dinesh ::Mikkel 
::Antoshenkov93 ::22850791abs ::Claudio ::PapadopoulosM97 
::ObermeierBHCS08 ::Outsourcing ::Transfer ::355 
::l ::TianP08 ::SketchTree ::Kien 
::Leonidas ::Aritsugi ::513 ::SuleimanCF98 
::For ::Zadeh89 ::Terzis ::Economically 
::1418 ::LeeCLNS94 ::15310357abs ::22850514 
::Pfoser ::Cormode ::Similar ::Coskun 
::4497586 ::214 ::Pin ::MachanavajjhalaKAGV08 
::Meaningful ::Hash ::Configurable ::SizovSTW02 
::Malin ::Ljosa ::1209 ::345 
::Sideways ::CosmadakisKV90 ::22850360abs ::1364 
::22851104abs ::Donghui ::Weld ::Relation 
::Barga ::rtdb ::Suri ::ChangYDA88 
::NguyenS96 ::Manipulation ::Models ::P302 
::QiaoIAA05 ::4497439 ::Sharoes ::Relaxation 
::1130 ::547 ::Tomography ::ChenDKLRS95 
::Borealis ::Trajectory ::PETRANET ::784 
::UchiyamaOH05 ::185 ::Places ::1378 
::Saltenis ::Fishman ::380 ::Lewis 
::Networked ::WolskiB98 ::PreparataS85 ::Sugimoto 
::Production ::GanesanSG05 ::Yip ::28 
::Fayyad ::SavasereON95 ::15310191abs ::Rinderle 
::Maxim ::SarawagiS96 ::Scenarios ::KoudasS05 
::1259 ::Jain98 ::GabberK98 ::ZhouP08 
::Hadjieleftheriou ::Flattening ::22850069abs ::coopis 
::22851024abs ::824 ::Terlecki ::Torvik 
::Archival ::4497624 ::Evolution ::GriffinL95 
::Bravo ::Livny ::83 ::P192 
::Carl ::Collections ::281 ::SQL 
::Rich ::Implementation ::Vana ::Citizens 
::Gruber ::Feifei ::4497540 ::Gal 
::645 ::Tamir ::Klinginsmith ::495 
::ChenR05 ::Khaled ::914842 ::MaH01 
::Furche ::Composite ::Akiyoshi ::Denny 
::tois ::Venkataraman ::FukudaMMT96 ::Olga 
::Megiddo ::Common ::550 ::922 
::864 ::Biased ::Lomet ::Nori 
::Semistructured ::Infrastructure ::Songting ::459 
::Interpreted ::Kutsch ::Uncertain ::763 
::Keim ::Huabei ::4497606 ::1159 
::Lingzhi ::Novak ::X05p ::Nagaraj 
::KaufmanR90 ::22851001abs ::BernsteinHM90 ::4497404 
::Amr ::Column ::NET96 ::Zhu 
::CareyDN93 ::Author ::FelipeHR08 ::Si 
::18 ::MAN ::HasanM95 ::P231 
::Bogdan ::ZouSL98 ::395 ::LiSDKG01 
::15310593abs ::Rosenthal ::Haggai ::10010651abs 
::Skew ::ZhouZVQ08 ::Ikeda ::1118 
::Fast ::Zhuge ::22850991abs ::4497516 
::Eadon ::Ntoulas ::Ranking ::348 
::PnP ::Obstacles ::Tolerant ::340 
::Compiled ::BentleyM80 ::What ::ebXML 
::Simoudis98 ::Massive ::Hellerstein ::support 
::Gencai ::4497515 ::zsu ::Music 
::36 ::Speeds ::Carmem ::Wikipedias 
::617 ::Papaemmanouil ::Inputs ::Community 
::BlottRS96 ::22851149 ::MukhopadhyayP02 ::15310335 
::Monotonicity ::WuXTL06 ::Tan ::Venkataraman 
::MittalHH01 ::Leong ::Sang ::Processor 
::asplos ::Philipp ::HuhtalaKPT98 ::Gorman 
::Russakovsky ::Panagiotis ::Direct ::Boris 
::code ::Halevy ::Feifei ::Ashutosh 
::Grtner ::631 ::Etoh ::L 
::CormodeMZ06 ::BentleyF79 ::RamakrishnanJNKB06 ::Zeeshan 
::Lucchese ::Times ::Expiration ::4497465 
::year ::862 ::Balakrishna ::Component 
::Sndor ::SarawagiS96 ::HartDV88 ::1112 
::95 ::1361 ::LangOS97 ::AtzeniCB05 
::Dimension ::Top ::Felber ::Imprecise 
::Compressor ::Ben ::Yiu ::Terabyte 
::MudumbaiSSPB98 ::AbiteboulMZ08 ::LiuSYR98 ::4497547 
::Randomized ::517 ::NeT ::Anton 
::Mukherjee ::Goel ::914825 ::Aoki98 
::Demonstration ::YiuM06 ::Cluster ::Leymann95 
::HanMWS01 ::relational ::RDBMS ::901 
::Chai ::22850242abs ::Ada ::KhaYU01 
::HjelsvoldM94 ::YiuMK08 ::P174 ::105 
::Maruyama ::Lian ::pe ::1258 
::iBOM ::BilirisO93 ::Mariano ::Haiyan 
::Jigsaw ::Cluster ::RantzauM06 ::218 
::Hae ::RantzauM06 ::Rahm ::Abstract 
::Distributors ::Honishi ::Werner ::Correctness 
::147 ::datamine ::AyadNWS06 ::1337 
::designed ::Hara ::4497577 ::Statistics 
::124 ::Regions ::Cyrus ::Sharma 
::ChanSL98 ::Workflow ::ZhouYGCD08 ::BerchtoldBKK97 
::DaiKSTV08 ::FayyadPS96 ::GuptaJM96 ::Sachin 
::MendelzonW95 ::jacm ::Space ::1322 
::359 ::Notification ::Predicate ::Vries 
::Early ::Trajectories ::Miah ::Leakage 
::Tsuyoshi ::AlexanderR06 ::Verifying ::204 
::Samet ::Zeng ::html ::Demonstration 
::PDM ::Mengsheng ::Joins ::Panagiotis 
::22850516abs ::695 ::Two ::KornMW06 
::BrantnerHKM05 ::133 ::Middleware ::Livny 
::903 ::Linguistic ::WebIQ ::LiuSYR98 
::Active ::Constrained ::Evangelos ::Loredana 
::Theoretic ::Level ::4497454 ::359 
::TomasicRV96 ::the ::4497614 ::pages 
::972 ::EswarranGLT76 ::Rinku ::YiuMK08 
::Shah ::99 ::190 ::Neville 
::Meyerson ::Mario ::Mamadou ::Alberto 
::14 ::4497589 ::Norm ::109 
::Definition ::Yannis ::Luis ::GardarinST96 
::SuWL06 ::Cluster ::Gustavo ::Bakalov 
::Gong ::AlonsoAAKGM96 ::Tuples ::Expensive 
::Maged ::Answers ::22850242abs ::Methodical 
::BadrinathR92 ::XGuard ::CallanLC95 ::Trajectory 
::Bonifati ::Longxing ::Multimodal ::Surna 
::4497456 ::BernsteinHM90 ::Barzan ::1052 
::Chung ::271 ::ZhangLKW06 ::Wook 
::Rule ::Small ::Sang ::Push 
::Jason ::SG ::Domains ::JiangMCS08 
::search ::1276 ::XQSE ::GADT 
::Sengupta ::Fetching ::Commodity ::Kristin 
::Liangzhong ::636 ::Evolution ::Gehrke 
::Yuelong ::KeijzerK08 ::SunPF05 ::MANETs 
::QoS ::Early ::Megalooikonomou ::Ben 
::Ting ::10010121abs ::Samaras ::GrustKGHS97 
::5 ::KoloniariP08 ::Functional ::JeungLSZ08 
::403 ::Maintenance ::Reviewers ::JiangLWY02 
::sigir ::GuptaMS93 ::BohannonFRS02 ::Versus 
::Santos ::SegevP89 ::InstantDB ::587 
::Multi ::890 ::Gagan ::TrombettaJBB08 
::We ::Murthy ::258 ::Grouping 
::1388 ::Mitch ::160 ::Replication 
::SrivastavaDJL96 ::DoanH02 ::Schlimmer93 ::SismanisR05 
::Seidel90 ::FayyadPSU96 ::Brakatsoulas ::Peter 
::Error ::158 ::Beckmann ::Malakasiotis 
::IpeirotisNCG05 ::Manocha ::22850434abs ::SherkatR06 
::Herlihy90 ::883 ::once ::804 
::1317 ::SchekPSW90 ::Shifting ::Hazem 
::4497628 ::15310345abs ::1239 ::Teixeira 
::streams ::Constantly ::Wook ::Challenges 
::15310265 ::1588 ::989 ::P600 
::4497510 ::190 ::WangL08 ::SchroederHINW06 
::GoldbergR83 ::Pei ::Teixeira ::475 
::Siva ::Traceability ::P342 ::1436 
::Mann ::Fai ::Bourhis ::22850521abs 
::Grzegorz ::Plans ::Jason ::Panagos 
::Yangjun ::402 ::MishraE92 ::Verifying 
::Margaret ::625 ::Meo ::Shaft 
::Service ::Compact ::Rudra ::Shinn 
::JagadishMR98 ::Parallel ::RoussopoulosK86 ::Spatial 
::Aggregation ::LimB08 ::Unstructured ::375 
::Abul ::1580 ::Warehouse ::Warehousing 
::Vijayalakshmi ::266 ::Lola ::Wenjie 
::259 ::ParkCY95 ::Oliver ::KhalefaML08 
::Avigdor ::1480 ::Shouke ::BayerM72 
::1343 ::GravanoG95 ::Alexander ::Fatma 
::Bertram ::Xiaochun ::GoldingBSSW95 ::Parties 
::Kian ::Invariant ::Ambuj ::4497422 
::Ong ::1465 ::Text ::734 
::Message ::Sequencing ::Check ::191 
::Organization ::AutoLag ::Nes ::Exploiting 
::4497476 ::JaberV06 ::953 ::4497579 
::Kaname ::Korth ::Ghaffar ::XQSE 
::LiuR05 ::Xiangdong ::Units ::170 
::754 ::Horng ::isci ::MarcusS96 
::Conserving ::Andrzej ::Ying ::Query 
::YanOZ08 ::Itemset ::1150 ::259 
::1319 ::Michal ::1402 ::ChenWZY08 
::15310383abs ::LuccheseVRY08 ::635 ::Communication 
::EsterKX95 ::Upendra ::ROL ::Representing 
::Mutsumi ::fAST ::KimCD05 ::StonebrakerRH90 
::Tarik ::Hisashi ::Magesh ::driven 
::Hett ::GADT ::914879 ::456 
::Committee ::QoSMig ::ATLaS ::472 
::Suri ::WeisN06 ::15310543abs ::SAP 
::Peters ::P182 ::529 ::Gryz 
::Graefe98 ::Motwani ::BlakeleyCERW05 ::BerchtoldKK96 
::Clusterin ::Loreto ::4497548 ::Jonker 
::Limitations ::Randomized ::Selecting ::Anne 
::SelingerACLP79 ::Zukowski ::306 ::66 
::Stop ::Bongki ::4497577 ::Saikat 
::Counts ::Chair ::YuPK05 ::Brent 
::Juchang ::KornackerMH97 ::1081 ::Hung 
::15310339 ::Expressive ::Reachability ::4497597 
::Ping ::Sandra ::1012 ::Page 
::BargaP95 ::4497625 ::Qu ::216 
::22850717abs ::Balaporia ::914831 ::CosmadakisK86 
::Updating ::Lisa ::457 ::Underprovisioned 
::Systems ::Akiko ::22850516abs ::212 
::355 ::Transactions ::Natural ::Their 
::GutingZC89 ::Annita ::HeXYY05 ::GUI 
::876 ::Eike ::Yee ::Variable 
::Watson ::543 ::Weber ::Tight 
::EffelsbergH84 ::Archival ::Delivery ::Mohan94 
::4497430 ::BehrG05 ::Lists ::914850 
::914854 ::Update ::Tok ::sebd 
::What ::Tran ::NakanoIK98 ::Entity 
::Xingquan ::LiCHH97 ::HuWLZX05 ::ChoR02 
::Randal ::Complexity ::Bee ::MalikBC05 
::783 ::ChenCRM06 ::DelisR94 ::Text 
::KarrasM08 ::TaniguchiS05 ::Ramesh ::MogiK94 
::Yiming ::Major ::Ullman97 ::FischerK05 
::52 ::Relevance ::Sarawagi95 ::Wolfson 
::without ::lisa ::744 ::Kollios 
::Never ::4497612 ::5 ::Neel 
::DescribeX ::KimP88 ::175 ::LiBRHCN05 
::P069 ::HeinzKRS08 ::Anastasios ::Expressivity 
::646 ::Approximate ::Wai ::Rabindra 
::Shoshani ::22850816abs ::1120 ::Labels 
::Time ::LiSR92 ::Extract ::Harwood 
::SeshadriLR94 ::Surface ::Fuh ::SirbuT95 
::Everyplace ::FerlezFLMG08 ::AutoGlobe ::tods 
::VaidyaC05 ::ShenSCT06 ::Stratified ::Nan 
::Intersection ::Clustering ::Systems ::Dina 
::Alejandro ::Euthimios ::Multiresolution ::Cruz92 
::widomC96 ::WRAP ::Gorman ::PattersonBA08 
::Gting ::BohlenBJ98 ::604 ::SheuW06 
::Il ::ZhugeG98 ::Olsen ::1343 
::Kam ::Braynard ::party ::Counting 
::SellisRF87 ::Galpin ::Hieu ::icde2005 
::KimPC01 ::Weihl88 ::F ::Vlachos 
::691 ::RajaramanSU95 ::dpds ::KamelF93 
::Testing ::RoschGL08 ::4497632 ::Jrgen 
::Variable ::Constantly ::1393 ::Shubha 
::Gadia88 ::1512 ::455 ::Volumes 
::Tang ::One ::Aoying ::262 
::Gyu ::Rittinger ::368 ::Adam 
::IshikawaKOYKK96 ::Earl ::Ramakrishna ::Hee 
::4497461 ::Stratis ::YiLKS08 ::its 
::MittalHH01 ::Sameer ::1141 ::234 
::Quasi ::1229 ::Luk ::Denzel 
::Ku ::Lomet ::HenrichSW89 ::FAST 
::BrinkhoffKS96 ::Soloviev93 ::Security ::Production 
::Bowers ::Pavan ::NgH94 ::Weaver 
::ParkCY95 ::Tsuyoshi ::Guido ::1611 
::Update ::WuCL08 ::DaudjeeS06 ::MohanPL92 
::Venkataraman ::PermJoin ::Roger ::Sayed 
::346 ::4497457 ::593 ::1599 
::LorentzosM97 ::author ::Spreadsheets ::Wong 
::Weis ::22850865abs ::22850094abs ::Fatih 
::Sikka ::1002 ::FayyadPS96 ::Media 
::Anh ::Hull ::HarrisonD92 ::SrivastavaHMKT06 
::KoutrikaSI06 ::Vagelis ::BestPeer ::4497561 
::247 ::Hsu95 ::549 ::HeinzKRS08 
::Bayardo ::ai ::22850417abs ::LakshmananSGK98 
::icdt ::Pearson ::Performance ::ChangMZS98 
::1259 ::on ::Workloads ::Marko 
::Deletes ::CatarciCS94 ::Nogayama ::4497604 
::MAN ::Approximately ::Similar ::btw 
::Aduri ::DescribeX ::Tamir ::294 
::4497410 ::Michalis ::Gignere01 ::Tuning 
::Autonomic ::Visibility ::1033 ::ChenGK05 
::Cudre ::TheodoridisP95 ::Salzberg88 ::962 
::744 ::aware ::156 ::ADT 
::4497418 ::306 ::Lessons ::Resources 
::Asl ::Sullivan96 ::Maya ::Evaluation 
::Aliekber ::Rajasekar ::4497532 ::Michalis 
::Leymann ::Bajpai ::Accessible ::ImielinskiB94 
::Selinger ::Gustavo ::Lavelle ::Prabhakaran 
::ReichertRKD05 ::15310275 ::DSI ::Welsh 
::Energy ::P108 ::Cyclic ::Guan 
::456 ::AraiDGK06 ::Felber ::Annotations 
::Clean ::Capturing ::Ramamritham ::Bouaziz 
::Levandoski ::BerchtoldBK98 ::1608 ::Miah 
::Xiaoyong ::89 ::Simplicity ::SrivastavaHMKT06 
::Rhm ::Eberhardt ::1500 ::Come 
::15310583abs ::Khalefa ::State ::Broadcast 
::Fischer ::http ::Providing ::133 
::Sameer ::KauT94 ::4497546 ::1457 
::P316 ::dimensional ::Carson ::YipCN05 
::Soccer ::1530 ::529 ::Boolean 
::349 ::BentleyF79 ::Merging ::BouganimFV96 
::914850 ::YuHC05 ::Weikum91 ::Chakravarthy 
::Srinivasan ::Gail ::GedikWY08 ::Improving 
::Masaaki ::Objects ::4497497 ::Ln 
::BerchtoldBKK97 ::1461 ::Stahl ::308 
::Distance ::4497537 ::Andrea ::Nita 
::15310441abs ::22851131abs ::Kumar05 ::Meisen 
::Bach ::Yuelong ::LiebermanSS08 ::YangSRG06 
::Yasushi ::Angela ::Imprecision ::Presentations 
::4497453 ::SchenkelTW05 ::Zukowski ::Was 
::767 ::LeungNM02 ::bit ::56 
